total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
385.3015038649369,0.40430378160014363,0.103882, 2.738158, 3.822447,953,953
436.0316089821355,0.4594642876524083,0.033262, 1.572161, 2.079713,949,1902
524.5635655218709,0.5556817431375751,0.024522, 1.059293, 1.626742,944,2846
633.9405635648277,0.6442485402081582,0.016518, 1.013856, 1.597407,984,3830
631.4408592611652,0.6916110178106958,0.013819, 1.029886, 1.610258,913,4743
675.6451813944041,0.7432840279366382,0.011062, 1.074592, 1.658681,909,5652
636.2459369239652,0.6804769378865938,0.010018, 1.127821, 1.734054,935,6587
571.1764668231674,0.5810543914782985,0.010273, 1.170904, 1.784260,983,7570
574.2361669195237,0.6282671410498072,0.009361, 1.191188, 1.802459,914,8484
599.8081193964967,0.6387732900921158,0.010168, 1.217415, 1.850513,939,9423
604.2617030883301,0.6314124379188403,0.008321, 1.230323, 1.858707,957,10380
581.37948014349,0.6231291319865917,0.007080, 1.276645, 1.903776,933,11313
622.4829273423878,0.6766118775460738,0.006008, 1.249828, 1.808037,920,12233
596.551852331959,0.6414536046580205,0.005571, 1.224803, 1.745285,930,13163
601.0723276484119,0.6678581418315688,0.005389, 1.219841, 1.737622,900,14063
515.8667572866536,0.5384830451843984,0.005348, 1.212557, 1.730560,958,15021
636.2320068559055,0.6739745835337982,0.005593, 1.195682, 1.710724,944,15965
652.6205816760972,0.7171654743693376,0.004347, 1.182087, 1.722460,910,16875
614.5967258957252,0.6428836044934364,0.003589, 1.182462, 1.727474,956,17831
647.3904227469093,0.6814636028914834,0.003971, 1.174863, 1.711180,950,18781
667.807386814115,0.7188454109947416,0.003936, 1.165988, 1.690168,929,19710
604.0827252116865,0.6145297306324379,0.004031, 1.162350, 1.680081,983,20693
618.4657959610855,0.6221989899004885,0.004129, 1.149671, 1.656758,994,21687
604.2379875247328,0.6676662845577158,0.003984, 1.134758, 1.637086,905,22592
611.1974979103171,0.6536871635404461,0.004066, 1.126201, 1.621877,935,23527
606.2140527451295,0.6361112830484045,0.004169, 1.112696, 1.605328,953,24480
582.9774386531473,0.6399313267323241,0.004181, 1.107123, 1.596497,911,25391
597.9152137710238,0.6360800146500253,0.004256, 1.090841, 1.570533,940,26331
611.9090493371559,0.625673874577869,0.004169, 1.073576, 1.546957,978,27309
633.5767155101134,0.6754549205864749,0.004296, 1.068714, 1.544084,938,28247
700.21943563877,0.7211322715126365,0.004287, 1.063712, 1.535704,971,29218
614.6915533569227,0.6630976843116749,0.004169, 1.058491, 1.530185,927,30145
631.3924358218137,0.6313924358218137,0.004059, 1.059093, 1.529405,1000,31145
644.5129335739159,0.6713676391394957,0.003754, 1.060776, 1.531237,960,32105
577.0157484247202,0.5942489685115553,0.004019, 1.053039, 1.525504,971,33076
589.7674073543349,0.6431487539305724,0.003743, 1.043182, 1.514605,917,33993
564.6867311720093,0.5721243476920054,0.003979, 1.045608, 1.512479,987,34980
590.6981786141089,0.6257395959895221,0.003899, 1.044727, 1.509566,944,35924
676.1130825713593,0.685713065488194,0.004032, 1.044302, 1.503324,986,36910
618.2580321209364,0.6764311073533221,0.003913, 1.052473, 1.510493,914,37824
602.899974458914,0.6546145216709164,0.003901, 1.051045, 1.505919,921,38745
608.1207307396905,0.6130249301811397,0.004147, 1.045291, 1.501511,992,39737
642.9293682933289,0.6711162508281096,0.004174, 1.034705, 1.487954,958,40695
