total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
863.5183158511448,0.7703107188681042,44.584444, 51.444443, 75.324695,1121,1121
942.8811591368292,0.9400609762082046,1.904514, 39.719486, 55.119759,1003,2124
1091.0486300323257,0.9285520255594262,0.575209, 32.617214, 44.071102,1175,3299
995.4838304244909,0.9426930212353133,0.663092, 26.544893, 35.891586,1056,4355
913.9007158621089,0.9500007441394063,0.560673, 21.983734, 29.811567,962,5317
1127.8323452203463,0.9422158272517512,0.441149, 18.227682, 24.718372,1197,6514
913.84633484196,0.961943510359958,0.263539, 15.333797, 20.799631,950,7464
1106.1640846217633,0.946248147666179,0.187193, 13.052186, 17.689636,1169,8633
954.6262627335323,0.9479903304205881,0.155913, 11.107178, 15.073644,1007,9640
939.4046142120781,0.9517777246322979,0.110671, 9.718897, 13.153917,987,10627
919.4235218835006,0.9607351325846402,0.072758, 8.570914, 11.601026,957,11584
959.6767252538698,0.9473610318399505,0.071165, 7.651280, 10.381371,1013,12597
1075.6864628205335,0.958722337629709,0.056645, 6.845037, 9.271350,1122,13719
978.6579027650312,0.9520018509387462,0.044048, 6.203412, 8.408828,1028,14747
1016.2625525434337,0.8730777942813004,0.043584, 5.709510, 7.749634,1164,15911
923.0066118449199,0.9447355290122005,0.036945, 5.271283, 7.139663,977,16888
925.1297679094782,0.964681718362334,0.033769, 4.949072, 6.713745,959,17847
894.8527745034429,0.9737244553900358,0.034850, 4.733513, 6.418417,919,18766
1013.8520133288368,0.9609971690320729,0.026957, 4.566679, 6.175266,1055,19821
910.0256244213267,0.9732894378837719,0.023224, 4.444189, 6.013766,935,20756
1061.3982830826546,0.9684290904038819,0.023825, 4.372005, 5.917227,1096,21852
1051.0628515799767,0.9678295134253929,0.020422, 4.259845, 5.762544,1086,22938
907.536127989725,0.9737512102894045,0.015951, 4.156651, 5.615772,932,23870
1003.2839746310538,0.9684208249334496,0.012654, 4.074452, 5.500525,1036,24906
946.1384391197349,0.9576299991090435,0.016468, 4.076732, 5.500213,988,25894
1013.6322133912574,0.9223223051785782,0.009615, 4.024774, 5.416385,1099,26993
882.0009898189833,0.9413030841184453,0.014561, 3.949893, 5.330983,937,27930
944.8322988287417,0.9067488472444738,0.010059, 3.889642, 5.244492,1042,28972
932.4044813241649,0.948529482527126,0.010927, 3.828733, 5.166608,983,29955
976.8168027403037,0.962381086443649,0.010946, 3.774719, 5.089992,1015,30970
924.3528295107162,0.9781511423393823,0.013869, 3.738716, 5.047266,945,31915
1050.683868002618,0.9491272520348853,0.011330, 3.720555, 5.024833,1107,33022
974.5751540986812,0.9716601735779473,0.012190, 3.702679, 4.996019,1003,34025
959.9086359028934,0.9755169064053795,0.011636, 3.677406, 4.971027,984,35009
977.1789712144641,0.9703862673430627,0.016002, 3.671658, 4.966136,1007,36016
960.4973685986366,0.9721633285411302,0.015229, 3.669436, 4.962426,988,37004
1068.2783967153798,0.9624129700138557,0.013423, 3.680576, 4.963576,1110,38114
1067.9968099306545,0.969144110644877,0.013710, 3.685656, 4.972463,1102,39216
1043.8549534794283,0.9728377944822258,0.010185, 3.707676, 4.997094,1073,40289
1063.174670366713,0.9501114123026925,0.012361, 3.711620, 5.005670,1119,41408
927.2720453574898,0.9822797090651375,0.012814, 3.699476, 4.992057,944,42352
939.7839426028933,0.9871680069358123,0.009075, 3.699103, 4.985688,952,43304
963.9007644267562,0.9785794562708184,0.010540, 3.702750, 4.991754,985,44289
1070.163145482063,0.9428750180458706,0.008644, 3.708942, 5.001279,1135,45424
912.9904616137006,0.9733373791190838,0.008307, 3.705300, 4.994198,938,46362
1050.998843505944,0.965104539491225,0.007603, 3.710391, 5.000789,1089,47451
1071.5886774966275,0.9627930615423428,0.009109, 3.707752, 4.995392,1113,48564
996.4513212764477,0.985609615505883,0.006724, 3.692390, 4.975603,1011,49575
1079.9049458370541,0.9301506854754988,0.008791, 3.693729, 4.971316,1161,50736
961.1178886970588,0.9659476268312148,0.009375, 3.684799, 4.962827,995,51731
1017.6040292480989,0.9474897851472056,0.012979, 3.674449, 4.953843,1074,52805
963.0356823391079,0.9786947991251096,0.012649, 3.661013, 4.933085,984,53789
893.7705528705437,0.9810873247755694,0.011587, 3.663487, 4.929181,911,54700
966.0400344317512,0.9827467288217204,0.010171, 3.670108, 4.943279,983,55683
1060.2872032706723,0.9586683573875879,0.012311, 3.675208, 4.945322,1106,56789
1044.3638702561916,0.9185258313598871,0.013156, 3.674376, 4.943037,1137,57926
1054.1281336436173,0.9787633552865527,0.010944, 3.664090, 4.931292,1077,59003
1038.7537268044327,0.9781108538648142,0.013146, 3.664920, 4.935786,1062,60065
994.7724771645918,0.9714574972310467,0.013737, 3.667310, 4.938194,1024,61089
1005.9011007276205,0.9681435040689321,0.014435, 3.668867, 4.943887,1039,62128
1046.4490858600718,0.9574099596158022,0.013598, 3.676132, 4.952935,1093,63221
952.3048446186845,0.9848033553450718,0.015901, 3.671835, 4.947847,967,64188
934.3765116656637,0.9825199912362393,0.012973, 3.665331, 4.938574,951,65139
881.1546579948447,0.9736515557954085,0.014269, 3.665022, 4.945877,905,66044
1042.5061493320109,0.9670743500296947,0.012463, 3.669886, 4.949752,1078,67122
891.3213528130294,0.9827137296725793,0.010681, 3.669560, 4.945171,907,68029
892.8822710746244,0.9779652476173324,0.010838, 3.682566, 4.956827,913,68942
1057.9185331170145,0.9732461206228284,0.009818, 3.687961, 4.960221,1087,70029
954.1707090128747,0.9887779368009064,0.010882, 3.684762, 4.959370,965,70994
944.9409514139554,0.9449409514139554,0.008544, 3.690701, 4.962694,1000,71994
1047.8738458209386,0.9648930440340134,0.009780, 3.687147, 4.959316,1086,73080
921.6341001684909,0.9462362424727833,0.009984, 3.689351, 4.961237,974,74054
1020.5488997616026,0.8634085446375657,0.008372, 3.683542, 4.957616,1182,75236
1021.1323994406775,0.9498906041308628,0.007644, 3.668048, 4.941251,1075,76311
1043.0980443264484,0.9078311961065696,0.007384, 3.654554, 4.925347,1149,77460
1071.0423308733098,0.9169882969805734,0.008125, 3.641743, 4.911890,1168,78628
1079.1941199495827,0.9618485917554214,0.007632, 3.633907, 4.898430,1122,79750
909.9864834525638,0.9629486597381628,0.007526, 3.620124, 4.882614,945,80695
1036.2100251740424,0.9576802450776731,0.007048, 3.612350, 4.886503,1082,81777
947.7862709479571,0.9622195644141696,0.008625, 3.608845, 4.883794,985,82762
