total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
697.5694048671903,0.4947300743738938,0.204774, 6.105082, -1.832638,1410,1410
669.6278565256627,0.4542929827175459,0.050715, 1.173787, -0.340595,1474,2884
953.4505626710131,0.6635007395066201,0.057054, 0.924609, 0.887573,1437,4321
1118.4422291380424,0.7804900412686967,0.029057, 1.099628, 1.629618,1433,5754
1215.5807069353232,0.8676521819666833,0.023821, 1.483733, 2.261711,1401,7155
1279.931827854175,0.9045454613810424,0.021339, 1.867587, 2.781048,1415,8570
1257.538783151645,0.8726847905285531,0.019477, 2.196460, 3.194670,1441,10011
1246.9564998623086,0.842538175582641,0.019159, 2.477420, 3.533946,1480,11491
1356.3694800318608,0.9647009104067289,0.019200, 2.765233, 3.890781,1406,12897
1195.8978217591703,0.8102288765306032,0.020138, 2.969166, 4.101703,1476,14373
1180.5835498154922,0.8141955515968912,0.022303, 3.068579, 4.206511,1450,15823
1116.5747348901814,0.7529162069387602,0.024795, 3.131758, 4.267419,1483,17306
1076.609701232017,0.7471267878084781,0.025756, 3.115365, 4.243715,1441,18747
1246.4336162305208,0.8554794895199181,0.028692, 3.105076, 4.233329,1457,20204
1105.8001168372627,0.7431452398099884,0.030132, 3.088444, 4.223510,1488,21692
1146.5442634765382,0.8183756341731179,0.028537, 3.057702, 4.192372,1401,23093
1244.5494599743542,0.885800327383882,0.030430, 3.024494, 4.152480,1405,24498
1164.7316384283786,0.7880457634833414,0.029588, 3.051446, 4.191905,1478,25976
1070.0426675732874,0.7400018447948046,0.028172, 3.010464, 4.151638,1446,27422
1227.2088571120516,0.85460226818388,0.028140, 3.021325, 4.163602,1436,28858
1210.04627740819,0.8563667922209413,0.027510, 3.060377, 4.208920,1413,30271
1257.4459549224666,0.8411009731922854,0.027770, 3.099415, 4.245219,1495,31766
1203.3541305443123,0.8141773549014292,0.025927, 3.129928, 4.277391,1478,33244
1228.9344227494103,0.8326113975267008,0.023874, 3.114043, 4.251486,1476,34720
1208.3029894854526,0.8327381044007254,0.023251, 3.113245, 4.248783,1451,36171
1086.3736183779824,0.7476762686703251,0.023864, 3.154580, 4.295508,1453,37624
1042.20630297049,0.7065805443867729,0.024876, 3.133770, 4.272693,1475,39099
1039.4308173570373,0.7392822314061431,0.026541, 3.060746, 4.179662,1406,40505
