total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
223.84051612515142,0.23487987001589866,20.458798, 54.602137, 88.073698,953,953
369.138207063216,0.38897598215302,2.715490, 49.342583, 66.323822,949,1902
285.7012195135647,0.3026495969423355,1.121984, 36.337940, 48.850380,944,2846
373.026642133496,0.37909211598932524,0.616840, 26.070185, 35.088875,984,3830
474.21156094589253,0.5193993000502657,0.503994, 19.805719, 26.661747,913,4743
212.5829798091889,0.23386466425653346,0.212800, 14.997509, 20.252974,909,5652
336.50802163211455,0.35990162741402626,0.222092, 11.019500, 14.953776,935,6587
320.13469940350285,0.3256711082436448,0.144061, 8.204056, 11.169439,983,7570
365.55346113027963,0.39994908219943065,0.108301, 6.315908, 8.628130,914,8484
496.5615842534705,0.5288195785446971,0.094272, 5.064569, 6.941578,939,9423
399.66494515242067,0.41762272220733615,0.059621, 4.234033, 5.842621,957,10380
436.11628837723555,0.46743439268728354,0.078454, 3.587548, 4.983424,933,11313
479.9794266960832,0.5217167681479165,0.059176, 3.124840, 4.393162,920,12233
551.1644095592177,0.5926499027518469,0.057818, 2.874568, 4.066376,930,13163
578.9483080871098,0.6432758978745664,0.050171, 2.701174, 3.828622,900,14063
457.53377473123453,0.47759266673406525,0.045050, 2.572834, 3.646470,958,15021
619.0562276605167,0.6557799021827507,0.042689, 2.478892, 3.507227,944,15965
649.6449974978643,0.7138956016460047,0.043845, 2.404742, 3.396191,910,16875
601.7760015780354,0.629472804997945,0.050169, 2.379713, 3.350001,956,17831
610.4472145322775,0.6425760152971342,0.042310, 2.355763, 3.312449,950,18781
656.376154061292,0.7065405318205512,0.041763, 2.335043, 3.279186,929,19710
586.8785005501466,0.5970279761446048,0.041818, 2.338357, 3.284422,983,20693
546.0765090783527,0.5493727455516627,0.043136, 2.352742, 3.305823,994,21687
481.5216567171042,0.5320681289691759,0.040616, 2.348768, 3.291839,905,22592
534.5040764790687,0.5716621138813569,0.041539, 2.353430, 3.290722,935,23527
491.9040541540567,0.516163750423984,0.038632, 2.351973, 3.294922,953,24480
524.5008822520778,0.5757419124611172,0.039020, 2.336991, 3.273615,911,25391
510.63373292310746,0.5432273754501143,0.038165, 2.351280, 3.293724,940,26331
581.9577276362129,0.5950488012640214,0.037891, 2.315873, 3.235656,978,27309
585.8416014124397,0.6245646070495092,0.038027, 2.302482, 3.211603,938,28247
652.444381584834,0.6719303620853079,0.040061, 2.299187, 3.193504,971,29218
570.3507009580889,0.6152650495772264,0.037832, 2.291796, 3.170343,927,30145
599.4607776345474,0.5994607776345474,0.038296, 2.314753, 3.196197,1000,31145
549.4521423250756,0.5723459815886204,0.039282, 2.291259, 3.158085,960,32105
516.94521784686,0.5323843644148919,0.038417, 2.309325, 3.179276,971,33076
586.019630290723,0.6390617560422278,0.040133, 2.323584, 3.190851,917,33993
565.994172422566,0.5734490095466727,0.041320, 2.323538, 3.185968,987,34980
555.8297116865231,0.5888026606848761,0.038001, 2.337838, 3.201669,944,35924
617.3839536299791,0.6261500543914595,0.042254, 2.342339, 3.213194,986,36910
612.9621165642563,0.6706368890199741,0.039724, 2.352782, 3.222233,914,37824
538.8814657343706,0.5851047402110431,0.039316, 2.374443, 3.250518,921,38745
