total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
28.25259492431284,0.029645954799908544,0.091098, 4.992152, 7.764339,953,953
318.30682933332116,0.3354128865472299,0.035688, 5.013180, 6.915863,949,1902
373.5656429973449,0.39572631673447556,0.019202, 3.246867, 4.537861,944,2846
523.9140751766947,0.5324330032283483,0.013427, 2.467600, 3.543220,984,3830
665.406755763376,0.7288135331471808,0.012729, 2.196747, 3.175311,913,4743
706.245200031253,0.7769474147758559,0.012453, 2.141567, 3.070373,909,5652
568.9434643646656,0.6084956838124765,0.015384, 2.137913, 3.040133,935,6587
460.50682618703866,0.4684708303021756,0.018285, 2.133830, 3.013351,983,7570
434.5651691632144,0.47545423322014707,0.023881, 2.164958, 3.066498,914,8484
179.89553286068195,0.1915820371253269,0.034992, 2.521034, 3.544709,939,9423
258.17925318094666,0.2697797838881365,0.040560, 2.656538, 3.686451,957,10380
548.4948193714815,0.5878829789619309,0.034748, 2.580925, 3.583521,933,11313
612.3714477291616,0.6656211388360451,0.032676, 2.497288, 3.468135,920,12233
593.514188387199,0.6381872993410742,0.035847, 2.459810, 3.418682,930,13163
600.1796544477928,0.6668662827197698,0.034805, 2.419731, 3.361747,900,14063
508.03715873929104,0.5303101865754604,0.035485, 2.400344, 3.333596,958,15021
658.6016110023882,0.6976711980957502,0.037423, 2.373160, 3.295841,944,15965
693.0297024608277,0.7615711016053052,0.038100, 2.377080, 3.298034,910,16875
644.8656445289957,0.6745456532730081,0.036981, 2.389524, 3.316336,956,17831
568.9008798013723,0.5988430313698656,0.039554, 2.372385, 3.291194,950,18781
666.3377273803958,0.7172634309799739,0.038806, 2.386885, 3.310673,929,19710
600.0978650562822,0.6104759563136136,0.039562, 2.402838, 3.335413,983,20693
539.040732433014,0.5422944994295915,0.038768, 2.398169, 3.326483,994,21687
617.2694055457582,0.6820656414870256,0.040011, 2.387597, 3.310420,905,22592
626.5265420751172,0.6700818631819435,0.039895, 2.399170, 3.322178,935,23527
620.6013731671392,0.6512081565237557,0.038671, 2.401058, 3.331075,953,24480
644.277741712705,0.7072203531423765,0.041767, 2.402723, 3.329571,911,25391
623.6157183435141,0.6634209769611852,0.041723, 2.420992, 3.352147,940,26331
617.5022362881244,0.6313928796402091,0.040590, 2.436164, 3.372162,978,27309
659.6003252240454,0.703198640963801,0.043744, 2.423913, 3.353448,938,28247
