total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
114.74240481721651,0.12040126423632372,3.103902, 15.115630, 22.116124,953,953
241.63444211617377,0.2546200654543454,0.229281, 13.026887, 17.657537,949,1902
158.34391738902474,0.16773720062396688,0.162826, 8.832316, 12.011659,944,2846
90.41671556425985,0.09188690606123968,0.139246, 6.675102, 9.312688,984,3830
189.10429223804402,0.20712408788394746,0.141210, 6.474951, 8.858048,913,4743
236.34309859493519,0.26000340879530826,0.106911, 5.707936, 7.769805,909,5652
233.28642040715445,0.24950419294882828,0.078767, 4.776631, 6.505811,935,6587
250.09133015621984,0.2544164091111087,0.082231, 4.098253, 5.607872,983,7570
244.5323371474985,0.2675408502707861,0.074444, 3.572759, 4.888266,914,8484
241.71110123742773,0.2574133133518932,0.066452, 3.136603, 4.302085,939,9423
331.25181319714903,0.3461356459740324,0.058473, 2.768955, 3.790222,957,10380
293.782378578974,0.31487929108142976,0.059872, 2.437290, 3.358860,933,11313
161.57939250998433,0.17562977446737427,0.054209, 2.139985, 2.972030,920,12233
258.5459915639246,0.2780064425418544,0.049150, 1.879318, 2.650116,930,13163
285.12897707302903,0.3168099745255878,0.051990, 1.755018, 2.498209,900,14063
421.09654549296886,0.4395579806815959,0.043415, 1.642456, 2.347827,958,15021
545.026255056448,0.5773583210343729,0.044174, 1.588414, 2.276293,944,15965
417.614180665583,0.4589166820500912,0.044668, 1.553118, 2.242388,910,16875
395.06231896089196,0.41324510351557736,0.048368, 1.537182, 2.225701,956,17831
474.2326422762669,0.4991922550276494,0.044543, 1.571485, 2.263570,950,18781
458.1783148535321,0.4931951720705404,0.042185, 1.596957, 2.305387,929,19710
432.87456503758176,0.4403606968846203,0.043865, 1.608503, 2.321655,983,20693
517.6568326697236,0.5207815218005267,0.046093, 1.608893, 2.316739,994,21687
520.3807877611532,0.5750063953161914,0.044085, 1.643847, 2.366148,905,22592
519.7162849845458,0.5558462941011185,0.041927, 1.667549, 2.393632,935,23527
595.0629349112298,0.6244102150170302,0.044428, 1.693366, 2.421011,953,24480
548.0060993569589,0.6015434680098342,0.041808, 1.765743, 2.548707,911,25391
537.3001038225375,0.571595855130359,0.042068, 1.842671, 2.659478,940,26331
496.0410616161679,0.5071994495052842,0.038187, 1.916729, 2.778799,978,27309
541.7122310327535,0.5775183699709525,0.038653, 2.015427, 2.896765,938,28247
613.5983031409003,0.631924102101854,0.034590, 2.077954, 2.964983,971,29218
538.1155346396109,0.580491407378221,0.039076, 2.127468, 3.029940,927,30145
527.4897526115512,0.5274897526115513,0.036337, 2.165459, 3.075224,1000,31145
595.2103456861237,0.6200107767563788,0.037274, 2.193129, 3.104722,960,32105
457.7785542573305,0.47145062230415086,0.034471, 2.196298, 3.100373,971,33076
575.3099765412796,0.6273827443198251,0.039335, 2.191167, 3.085404,917,33993
445.84890696001156,0.45172128364742814,0.037905, 2.206334, 3.098362,987,34980
486.8069005016748,0.515685275955164,0.038458, 2.214110, 3.095876,944,35924
679.1038196521092,0.6887462673956483,0.037677, 2.215736, 3.084138,986,36910
607.3905855439723,0.664541122039357,0.038460, 2.242712, 3.105284,914,37824
556.33008383365,0.6040500367357763,0.036902, 2.276979, 3.143625,921,38745
535.0272576915708,0.5393419936406963,0.038621, 2.276422, 3.137741,992,39737
637.2542522199612,0.6651923300834669,0.039335, 2.274376, 3.130024,958,40695
626.8773959649417,0.6919176555904434,0.040297, 2.271387, 3.118575,906,41601
569.8332616971286,0.5892794846919633,0.040985, 2.297947, 3.151347,967,42568
606.1978011850522,0.632774322740138,0.039725, 2.299827, 3.151062,958,43526
530.9810052822497,0.5401637897072734,0.038806, 2.298774, 3.149919,983,44509
583.7412295353294,0.6236551597599672,0.041935, 2.303235, 3.153226,936,45445
607.1238784086158,0.640426032076599,0.039924, 2.308475, 3.157012,948,46393
660.4969246249472,0.6638160046481881,0.041436, 2.306333, 3.157954,995,47388
610.0883554808413,0.6497213583395541,0.040520, 2.328168, 3.183504,939,48327
624.3953265046396,0.6572582384259363,0.041019, 2.309533, 3.153130,950,49277
577.4341467459989,0.6380487809348054,0.039181, 2.304246, 3.140861,905,50182
619.9758493905151,0.6262382317075911,0.037133, 2.330647, 3.178085,990,51172
