total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
144.08362239292543,0.15118953031786508,0.095824, 5.188067, 7.349157,953,953
285.0886914635829,0.3004095800459251,0.028794, 4.498559, 6.327922,949,1902
492.6039565138547,0.5218262251206088,0.024449, 3.613361, 5.108919,944,2846
495.63601728582734,0.5036951395181172,0.024725, 3.829128, 5.355557,984,3830
624.9162667338899,0.6844646952178421,0.020338, 3.373699, 4.705433,913,4743
706.2400959494782,0.7769417997243985,0.018549, 3.056363, 4.258687,909,5652
543.2637124072867,0.5810307084569911,0.015841, 2.838226, 3.957671,935,6587
478.56414427760717,0.48684043161506324,0.017567, 2.717500, 3.783821,983,7570
538.5612530877337,0.5892355066605401,0.019167, 2.686025, 3.734614,914,8484
610.3043950001962,0.6499514323750758,0.021316, 2.615607, 3.635410,939,9423
596.3632990526528,0.6231591421657814,0.023213, 2.534088, 3.521243,957,10380
573.9969520703308,0.6152164545233986,0.025646, 2.501774, 3.474581,933,11313
620.5897358640436,0.6745540607217866,0.027219, 2.469889, 3.420700,920,12233
621.2173441189559,0.667975638837587,0.029819, 2.465243, 3.417629,930,13163
609.298566120551,0.6769984068006122,0.031800, 2.443793, 3.384270,900,14063
422.7444645535024,0.4412781467155557,0.034333, 2.449848, 3.389997,958,15021
625.13658577764,0.6622209595102119,0.033289, 2.413208, 3.340562,944,15965
622.5557696963458,0.6841272194465339,0.035393, 2.394462, 3.313092,910,16875
572.935812878663,0.5993052435969278,0.037977, 2.398802, 3.316903,956,17831
619.6464203653684,0.6522593898582825,0.036637, 2.390155, 3.307124,950,18781
654.7963841424897,0.7048400259876101,0.037606, 2.393462, 3.304943,929,19710
599.2917474061394,0.6096558976664693,0.037639, 2.401409, 3.315561,983,20693
585.0855400203114,0.5886172434811986,0.037131, 2.423942, 3.345194,994,21687
601.6102747966345,0.6647627345819166,0.038196, 2.417040, 3.331841,905,22592
551.6660708750242,0.5900171881016301,0.037284, 2.427420, 3.343575,935,23527
630.3948310576044,0.6614846076155345,0.036871, 2.410084, 3.320469,953,24480
602.863095205005,0.6617597093359001,0.039756, 2.404858, 3.312946,911,25391
585.8161149695834,0.6232086329463653,0.039102, 2.408006, 3.310964,940,26331
590.108218407046,0.6033826364080225,0.040773, 2.437011, 3.349826,978,27309
630.3967020982557,0.6720647143904644,0.041936, 2.426511, 3.329048,938,28247
694.148541633872,0.7148800634746365,0.039823, 2.424230, 3.323966,971,29218
625.9852832237099,0.6752807801766018,0.039186, 2.436374, 3.343745,927,30145
587.9452412684429,0.5879452412684429,0.038761, 2.413981, 3.311505,1000,31145
606.640050189767,0.6319167189476739,0.041409, 2.421767, 3.319471,960,32105
548.8492315922384,0.5652412271804721,0.038494, 2.426518, 3.323543,971,33076
579.6459022457591,0.6321111256769456,0.044431, 2.428025, 3.323550,917,33993
572.8976434104318,0.5804434077106705,0.039760, 2.424856, 3.321884,987,34980
567.7123215791713,0.6013901711643764,0.040502, 2.425385, 3.324481,944,35924
728.2292503363303,0.7385692194080429,0.037513, 2.412549, 3.306175,986,36910
623.1062156820598,0.6817354657352952,0.039888, 2.415938, 3.311712,914,37824
589.3498916545119,0.6399021624913267,0.039974, 2.409661, 3.301586,921,38745
626.1471095751928,0.6311966830395088,0.037870, 2.417897, 3.309488,992,39737
607.4572441455147,0.6340889813627502,0.040093, 2.442011, 3.338371,958,40695
642.923426876353,0.7096285064860408,0.040250, 2.451759, 3.352610,906,41601
590.0809572294429,0.6102181563903236,0.039934, 2.446136, 3.343819,967,42568
617.6604520684621,0.6447395115537182,0.038465, 2.437455, 3.329967,958,43526
578.3863326687253,0.5883889447291204,0.038866, 2.425490, 3.317132,983,44509
646.7944889729847,0.6910197531762657,0.039629, 2.435076, 3.326847,936,45445
564.5501916592,0.5955170798092827,0.038321, 2.435525, 3.329446,948,46393
597.500662687495,0.600503178580397,0.039007, 2.436527, 3.330820,995,47388
653.6050371291311,0.6960650022674453,0.039174, 2.416897, 3.306450,939,48327
623.2380510797051,0.6560400537681106,0.040500, 2.443989, 3.335369,950,49277
564.6283317847444,0.6238987091544137,0.039311, 2.441210, 3.329241,905,50182
642.1300969316726,0.648616259526942,0.038336, 2.429336, 3.308186,990,51172
613.2062011411031,0.6636430748280336,0.037304, 2.446638, 3.332357,924,52096
629.5711011139311,0.6948908400816017,0.039989, 2.465007, 3.352920,906,53002
548.7826634832983,0.5913606287535542,0.039927, 2.449418, 3.335272,928,53930
774.1133999678116,0.8209049840591851,0.036533, 2.449680, 3.343588,943,54873
649.0985739132145,0.6994596701651019,0.039326, 2.460154, 3.359451,928,55801
641.7019750853923,0.6534643330808475,0.037224, 2.461376, 3.364957,982,56783
667.6269220212145,0.6764203870529022,0.038625, 2.470006, 3.377203,987,57770
680.3369216165021,0.7323325313417676,0.036442, 2.491710, 3.400098,929,58699
583.0883103567722,0.6048633924862783,0.037437, 2.498313, 3.408833,964,59663
562.4782005925717,0.6160768900247227,0.040451, 2.499485, 3.411237,913,60576
680.4009891814198,0.7192399462805706,0.039563, 2.499013, 3.414484,946,61522
525.5153863897757,0.5329770653040321,0.038091, 2.495916, 3.410250,986,62508
658.7697644029821,0.683371124899359,0.037350, 2.488478, 3.410678,964,63472
653.0873795822347,0.6691469053096667,0.037122, 2.484715, 3.402091,976,64448
627.1480615199841,0.6664697784484422,0.038285, 2.493898, 3.406832,941,65389
637.5860249752327,0.704514944724014,0.037095, 2.505535, 3.419663,905,66294
665.287381101312,0.6901321380719004,0.037385, 2.498928, 3.404698,964,67258
643.3860914880066,0.6512004974574966,0.037561, 2.504137, 3.418602,988,68246
642.5576963748748,0.6693309337238279,0.037881, 2.501085, 3.416008,960,69206
555.3477853102106,0.5952280657129803,0.037612, 2.497835, 3.417709,933,70139
632.4781307231892,0.6343812745468297,0.039613, 2.495746, 3.407794,997,71136
631.9726259059639,0.638356187783802,0.038334, 2.489827, 3.401708,990,72126
647.2839676507188,0.6799201340868894,0.039326, 2.484605, 3.392562,952,73078
600.1244769037523,0.6446020160083269,0.038733, 2.490413, 3.395891,931,74009
617.0129736050703,0.6620310875590883,0.040958, 2.496939, 3.406227,932,74941
595.2031158581178,0.6200032456855394,0.038524, 2.490874, 3.398482,960,75901
608.7750294081636,0.6574244378057923,0.039392, 2.502780, 3.403512,926,76827
666.2230983640186,0.6903866304290348,0.039610, 2.485180, 3.385632,965,77792
