total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
73.04074193964298,0.0766429611119024,17.304524, 38.606821, 56.979782,953,953
250.71405899600208,0.264187628025292,0.965230, 35.967464, 48.303677,949,1902
317.31338047831014,0.33613705559143026,0.686601, 25.654057, 34.542000,944,2846
326.1963889686578,0.3315003952933514,0.426202, 17.520555, 23.661013,984,3830
396.9606030886806,0.43478707895802915,0.185309, 11.749797, 15.952529,913,4743
498.2062914153341,0.5480817287297405,0.154590, 8.343694, 11.418977,909,5652
530.0245406181115,0.5668711664364828,0.131925, 6.223213, 8.574383,935,6587
447.9571437495655,0.45570411368216224,0.079090, 4.800200, 6.648505,983,7570
458.68891454475,0.5018478277294858,0.050126, 3.993315, 5.532074,914,8484
517.3560202520696,0.5509648777977312,0.050825, 3.384286, 4.716384,939,9423
521.8391393075732,0.5452864569567119,0.058933, 2.989048, 4.178786,957,10380
504.66691374590647,0.5409077317748193,0.051977, 2.722064, 3.823167,933,11313
589.8137663732177,0.6411019199708888,0.038166, 2.550833, 3.562609,920,12233
556.0763644881658,0.5979315747184579,0.043749, 2.438229, 3.416637,930,13163
568.4277860146923,0.6315864289052137,0.048414, 2.366315, 3.309352,900,14063
453.83234711105183,0.4737289635814737,0.037759, 2.301557, 3.213691,958,15021
592.546409990889,0.6276974682106874,0.044411, 2.260694, 3.156235,944,15965
645.1553549171108,0.7089619284803416,0.041342, 2.239078, 3.124046,910,16875
579.0462052492992,0.6056968674155849,0.041949, 2.228781, 3.098789,956,17831
606.5990840020868,0.638525351581144,0.046375, 2.231261, 3.101830,950,18781
647.6384778724939,0.6971350676776038,0.045504, 2.229912, 3.088115,929,19710
541.8424480652395,0.5512130702596536,0.046594, 2.223083, 3.083298,983,20693
558.4915880912928,0.561862764679369,0.047937, 2.251926, 3.111914,994,21687
568.978946684558,0.6287060184359756,0.043225, 2.263703, 3.135864,905,22592
569.7404779791168,0.6093481047904993,0.049856, 2.318811, 3.211777,935,23527
568.7460447505837,0.5967954299586398,0.044476, 2.297109, 3.181761,953,24480
551.4330928030363,0.605305261035166,0.044415, 2.316618, 3.207113,911,25391
511.5986746862135,0.5442539092406526,0.046929, 2.315485, 3.199032,940,26331
550.4576553017816,0.56284013834538,0.040434, 2.334509, 3.224261,978,27309
643.8274133975623,0.6863831699334353,0.043190, 2.348283, 3.235155,938,28247
684.4865346792836,0.7049294898859769,0.039219, 2.386176, 3.284822,971,29218
579.356781042351,0.6249803463240032,0.043239, 2.379950, 3.262066,927,30145
591.0179616240516,0.5910179616240516,0.041362, 2.380748, 3.261611,1000,31145
608.1306923294109,0.6334694711764697,0.040093, 2.376119, 3.256119,960,32105
525.2028485800488,0.5408886185170431,0.043542, 2.394451, 3.277248,971,33076
598.7501191121783,0.6529445137537385,0.038549, 2.379870, 3.260662,917,33993
528.5950046760515,0.5355572489119063,0.040267, 2.397350, 3.285556,987,34980
538.1447751685259,0.570068617763269,0.043539, 2.407716, 3.298097,944,35924
694.4833765287877,0.7043441952624622,0.043499, 2.377190, 3.257293,986,36910
610.893055003994,0.6683731455185931,0.040733, 2.402935, 3.291051,914,37824
609.0998421622098,0.6613461912727577,0.043745, 2.415468, 3.313211,921,38745
534.3571087615281,0.5386664402837985,0.044072, 2.406042, 3.301115,992,39737
651.5559646636348,0.6801210487094309,0.043971, 2.420951, 3.316539,958,40695
662.0653484158156,0.7307564552050945,0.043104, 2.403965, 3.304087,906,41601
615.252965153807,0.6362491883700176,0.042961, 2.425798, 3.330381,967,42568
612.9298479496703,0.6398015114297184,0.043278, 2.437419, 3.346896,958,43526
516.5631086093633,0.5254965499586606,0.044636, 2.425111, 3.330658,983,44509
668.1057984006976,0.7137882461545915,0.044532, 2.408763, 3.310120,936,45445
625.9643485131306,0.6602999456889563,0.044544, 2.426478, 3.334949,948,46393
608.3962425062425,0.6114535100565252,0.045596, 2.432986, 3.336437,995,47388
622.5689057593581,0.6630126791899448,0.042258, 2.401274, 3.297626,939,48327
594.5737684471718,0.6258671246812335,0.046059, 2.420946, 3.314317,950,49277
600.9476261059032,0.6640305260838709,0.042874, 2.425664, 3.322953,905,50182
647.3191032951966,0.6538576800961582,0.043013, 2.421036, 3.314869,990,51172
690.3266426953652,0.7471067561638152,0.043482, 2.429906, 3.334453,924,52096
635.391129919293,0.701314712935202,0.042318, 2.458298, 3.368609,906,53002
561.0384573604352,0.6045673031901242,0.042526, 2.434417, 3.334834,928,53930
794.9403950310691,0.8429908749003914,0.043192, 2.445765, 3.347787,943,54873
674.0283060298347,0.7263236056355977,0.044325, 2.460480, 3.371956,928,55801
587.0553604737793,0.5978160493623007,0.043530, 2.474293, 3.389242,982,56783
642.0998728475131,0.6505571153470244,0.045419, 2.472020, 3.388040,987,57770
682.8234628488602,0.7350091096327882,0.044126, 2.482342, 3.407034,929,58699
668.6399087781008,0.693609863877698,0.044061, 2.499768, 3.426196,964,59663
552.4930486315803,0.6051402504179412,0.042328, 2.506518, 3.432570,913,60576
684.1943207433667,0.7232498105109585,0.041760, 2.507536, 3.440100,946,61522
624.2507848336485,0.6331143862410228,0.042410, 2.508054, 3.436052,986,62508
639.4124023720385,0.6632908738299155,0.041780, 2.506817, 3.439664,964,63472
673.1222628010489,0.6896744495912387,0.042499, 2.507674, 3.438838,976,64448
668.1770991154331,0.7100713061800564,0.043260, 2.531300, 3.466733,941,65389
667.5512944391124,0.7376257397117264,0.042313, 2.541516, 3.478430,905,66294
650.7389811405217,0.675040436867761,0.041625, 2.535194, 3.473402,964,67258
645.6839258125577,0.6535262407009693,0.039381, 2.536774, 3.479776,988,68246
643.3755335614462,0.6701828474598398,0.039734, 2.538393, 3.478146,960,69206
614.1332554838483,0.6582350005185941,0.040848, 2.567392, 3.512931,933,70139
599.4818624279965,0.6012857195867567,0.040682, 2.551074, 3.501207,997,71136
628.1564759663937,0.6345014908751452,0.039801, 2.534300, 3.481419,990,72126
628.8230914228532,0.6605284573769467,0.040443, 2.545435, 3.496988,952,73078
599.6322873857412,0.6440733484272193,0.041055, 2.547393, 3.500283,931,74009
644.7059139937642,0.6917445429117641,0.039360, 2.546672, 3.495934,932,74941
645.8181309691176,0.6727272197594976,0.040381, 2.538531, 3.476836,960,75901
642.9409521437038,0.6943206826605873,0.039912, 2.550431, 3.497941,926,76827
679.4410586231176,0.7040839985731788,0.040214, 2.548420, 3.492769,965,77792
647.1286905666636,0.6726909465349934,0.040676, 2.560588, 3.510070,962,78754
569.5737770097461,0.6104756452408854,0.039825, 2.536178, 3.478143,933,79687
556.3571698448795,0.5591529345174668,0.040190, 2.511334, 3.439965,995,80682
566.9893011013806,0.606405669627145,0.043709, 2.510325, 3.432609,935,81617
558.9277282121877,0.6042461926618246,0.040576, 2.494361, 3.416475,925,82542
507.665134903363,0.5102162159832794,0.042376, 2.489991, 3.410104,995,83537
627.1242451777448,0.6386193942746892,0.041434, 2.467620, 3.377426,982,84519
533.0482344282245,0.5896551265798944,0.043232, 2.450622, 3.355593,904,85423
564.5729827252596,0.582034002809546,0.042110, 2.455185, 3.357173,970,86393
636.7873904100238,0.683982159409263,0.041400, 2.433545, 3.330656,931,87324
630.4988388226013,0.699000929958538,0.041280, 2.449746, 3.352849,902,88226
680.4733683755786,0.7147829499743473,0.040817, 2.453726, 3.358262,952,89178
616.3634606981377,0.6263856307907903,0.038652, 2.453373, 3.363541,984,90162
524.2059521461526,0.5393065351297867,0.041510, 2.446651, 3.352466,972,91134
507.68306478230147,0.5169888643404292,0.040578, 2.426445, 3.330333,982,92116
682.1261094564643,0.6904110419599842,0.040033, 2.414744, 3.307093,988,93104
578.417395701287,0.5920341818846335,0.040252, 2.405524, 3.292569,977,94081
597.5872870289066,0.660317444230836,0.040369, 2.412419, 3.298917,905,94986
603.8601428944874,0.609959740297462,0.038001, 2.407435, 3.290280,990,95976
545.1559466619809,0.5649284421367677,0.038341, 2.396955, 3.276066,965,96941
532.1932301087521,0.532725956064817,0.037147, 2.387638, 3.270499,999,97940
550.5766451732828,0.591382003408467,0.038366, 2.365387, 3.240539,931,98871
549.4733551114487,0.6105259501238318,0.041062, 2.370559, 3.246437,900,99771
