total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
68.72653337694194,0.0721159846557628,0.069143, 4.509096, 6.997986,953,953
268.41745597139203,0.282842419358685,0.073019, 4.529588, 6.400603,949,1902
384.97349974925805,0.4078109107513327,0.043772, 2.798974, 4.101148,944,2846
363.6827832852772,0.3695963244769077,0.032378, 2.406779, 3.531215,984,3830
581.4742459385892,0.6368830733171842,0.019813, 2.052734, 3.003798,913,4743
610.8574958666826,0.6720104464980007,0.018802, 1.993754, 2.912899,909,5652
518.0455105494406,0.5540593695715942,0.024062, 1.985882, 2.908908,935,6587
409.3713556051645,0.4164510229960982,0.022027, 1.995837, 2.902539,983,7570
466.3944356496123,0.5102783759842585,0.024260, 1.995890, 2.873545,914,8484
517.994983981381,0.5516453503529084,0.023609, 2.023740, 2.899689,939,9423
571.4898184853308,0.5971680443942851,0.027873, 2.072383, 2.942871,957,10380
472.8316578147656,0.5067863427810992,0.029798, 2.106619, 2.979539,933,11313
640.408712601616,0.696096426740887,0.031308, 2.153305, 3.032497,920,12233
514.2276501342578,0.5529329571336106,0.029213, 2.203124, 3.096078,930,13163
554.4675163565113,0.6160750181739014,0.032050, 2.233850, 3.130219,900,14063
432.5074533307279,0.4514691579652692,0.029582, 2.246991, 3.132227,958,15021
603.3608981209645,0.6391534937722082,0.032274, 2.254008, 3.132855,944,15965
652.1663123532035,0.7166662773112126,0.035641, 2.271338, 3.153791,910,16875
522.6592414872672,0.5467146877481874,0.035824, 2.276878, 3.154279,956,17831
528.7969477300128,0.5566283660315924,0.034965, 2.297729, 3.173299,950,18781
577.0542975721851,0.6211564021229118,0.035900, 2.283141, 3.157145,929,19710
520.1678094632128,0.5291635905017424,0.035253, 2.291952, 3.165706,983,20693
459.46155423667875,0.46223496402080355,0.036629, 2.282310, 3.152939,994,21687
535.4575130833723,0.5916657603131186,0.034841, 2.266163, 3.127072,905,22592
557.0583686684217,0.5957843515170286,0.034107, 2.255967, 3.107335,935,23527
598.7242183731428,0.6282520654492579,0.034709, 2.261973, 3.117272,953,24480
555.458248591666,0.609723653777899,0.036132, 2.277977, 3.138238,911,25391
561.1981219578361,0.597019278678549,0.035264, 2.270562, 3.121882,940,26331
508.83944008992404,0.520285726063317,0.038311, 2.300066, 3.151317,978,27309
626.1251210784245,0.6675107900622863,0.038492, 2.264886, 3.091603,938,28247
686.3451110025051,0.7068435746678734,0.036264, 2.304176, 3.138004,971,29218
605.0451771417644,0.6526916689770921,0.039253, 2.297838, 3.134421,927,30145
522.469374055713,0.522469374055713,0.037812, 2.288887, 3.115156,1000,31145
657.1249634514138,0.6845051702618894,0.038083, 2.285965, 3.111310,960,32105
544.8211292209908,0.5610928210308864,0.039323, 2.312534, 3.146704,971,33076
620.4012745538896,0.6765553702877749,0.039298, 2.339407, 3.182439,917,33993
483.58045988638423,0.48994980738235483,0.038312, 2.356139, 3.209420,987,34980
587.8714000709372,0.6227451271937894,0.035395, 2.341831, 3.195164,944,35924
710.5619906588524,0.7206511061448808,0.039857, 2.349962, 3.206079,986,36910
637.8225203550255,0.6978364555306625,0.039058, 2.345648, 3.199032,914,37824
615.8590607218542,0.66868519079463,0.038333, 2.349202, 3.207647,921,38745
643.0761025950685,0.6482622001966416,0.039971, 2.349433, 3.207366,992,39737
643.6370367627425,0.6718549444287499,0.041956, 2.387393, 3.259666,958,40695
664.6769584266706,0.733639026961005,0.040491, 2.381897, 3.252205,906,41601
