total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
87.55674524789379,0.09187486384878676,2.566419, 6.880463, 12.320740,953,953
205.13441021583105,0.2161584933781149,0.080226, 7.712005, 10.632157,949,1902
283.0754568868344,0.2998680687360534,0.059026, 6.000839, 8.371416,944,2846
377.8910649574207,0.38403563511933,0.044863, 3.983980, 5.606181,984,3830
553.8112273831254,0.6065840387547923,0.027657, 3.141690, 4.462148,913,4743
616.6678439791917,0.6784024686239734,0.024842, 2.780965, 3.999815,909,5652
531.8499945513612,0.5688235235843435,0.024658, 2.602387, 3.709981,935,6587
437.1236467409195,0.44468326219829046,0.022493, 2.484097, 3.531693,983,7570
538.5852613696705,0.5892617739274295,0.022314, 2.449152, 3.496410,914,8484
671.1869317675894,0.7147890647152176,0.023997, 2.457977, 3.503789,939,9423
557.1732345378891,0.5822081865599678,0.026283, 2.463820, 3.495735,957,10380
505.7398441103844,0.5420577107292437,0.026647, 2.447701, 3.464883,933,11313
600.9941722793815,0.6532545350862842,0.028152, 2.453075, 3.458258,920,12233
596.3948228122642,0.6412847557121121,0.029413, 2.487143, 3.491964,930,13163
590.8872638606441,0.6565414042896046,0.034774, 2.470996, 3.461758,900,14063
476.94901485783816,0.49785909692884983,0.034778, 2.468089, 3.449503,958,15021
621.8879203980853,0.6587795766928869,0.036182, 2.473536, 3.449760,944,15965
691.3391700971904,0.7597133737331763,0.036259, 2.474332, 3.444843,910,16875
637.2168917482662,0.6665448658454668,0.039219, 2.484782, 3.453041,956,17831
648.8509757337222,0.6830010270881286,0.040145, 2.481923, 3.446300,950,18781
635.1866603362769,0.6837316042371118,0.039423, 2.493618, 3.458897,929,19710
600.615258136713,0.6110022971889247,0.041388, 2.500762, 3.464519,983,20693
570.9548593870821,0.5744012669890163,0.039429, 2.501366, 3.460511,994,21687
