total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
79.43934495148403,0.0833571300645163,20.858744, 7.134225, 15.383166,953,953
132.36540534963808,0.13947882544745846,0.766817, 1.535736, -1.020855,949,1902
140.91443360016402,0.14927376440695342,0.289964, 0.578388, 0.342391,944,2846
301.3957144840641,0.30629645780900827,0.054314, 0.593625, 0.814373,984,3830
481.4866123607161,0.5273675929471151,0.029087, 0.821857, 1.305559,913,4743
609.1397504041702,0.670120737518339,0.024546, 1.102484, 1.709892,909,5652
505.04469350371846,0.5401547524103941,0.025028, 1.361075, 2.061721,935,6587
421.77447240282237,0.4290686392704195,0.025355, 1.591006, 2.364891,983,7570
472.040482700679,0.5164556703508523,0.027442, 1.754961, 2.565284,914,8484
573.4477887289288,0.6107005204780924,0.028512, 1.871991, 2.714233,939,9423
620.9253688598449,0.648824836844143,0.030960, 2.033182, 2.918718,957,10380
542.1959368898932,0.5811317651552982,0.032113, 2.162938, 3.089453,933,11313
642.925342703217,0.6988318942426271,0.033002, 2.260410, 3.205903,920,12233
558.147518037343,0.6001586215455301,0.036172, 2.339557, 3.297673,930,13163
545.9746807060673,0.6066385341178525,0.036937, 2.367943, 3.317906,900,14063
375.25193625609415,0.391703482522019,0.034920, 2.396798, 3.363067,958,15021
629.7610145339081,0.6671197187859196,0.034213, 2.378553, 3.334364,944,15965
657.8431790580511,0.7229045923714847,0.036130, 2.404532, 3.356691,910,16875
487.24351581707896,0.509668949599455,0.032190, 2.417576, 3.367457,956,17831
660.1627521900022,0.6949081602000022,0.035500, 2.418108, 3.364697,950,18781
565.889595185086,0.6091384232347535,0.035632, 2.438990, 3.386148,929,19710
542.1504678840727,0.551526416972607,0.037695, 2.447051, 3.388873,983,20693
460.20152830905363,0.4629794047374785,0.037761, 2.418109, 3.347341,994,21687
487.88603360863056,0.5391005896227962,0.038656, 2.407097, 3.323616,905,22592
573.3554317737169,0.613214365533387,0.036696, 2.391471, 3.302943,935,23527
554.3780314816252,0.5817188158254198,0.036887, 2.379528, 3.287690,953,24480
573.8343672986144,0.629895024477074,0.039705, 2.368451, 3.272177,911,25391
541.2542582145895,0.5758024023559463,0.037851, 2.342835, 3.231209,940,26331
628.7516807787117,0.6428953791193371,0.041061, 2.311265, 3.178704,978,27309
621.1036438236251,0.6621574027970417,0.040211, 2.310389, 3.166730,938,28247
728.8021228192357,0.7505686125841768,0.038216, 2.328488, 3.184223,971,29218
538.9474924425733,0.581388880736325,0.041430, 2.358869, 3.225680,927,30145
579.370769118624,0.5793707691186241,0.038498, 2.317095, 3.170922,1000,31145
629.3104386485021,0.655531706925523,0.040472, 2.306140, 3.158055,960,32105
502.5825018919083,0.5175926898989787,0.041622, 2.333549, 3.190041,971,33076
576.5141474699269,0.6286959078188952,0.041702, 2.330960, 3.191492,917,33993
554.4957493012637,0.5617991380965184,0.042659, 2.329508, 3.184159,987,34980
562.4784576473039,0.5958458237789236,0.041979, 2.314502, 3.166523,944,35924
693.7027139483973,0.7035524482235267,0.038948, 2.318291, 3.169362,986,36910
633.8160956415985,0.6934530586888387,0.038333, 2.325356, 3.188002,914,37824
588.082248885311,0.6385257859775363,0.039045, 2.327020, 3.189758,921,38745
620.9848597701059,0.6259928021876068,0.039972, 2.326497, 3.180254,992,39737
634.2741386522471,0.662081564355164,0.042946, 2.352536, 3.217242,958,40695
632.3137891145054,0.6979180895303592,0.041701, 2.351029, 3.218315,906,41601
596.057340485497,0.6163984906778666,0.039587, 2.370825, 3.242411,967,42568
620.8265989164597,0.6480444665098745,0.043407, 2.358510, 3.225122,958,43526
560.5104863668489,0.5702039535776693,0.040259, 2.350129, 3.213866,983,44509
625.6702177102766,0.6684510872973041,0.043328, 2.367438, 3.236890,936,45445
612.9567057713765,0.6465788035563044,0.043204, 2.359285, 3.228120,948,46393
