total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
52.02692225644458,0.04516225890316369,3.222226, 10.792058, 15.718015,1152,1152
161.96343964882067,0.14194867629169208,0.030144, 6.846949, 9.340786,1141,2293
429.53072088607513,0.35913939873417655,0.020559, 3.885602, 5.377321,1196,3489
378.70761998599386,0.3158528940667171,0.014129, 2.711868, 3.810254,1199,4688
498.57705106157334,0.44317960094362074,0.012854, 2.087309, 2.952319,1125,5813
442.12513819537327,0.37691827638139236,0.012007, 1.736930, 2.454061,1173,6986
544.5238596085408,0.46780400310012094,0.020591, 2.096434, 2.920888,1164,8150
485.1870743658071,0.42116933538698537,0.015780, 2.350052, 3.243068,1152,9302
511.55087901454266,0.44444038142010656,0.020006, 2.522101, 3.473483,1151,10453
551.8461450234589,0.47986621306387733,0.020557, 2.536654, 3.493235,1150,11603
499.2047255072905,0.43034890129938835,0.021581, 2.456394, 3.384646,1160,12763
483.0937499217871,0.4097487276690306,0.027095, 2.395476, 3.298838,1179,13942
541.4279061557543,0.483417773353352,0.035615, 2.403753, 3.330524,1120,15062
489.6855442691141,0.4387863299902456,0.032736, 2.389150, 3.309639,1116,16178
451.9567613944149,0.4101241028987431,0.036080, 2.428076, 3.385646,1102,17280
450.592989408643,0.4041192730122359,0.048417, 2.383789, 3.356767,1115,18395
482.08803828904615,0.4057980120278166,0.038277, 2.339693, 3.287549,1188,19583
624.1259092390217,0.5348122615587161,0.037444, 2.340297, 3.283513,1167,20750
636.4752271392682,0.5744361255769569,0.037343, 2.335910, 3.271783,1108,21858
649.9464608741935,0.5797916689332681,0.042094, 2.284008, 3.173661,1121,22979
572.2125939634475,0.4800441224525566,0.041719, 2.301116, 3.187327,1192,24171
410.0761729176836,0.3613005928790164,0.042663, 2.283294, 3.172585,1135,25306
554.1091945491835,0.4938584621650477,0.041775, 2.204735, 3.064545,1122,26428
453.61328761298563,0.39239903772749624,0.035121, 2.079787, 2.899181,1156,27584
482.9063840348785,0.4307817877206766,0.031940, 2.001295, 2.789093,1121,28705
412.0856871555531,0.34745842087314766,0.033082, 2.050735, 2.841474,1186,29891
494.2741037434696,0.43510044343615284,0.041875, 2.209594, 3.062732,1136,31027
565.5052073512863,0.5026712954233656,0.039662, 2.268971, 3.151068,1125,32152
600.3646741823826,0.534607902210492,0.039630, 2.335076, 3.256910,1123,33275
529.8476590946678,0.45247451673327743,0.041100, 2.254073, 3.171167,1171,34446
557.9091369815249,0.4932883616105436,0.036916, 2.160101, 3.023361,1131,35577
543.144086752784,0.4906450648173297,0.037052, 2.116113, 2.939875,1107,36684
613.1865573654297,0.5327424477545002,0.035849, 2.051391, 2.836660,1151,37835
608.9097331792643,0.5422170375594517,0.037328, 2.013770, 2.776527,1123,38958
589.3117271399642,0.5032551043039831,0.041051, 2.076017, 2.854219,1171,40129
654.6923511287348,0.5940946924943147,0.041694, 2.098393, 2.912741,1102,41231
571.4231056118763,0.51479559064133,0.043803, 2.112679, 2.930842,1110,42341
522.9628856374047,0.43799236653048973,0.041712, 2.104732, 2.918034,1194,43535
605.5843554818501,0.5145151703329228,0.041042, 2.028853, 2.826437,1177,44712
638.5062162501118,0.5685718755566446,0.039439, 2.016812, 2.807552,1123,45835
572.5092667785823,0.49870145189771975,0.037679, 1.988766, 2.758243,1148,46983
554.8238033639469,0.46623849022180414,0.036410, 1.985595, 2.766541,1190,48173
544.3324709604507,0.4903896134778835,0.039595, 1.969797, 2.751001,1110,49283
480.86213264419246,0.41099327576426703,0.037418, 1.967409, 2.752208,1170,50453
432.86745973557805,0.39173525767925615,0.033630, 1.905690, 2.683653,1105,51558
650.9152157257827,0.5848294840303528,0.030042, 1.950278, 2.743231,1113,52671
544.0117378780425,0.45985776659175187,0.031162, 2.030146, 2.839815,1183,53854
689.2877270521942,0.6159854575980288,0.033055, 2.022233, 2.810902,1119,54973
617.4839006602954,0.5237352846991479,0.035964, 2.084964, 2.883637,1179,56152
634.1683701011239,0.5607147392582881,0.041911, 2.077838, 2.864506,1131,57283
706.3587303953997,0.6110369640098613,0.039743, 2.089575, 2.879864,1156,58439
667.5174136355774,0.586055674833694,0.040302, 2.137850, 2.942705,1139,59578
676.2095544255328,0.5989455752219068,0.039540, 2.167639, 2.991507,1129,60707
557.4267703805231,0.4937349604787627,0.038619, 2.174713, 2.998540,1129,61836
603.8703313428045,0.5420739060527868,0.039375, 2.126866, 2.944143,1114,62950
596.8773369647164,0.49906131853237157,0.037288, 2.059872, 2.866330,1196,64146
593.8535057242173,0.5264658738689869,0.034378, 2.007469, 2.798886,1128,65274
549.0133862490995,0.46566020886267984,0.036097, 1.936824, 2.683112,1179,66453
611.3633205542005,0.519866769178742,0.038658, 1.934947, 2.675827,1176,67629
561.3105875203445,0.48057413315097985,0.037172, 1.922384, 2.676266,1168,68797
585.4309807106376,0.5227062327773551,0.036792, 1.880908, 2.635360,1120,69917
677.7197185885866,0.6083659951423578,0.038036, 1.936411, 2.708848,1114,71031
508.2806045548657,0.4239204374936328,0.038771, 1.940604, 2.714343,1199,72230
623.5143582284746,0.551782617901305,0.038717, 1.940452, 2.710832,1130,73360
436.5794198091264,0.38499067002568466,0.042048, 2.008320, 2.813845,1134,74494
285.8983378516482,0.2402507040770153,0.035602, 1.978738, 2.797325,1190,75684
390.7032666458123,0.34946624923596803,0.028328, 1.782133, 2.556997,1118,76802
601.4515356606116,0.5207372603122179,0.034223, 1.774463, 2.571754,1155,77957
583.394605479011,0.5081834542500097,0.035856, 1.823537, 2.646272,1148,79105
616.4201620595841,0.5346228638851553,0.039964, 1.754096, 2.500057,1153,80258
538.9894033536896,0.4816706017459245,0.036917, 1.853009, 2.604027,1119,81377
483.83176946551134,0.4107230640624035,0.035215, 1.938158, 2.711198,1178,82555
531.1103794860301,0.4750540066959124,0.031267, 1.837771, 2.558556,1118,83673
608.493922882984,0.549182240869119,0.032424, 1.839859, 2.549093,1108,84781
565.2081127898825,0.4802108010109452,0.031904, 1.779321, 2.489643,1177,85958
533.498402230532,0.47295957644550707,0.033199, 1.788636, 2.528180,1128,87086
686.4071886463284,0.6101397232411808,0.033617, 1.910287, 2.695897,1125,88211
600.5985461534965,0.519548915357696,0.032331, 2.000708, 2.834738,1156,89367
667.660407356796,0.5701626023542238,0.036147, 2.072829, 2.922236,1171,90538
570.9090073142639,0.5061250064842765,0.039412, 2.139075, 2.990516,1128,91666
589.4400846746252,0.5358546224314774,0.035993, 2.124851, 2.954150,1100,92766
674.9195967308569,0.571481453624773,0.032146, 2.104038, 2.922003,1181,93947
615.8588291851663,0.5332111075196245,0.031558, 2.107553, 2.924056,1155,95102
630.6285502908036,0.5732986820825486,0.029504, 2.087913, 2.897314,1100,96202
572.4440916291383,0.5052463297697601,0.031364, 2.068418, 2.863992,1133,97335
484.0101828472554,0.42606530180216146,0.034247, 1.992291, 2.763497,1136,98471
578.1302699448692,0.49968044074751006,0.034315, 1.903698, 2.648765,1157,99628
547.32920018766,0.4835063605898057,0.036446, 1.851303, 2.591450,1132,100760
586.5930863844908,0.5150070995474019,0.037622, 1.789463, 2.525233,1139,101899
605.8159285339917,0.512101376613687,0.037683, 1.778664, 2.515478,1183,103082
632.7417235968079,0.5511687487777073,0.039276, 1.821089, 2.565798,1148,104230
