total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
132.1609123283582,0.13867881671391205,0.529927, 17.726739, 24.470397,953,953
303.79327881957704,0.32011936651167233,0.131747, 11.061389, 14.900604,949,1902
386.8779056516628,0.409828289885236,0.066961, 6.344473, 8.606637,944,2846
478.15067929910083,0.48592548709258215,0.051635, 4.040753, 5.549622,984,3830
632.1823921923221,0.6924232116016672,0.032865, 2.981489, 4.120893,913,4743
536.9108265306112,0.5906609752812004,0.029304, 2.279312, 3.189255,909,5652
583.9446510205441,0.6245397337118119,0.024031, 1.685141, 2.389261,935,6587
504.12278578901316,0.5128410842207662,0.026104, 1.767053, 2.507347,983,7570
437.0622471947162,0.47818626607737,0.028413, 1.933501, 2.718740,914,8484
470.4715789317631,0.5010346953479905,0.029595, 2.026255, 2.837182,939,9423
541.0435466066158,0.5653537582096299,0.030704, 2.008957, 2.814567,957,10380
486.21252461137806,0.521128107836418,0.032874, 1.992311, 2.802750,933,11313
575.4183417024844,0.6254547192418309,0.033863, 2.009066, 2.795692,920,12233
632.2165144710384,0.6798027037322993,0.039828, 2.139261, 2.976011,930,13163
599.0089433427344,0.6655654926030382,0.043183, 2.267443, 3.152986,900,14063
532.6410937321584,0.5559927909521487,0.048307, 2.365446, 3.296618,958,15021
590.4023333738933,0.6254262006079377,0.048462, 2.461151, 3.439681,944,15965
583.0920199006516,0.6407604614292874,0.050149, 2.485085, 3.461579,910,16875
473.62748343444395,0.495426237902138,0.048046, 2.458846, 3.430936,956,17831
574.1144588388693,0.6043310093040729,0.043791, 2.395320, 3.350258,950,18781
601.1559376449533,0.6471000405220164,0.038446, 2.381963, 3.330898,929,19710
516.5248764912793,0.5254576566544041,0.034355, 2.376394, 3.304522,983,20693
572.8776983953009,0.5763357126713289,0.035630, 2.356163, 3.250983,994,21687
571.2048824506738,0.6311656159675954,0.033590, 2.325562, 3.209081,905,22592
604.412483470425,0.6464304636047326,0.035268, 2.392369, 3.297813,935,23527
623.6751947156016,0.6544335726291727,0.035123, 2.430974, 3.353835,953,24480
537.6645011031131,0.5901915489606072,0.037524, 2.434398, 3.373589,911,25391
555.1809775770648,0.5906180612521966,0.041560, 2.439162, 3.385048,940,26331
623.6184366745283,0.6376466632663889,0.041254, 2.451704, 3.407559,978,27309
583.5524805047634,0.6221241796426049,0.043181, 2.470806, 3.435366,938,28247
677.2395534983109,0.6974660695142234,0.045432, 2.451548, 3.391302,971,29218
581.6407711685044,0.6274441975927771,0.039598, 2.469395, 3.414335,927,30145
562.2376996488782,0.5622376996488783,0.034911, 2.477882, 3.430077,1000,31145
628.4109804331816,0.6545947712845642,0.035173, 2.461625, 3.401618,960,32105
543.0567079389432,0.5592757033356779,0.033729, 2.434674, 3.367217,971,33076
561.9237102642203,0.6127848530689425,0.036213, 2.389486, 3.311687,917,33993
523.0624497174067,0.5299518234218913,0.037279, 2.334292, 3.237413,987,34980
548.4772272472258,0.581014011914434,0.037008, 2.300266, 3.184660,944,35924
635.5981554128057,0.6446228756722168,0.037515, 2.326039, 3.217256,986,36910
575.1934015731064,0.629314443734252,0.035295, 2.283237, 3.154971,914,37824
589.6777079921542,0.6402580977113509,0.034895, 2.335183, 3.215550,921,38745
586.0719520491656,0.5907983387592395,0.035353, 2.378974, 3.265681,992,39737
