total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
373.36157503118375,0.32409858943679143,0.938770, 55.615096, 74.775304,1152,1152
339.787426359627,0.29779791968416036,1.725327, 46.453407, 62.595654,1141,2293
355.746322563464,0.29744675799620734,1.874608, 36.959244, 49.819508,1196,3489
317.7851629325679,0.2650418373082301,0.624541, 29.379803, 39.532719,1199,4688
351.36064089815045,0.31232056968724486,0.711179, 23.686371, 32.023472,1125,5813
285.34599639881026,0.24326171901006843,0.395386, 18.903545, 25.596664,1173,6986
347.60821663468647,0.29863248851777185,0.289478, 14.683775, 19.973703,1164,8150
351.0093547836409,0.3046956204719105,0.196492, 10.963885, 14.934124,1152,9302
266.352511516039,0.23140965379325715,0.139162, 7.912897, 10.816118,1151,10453
313.9915418733425,0.2730361233681239,0.102697, 5.620845, 7.714154,1150,11603
277.56811183857735,0.23928285503325633,0.062480, 3.955056, 5.468610,1160,12763
306.66467660874406,0.260105747759749,0.036951, 2.820293, 3.932909,1179,13942
361.02103105469257,0.32234020629883264,0.032077, 2.121602, 2.990350,1120,15062
371.0257651558003,0.3324603630428318,0.026078, 1.673806, 2.390828,1116,16178
374.8548090733204,0.34015862892315823,0.023990, 1.400746, 2.030855,1102,17280
276.65282306012307,0.24811912382073817,0.021857, 1.227431, 1.821436,1115,18395
340.024819226157,0.2862161777997954,0.020824, 1.098179, 1.639676,1188,19583
432.18160128710105,0.3703355623711234,0.020021, 1.072990, 1.622160,1167,20750
476.51822919842516,0.4300706039696978,0.016520, 1.133382, 1.707575,1108,21858
527.83146117026,0.4708576816862266,0.013478, 1.297569, 1.901004,1121,22979
482.03803612616326,0.40439432560919736,0.012939, 1.450148, 2.085649,1192,24171
491.45503722750186,0.4330000327995611,0.013781, 1.647361, 2.326672,1135,25306
563.83824214985,0.5025296275845366,0.014931, 1.737920, 2.427176,1122,26428
505.1160073358137,0.4369515634392852,0.017159, 1.703126, 2.366361,1156,27584
534.4611566185611,0.476771772184265,0.019068, 1.708828, 2.368286,1121,28705
438.3669300736827,0.36961798488506126,0.023584, 1.711919, 2.382069,1186,29891
518.8288273060645,0.45671551699477503,0.029853, 1.808410, 2.531932,1136,31027
232.75950169064583,0.20689733483612963,0.034470, 2.068882, 2.908156,1125,32152
491.97979511389167,0.43809420758138173,0.035006, 2.078264, 2.936690,1123,33275
548.9484626437131,0.4687860483720864,0.034655, 2.056175, 2.901283,1171,34446
520.9851947038625,0.46064119779298185,0.034685, 2.061038, 2.908175,1131,35577
567.0584610880102,0.5122479323288258,0.033241, 2.016756, 2.834115,1107,36684
670.909545739939,0.5828927417375664,0.033436, 2.210196, 3.097640,1151,37835
589.7032571867418,0.5251142094271966,0.035054, 2.339193, 3.258003,1123,38958
467.93477957801304,0.39960271526730406,0.037436, 2.320853, 3.228434,1171,40129
560.3285349671975,0.5084650952515404,0.036470, 2.294973, 3.199881,1102,41231
437.8304155262549,0.39444181578941884,0.032542, 2.163770, 3.020282,1110,42341
320.2982635121887,0.26825650210401064,0.031405, 1.967837, 2.764906,1194,43535
560.1315657627067,0.4758976769436761,0.025540, 1.844531, 2.600812,1177,44712
511.3380910877488,0.45533222714848515,0.029137, 1.823107, 2.581123,1123,45835
610.4101916987967,0.531716194859579,0.030424, 1.841414, 2.613416,1148,46983
258.54642705098917,0.21726590508486485,0.032365, 1.912643, 2.709301,1190,48173
493.1252320525813,0.4442569658131363,0.036872, 1.895931, 2.693499,1110,49283
572.5027864003926,0.48931862085503636,0.033369, 1.953701, 2.795244,1170,50453
589.3609461768838,0.5333583223320215,0.037175, 1.964014, 2.824018,1105,51558
535.5293617780403,0.48115845622465436,0.033340, 1.840726, 2.650932,1113,52671
506.7319247082499,0.4283448222385882,0.032532, 1.929171, 2.739976,1183,53854
542.1583899393422,0.4845025826088849,0.030863, 1.871123, 2.635915,1119,54973
655.4222443623387,0.5559136932674629,0.030968, 1.891731, 2.653508,1179,56152
565.8375650489374,0.5002984660025972,0.030461, 1.900860, 2.654393,1131,57283
597.5865117161338,0.5169433492354099,0.029720, 1.907021, 2.663780,1156,58439
564.5088186917983,0.49561792685847084,0.030378, 1.964713, 2.732737,1139,59578
636.476931270494,0.5637528177772312,0.028994, 1.943447, 2.704478,1129,60707
551.1793673103448,0.4882013882288262,0.028291, 1.954427, 2.721169,1129,61836
621.9106771181127,0.5582681123142843,0.029228, 1.967423, 2.750029,1114,62950
612.1883622880902,0.511863179170644,0.029541, 2.015641, 2.816986,1196,64146
571.128379157581,0.5063194850687774,0.032137, 2.020339, 2.828436,1128,65274
514.9682386621353,0.4367839174403183,0.035476, 1.986345, 2.771399,1179,66453
644.8501470248251,0.5483419617558036,0.036205, 1.947225, 2.710468,1176,67629
684.0260406640213,0.5856387334452237,0.034846, 1.950968, 2.711542,1168,68797
580.1733004724247,0.5180118754218077,0.035011, 2.001397, 2.785606,1120,69917
697.6478552780818,0.6262548072514199,0.035915, 2.033732, 2.841302,1114,71031
511.5813562589092,0.4266733580141027,0.038185, 2.103512, 2.935065,1199,72230
504.4771674573012,0.44643997120115153,0.039390, 2.040992, 2.858874,1130,73360
500.09271091218454,0.440998863238258,0.042273, 1.953369, 2.742451,1134,74494
616.1846405245595,0.5178022189282013,0.039242, 1.913558, 2.685377,1190,75684
577.927274268981,0.5169295834248488,0.039436, 1.841576, 2.600171,1118,76802
634.2415470634203,0.5491268805743899,0.039586, 1.890761, 2.662824,1155,77957
595.8844705809752,0.5190631276837763,0.040281, 1.960978, 2.752379,1148,79105
667.0891225119323,0.5785681895159863,0.040307, 2.018786, 2.832990,1153,80258
645.681118873079,0.577016192022412,0.040044, 2.044421, 2.856099,1119,81377
560.1939282757122,0.47554662841741274,0.039163, 2.071040, 2.889410,1178,82555
466.06875920702464,0.4168772443712206,0.037757, 1.998433, 2.802810,1118,83673
659.2422391697594,0.594983970369819,0.035642, 1.983797, 2.797676,1108,84781
