total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
188.94598116234945,0.1640156086478728,0.245727, 4.016337, 5.848528,1152,1152
153.20970131397047,0.13427668826815992,0.067583, 3.712790, 5.400811,1141,2293
210.4935937576732,0.1759979880917,0.057195, 4.171780, 5.869995,1196,3489
316.9147468470575,0.2643158856105567,0.048395, 3.831244, 5.331852,1199,4688
433.01531883740574,0.38490250563324957,0.044310, 3.301902, 4.615327,1125,5813
310.6944908922899,0.2648716887402301,0.038371, 2.821773, 3.979339,1173,6986
389.6442772207037,0.33474594262947055,0.031069, 2.268880, 3.234570,1164,8150
384.05585562917906,0.33338181912255127,0.026942, 1.823391, 2.604923,1152,9302
432.695374217972,0.3759299515360313,0.023736, 1.607351, 2.288387,1151,10453
508.1604010698994,0.4418786096259995,0.022264, 1.564099, 2.207258,1150,11603
538.016741664141,0.46380753591736296,0.024563, 1.586822, 2.225051,1160,12763
482.1500188114659,0.40894827719377935,0.028753, 1.601802, 2.246275,1179,13942
465.35560270037,0.41549607383961606,0.031708, 1.648538, 2.311438,1120,15062
475.2313844639024,0.42583457389238566,0.032985, 1.626387, 2.283758,1116,16178
282.6797581530193,0.2565152070354077,0.030626, 1.581083, 2.229647,1102,17280
421.5840883486431,0.3781023213889176,0.027765, 1.512320, 2.149172,1115,18395
416.03305105460345,0.3501961709213834,0.026996, 1.473135, 2.113135,1188,19583
455.8471142169385,0.39061449375915896,0.022805, 1.424417, 2.070124,1167,20750
434.77517052830444,0.39239636329269356,0.025927, 1.384272, 2.010973,1108,21858
548.4166568873851,0.4892209249664452,0.026571, 1.479680, 2.136229,1121,22979
441.29283681097513,0.3702121114186033,0.028169, 1.539911, 2.196890,1192,24171
478.3315641517339,0.42143750145527215,0.031643, 1.637039, 2.323280,1135,25306
463.818513377322,0.41338548429351335,0.029194, 1.854798, 2.625788,1122,26428
508.65032505934687,0.44000893171223776,0.028792, 1.868422, 2.643051,1156,27584
542.1128925477652,0.48359758478837217,0.027134, 1.930165, 2.714197,1121,28705
514.3571807379375,0.4336907088852761,0.030699, 2.007002, 2.811225,1186,29891
584.4868703094071,0.5145130900610978,0.032140, 1.934895, 2.701640,1136,31027
