total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
394.1484357492316,0.41358702596981284,0.608892, 2.301209, 3.565266,953,953
431.21533260006623,0.4543891808219876,0.047738, 1.785388, 2.741677,949,1902
490.45639724406647,0.5195512682670196,0.032657, 1.644138, 2.559403,944,2846
551.7133113040685,0.5606842594553542,0.025943, 1.664532, 2.527493,984,3830
642.6130078962854,0.7038477633037079,0.023390, 1.763571, 2.637967,913,4743
638.3205230686366,0.7022227976552657,0.023078, 1.885466, 2.784085,909,5652
594.13784216885,0.6354415424265776,0.022944, 2.015017, 2.955027,935,6587
559.1243355222767,0.5687938306432113,0.023316, 2.142068, 3.120222,983,7570
556.5182720861436,0.6088821357616451,0.021169, 2.266071, 3.270141,914,8484
576.617382495363,0.6140760196968722,0.022114, 2.361078, 3.387734,939,9423
582.0639429897913,0.6082172863007224,0.022740, 2.415976, 3.467743,957,10380
566.5810929861584,0.6072680525039211,0.019466, 2.482130, 3.556747,933,11313
586.8548193436759,0.6378856731996477,0.018775, 2.569726, 3.662964,920,12233
589.9426617512278,0.6343469481195998,0.020272, 2.634864, 3.727736,930,13163
573.0717631496406,0.6367464034996007,0.023046, 2.671674, 3.772399,900,14063
514.0435639585052,0.5365799206247445,0.024027, 2.684008, 3.786336,958,15021
626.5782095995806,0.6637481033893863,0.024721, 2.703234, 3.805531,944,15965
602.5431678506486,0.662135349286427,0.026784, 2.717462, 3.821638,910,16875
576.6118580673833,0.6031504791499825,0.025897, 2.748692, 3.847797,956,17831
611.5600229263481,0.6437473925540507,0.025798, 2.767028, 3.865932,950,18781
657.389719270117,0.7076315600324187,0.025586, 2.780744, 3.890394,929,19710
579.3452684972142,0.5893644643918761,0.028767, 2.797403, 3.899342,983,20693
607.6983083107889,0.6113665073549184,0.027006, 2.801750, 3.918673,994,21687
588.9362443102291,0.650758281005778,0.026595, 2.820549, 3.935446,905,22592
592.967239368678,0.6341895608221154,0.025090, 2.832177, 3.953076,935,23527
602.1312452738918,0.631827119909645,0.022258, 2.843286, 3.971862,953,24480
557.4212979016817,0.6118784828778064,0.027634, 2.853537, 3.975466,911,25391
563.7861387349985,0.5997724880159558,0.027031, 2.853652, 3.968237,940,26331
611.8040945237801,0.6255665588177711,0.022749, 2.848774, 3.942900,978,27309
621.7383857906618,0.6628340999900446,0.025351, 2.844746, 3.941396,938,28247
673.0448207453389,0.6931460563803696,0.022879, 2.835422, 3.927547,971,29218
619.7000525094966,0.6685005960188743,0.025202, 2.839424, 3.911727,927,30145
611.5901532189869,0.6115901532189869,0.023022, 2.835961, 3.907778,1000,31145
609.8364543371755,0.6352463066012245,0.025651, 2.833732, 3.886461,960,32105
580.0492308809692,0.5973730493109878,0.026081, 2.834490, 3.874249,971,33076
573.7640307697513,0.6256968710684311,0.022886, 2.832749, 3.869366,917,33993
551.0390839658832,0.5582969442410164,0.026112, 2.812819, 3.856268,987,34980
581.5669397352681,0.6160666734483772,0.026286, 2.805043, 3.844502,944,35924
644.8840312796898,0.6540405996751418,0.024808, 2.816130, 3.863797,986,36910
599.4411818280455,0.6558437437943605,0.022012, 2.823272, 3.884694,914,37824
585.5622406684004,0.6357896207040178,0.023569, 2.815372, 3.879730,921,38745
595.2846369672059,0.6000853195233931,0.023119, 2.793396, 3.850932,992,39737
607.7874790131164,0.63443369416818,0.024417, 2.772270, 3.821552,958,40695
627.3400054289982,0.692428262062912,0.025295, 2.777714, 3.835106,906,41601
592.9302125222682,0.6131646458348172,0.024457, 2.758223, 3.820757,967,42568
613.6392556239962,0.6405420204843384,0.024707, 2.763094, 3.835387,958,43526
568.7066629290271,0.5785418748006379,0.026213, 2.749536, 3.816722,983,44509
612.3744276811192,0.6542461834199992,0.025258, 2.758054, 3.825016,936,45445
585.7246869265598,0.6178530452811812,0.029842, 2.743734, 3.794645,948,46393
612.9208746703798,0.6160008790657083,0.029728, 2.714895, 3.752732,995,47388
605.9356540082208,0.6452988860577431,0.028277, 2.685149, 3.708722,939,48327
583.086326597157,0.6137750806285863,0.028913, 2.667196, 3.679701,950,49277
589.6431817564221,0.6515394273551626,0.028522, 2.655304, 3.651322,905,50182
634.3815052606121,0.6407893992531436,0.029487, 2.626925, 3.616132,990,51172
636.254132007339,0.6885867229516656,0.030818, 2.608863, 3.584111,924,52096
586.2598466006605,0.6470859234002875,0.027109, 2.614692, 3.588962,906,53002
514.4959740567836,0.554413765147396,0.028002, 2.590743, 3.547364,928,53930
730.829067342068,0.7750043131941337,0.030730, 2.597145, 3.559419,943,54873
635.5845859953586,0.6848971831846536,0.029673, 2.607528, 3.570138,928,55801
560.2750792233064,0.5705448871927764,0.029076, 2.611434, 3.566139,982,56783
622.8713061169944,0.6310752848196499,0.031975, 2.589845, 3.531382,987,57770
636.7798575613967,0.6854465635752387,0.029374, 2.601805, 3.544040,929,58699
605.4052458203162,0.6280137404775064,0.030918, 2.612329, 3.556370,964,59663
520.4118485417873,0.5700020246897999,0.032355, 2.581780, 3.508147,913,60576
654.7548016991495,0.6921298115212997,0.032432, 2.581613, 3.503630,946,61522
613.4144868882308,0.6221242260529725,0.031763, 2.572927, 3.488282,986,62508
593.5320109171945,0.6156971067605752,0.032551, 2.582351, 3.501158,964,63472
575.8921319768615,0.5900534139107187,0.033285, 2.591796, 3.517150,976,64448
626.2018680408462,0.6654642593420257,0.032373, 2.556294, 3.477881,941,65389
654.9717565236465,0.723725697816184,0.031190, 2.558268, 3.482900,905,66294
625.6041848003838,0.6489669966808961,0.031243, 2.583797, 3.518261,964,67258
578.4189481096107,0.5854442794631687,0.028688, 2.579028, 3.516126,988,68246
574.7588883030292,0.5987071753156553,0.029302, 2.566377, 3.506515,960,69206
579.47524480272,0.621088150913955,0.025221, 2.564557, 3.510264,933,70139
565.4842277361491,0.5671857850914234,0.026166, 2.566910, 3.514555,997,71136
620.7209254421376,0.626990833779937,0.023931, 2.562613, 3.506086,990,72126
590.5075932133361,0.6202810853081262,0.025058, 2.556838, 3.499882,952,73078
602.0845792913096,0.6467073891421156,0.023284, 2.555508, 3.500779,931,74009
596.0933921078956,0.639585184665124,0.024692, 2.572689, 3.520707,932,74941
650.1003460738319,0.6771878604935749,0.025794, 2.570984, 3.532268,960,75901
614.6928613916339,0.6638151850881575,0.025293, 2.556374, 3.514193,926,76827
644.1626154850546,0.6675260264093831,0.026374, 2.552417, 3.523067,965,77792
619.9586851997835,0.6444476977128727,0.026967, 2.559300, 3.522846,962,78754
559.6284478319296,0.5998161284372237,0.029031, 2.572415, 3.528481,933,79687
512.1255627460725,0.5146990580362538,0.027337, 2.553938, 3.500054,995,80682
519.4808202632178,0.5555944601745645,0.030921, 2.545958, 3.484734,935,81617
560.6237480177568,0.6060797275867642,0.028812, 2.536528, 3.474417,925,82542
555.756491432047,0.5585492376201477,0.031190, 2.506613, 3.443416,995,83537
582.9366577328242,0.5936218510517558,0.032166, 2.474908, 3.406264,982,84519
530.1894480293781,0.5864927522448873,0.029358, 2.445139, 3.368546,904,85423
626.8322682139374,0.6462188332102448,0.029093, 2.423781, 3.341214,970,86393
611.1151142797021,0.6564072119008615,0.031311, 2.407550, 3.331985,931,87324
633.3779738282371,0.7021928756410611,0.026363, 2.397115, 3.320497,902,88226
665.2754424340236,0.6988187420525458,0.028660, 2.425729, 3.349456,952,89178
587.538156071462,0.5970916220238435,0.026114, 2.433645, 3.367323,984,90162
595.6239431673004,0.6127818345342596,0.026494, 2.468868, 3.417897,972,91134
626.5097386667115,0.6379936238968549,0.024712, 2.493372, 3.441792,982,92116
656.8927591648584,0.6648712137296138,0.022440, 2.510808, 3.469414,988,93104
655.79583413905,0.6712342212272774,0.023781, 2.535792, 3.499872,977,94081
597.1900336928647,0.6598784902683589,0.023273, 2.570805, 3.547476,905,94986
612.1469664442989,0.6183302691356555,0.020661, 2.590007, 3.559710,990,95976
