total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
178.56212342581495,0.1873684401110335,27.754882, 37.779053, 48.138028,953,953
74.76499210449263,0.07878292107954966,0.998791, 24.495420, 29.143721,949,1902
545.8839223341921,0.5782668668794408,0.264201, 8.875561, 20.371037,944,2846
574.1211396810073,0.5834564427652513,0.156341, 8.472672, 18.333977,984,3830
641.2828913744138,0.7023908996433886,0.122681, 8.107108, 17.823483,913,4743
655.9886602925626,0.721659692291048,0.137868, 7.917654, 17.593908,909,5652
599.0015565381705,0.6406433759766529,0.105500, 7.897994, 17.577030,935,6587
568.376008948545,0.5782055024908901,0.201755, 8.360758, 18.687988,983,7570
554.1365423647434,0.606276304556612,0.171406, 8.529996, 19.235764,914,8484
590.554077246528,0.6289180801347476,0.181998, 8.451912, 18.708200,939,9423
615.9935274333949,0.6436713975270584,0.201687, 7.840745, 17.396389,957,10380
583.5854923518441,0.6254935609344524,0.044205, 3.749908, 6.591568,933,11313
622.3134717870288,0.6764276867250313,0.019888, 2.668092, 3.678191,920,12233
601.0689699864904,0.6463107204155811,0.019440, 2.725067, 3.730813,930,13163
554.4308355589317,0.6160342617321463,0.019692, 2.800305, 3.831015,900,14063
484.58686541942933,0.5058318010641225,0.025477, 2.819462, 3.847232,958,15021
634.4123497762511,0.6720469806951812,0.022984, 2.832695, 3.861737,944,15965
615.2907061626705,0.6761436331457917,0.023940, 2.852313, 3.896535,910,16875
586.002763435929,0.6129736019204278,0.022544, 2.886613, 3.936089,956,17831
612.1518537253619,0.6443703723424862,0.025092, 2.910012, 3.973896,950,18781
626.4629181396667,0.6743411390093291,0.024387, 2.941712, 4.006248,929,19710
590.7650502619688,0.6009817398392358,0.026619, 2.957426, 4.028129,983,20693
601.0097678680575,0.6046375934286292,0.022008, 2.976134, 4.055566,994,21687
579.9742177822916,0.6408554892622007,0.022037, 2.982680, 4.072236,905,22592
568.1334093283936,0.6076293147897257,0.021623, 2.977517, 4.072500,935,23527
546.2280686374116,0.5731669135754581,0.022445, 2.992366, 4.094849,953,24480
528.1157160684036,0.5797098968917712,0.021828, 3.015345, 4.124565,911,25391
537.4090724351688,0.5717117791863497,0.022266, 3.017334, 4.129381,940,26331
605.137647965179,0.6187501512936391,0.017801, 3.022512, 4.145207,978,27309
587.9611465077836,0.6268242500082981,0.015749, 3.031457, 4.161121,938,28247
652.2076635458559,0.6716865741975859,0.016479, 3.049310, 4.192955,971,29218
598.4441473842376,0.645570817027225,0.016842, 3.049988, 4.198050,927,30145
602.1602508399446,0.6021602508399446,0.016403, 3.061784, 4.219489,1000,31145
629.3968143617783,0.6556216816268524,0.015240, 3.062701, 4.222511,960,32105
577.0447920648802,0.5942788795724822,0.015060, 3.067672, 4.238145,971,33076
564.1680364735307,0.6152323189460531,0.016309, 3.059092, 4.243215,917,33993
569.3363404275906,0.5768351980016115,0.014456, 3.076508, 4.266864,987,34980
590.0388955320259,0.6250412028940953,0.013345, 3.094241, 4.290583,944,35924
682.7385982196904,0.6924326553952236,0.011306, 3.122529, 4.327638,986,36910
607.6097023899047,0.6647808560064602,0.012554, 3.148800, 4.357784,914,37824
614.9693587513561,0.6677191734542411,0.011803, 3.157751, 4.373919,921,38745
623.1576112496684,0.6281830758565206,0.012599, 3.157589, 4.368559,992,39737
596.0476121934903,0.6221791359013469,0.013268, 3.143547, 4.361033,958,40695
648.5028308549486,0.7157867890231221,0.013049, 3.155683, 4.367418,906,41601
611.8459889437711,0.6327259451331656,0.013742, 3.160799, 4.365326,967,42568
643.9184823809317,0.6721487289988848,0.013433, 3.139250, 4.335218,958,43526
602.4270025576104,0.612845373914151,0.013086, 3.126288, 4.319789,983,44509
617.5430365017422,0.6597682013907502,0.015282, 3.117952, 4.300473,936,45445
592.2203888957287,0.6247050515777729,0.018552, 3.103306, 4.271748,948,46393
631.1347430443057,0.6343062744163875,0.018192, 3.070336, 4.221252,995,47388
622.0965237787676,0.662509609988038,0.020602, 3.030863, 4.161773,939,48327
618.0600178376161,0.6505894924606486,0.019638, 3.019525, 4.145180,950,49277
588.4653787597122,0.6502379875797925,0.022184, 3.002126, 4.121537,905,50182
648.453519265415,0.6550035548135505,0.021064, 2.986581, 4.102159,990,51172
662.326405937478,0.7168034696293051,0.019531, 2.967973, 4.071491,924,52096
600.3192383972325,0.6626040158909852,0.019945, 2.978439, 4.081253,906,53002
540.7493218184279,0.5827040105802025,0.018592, 2.955935, 4.048035,928,53930
719.6333130487419,0.76313182719909,0.019373, 2.960085, 4.053861,943,54873
631.0976210851734,0.6800620916866092,0.017806, 2.982697, 4.081618,928,55801
584.8128744011934,0.5955324586570198,0.017808, 2.979903, 4.075902,982,56783
635.8394222581695,0.6442142069485001,0.018959, 2.973289, 4.064631,987,57770
651.4116344480825,0.7011965925167735,0.018660, 2.970702, 4.059349,929,58699
633.9460225801979,0.6576203553736493,0.018822, 2.965924, 4.058486,964,59663
522.9755476046075,0.572810019282155,0.017096, 2.949850, 4.035925,913,60576
654.1794378973686,0.691521604542673,0.019650, 2.947476, 4.033487,946,61522
635.821978423293,0.6448498766970517,0.019405, 2.943405, 4.023667,986,62508
602.3732533342165,0.6248685200562413,0.017214, 2.945946, 4.026873,964,63472
636.4089487792955,0.6520583491591143,0.016638, 2.962420, 4.048265,976,64448
641.5805726847966,0.6818071973270953,0.016745, 2.935794, 4.018675,941,65389
637.1652693157405,0.7040500213433597,0.015967, 2.944281, 4.027167,905,66294
631.3675173462952,0.6549455574131693,0.016860, 2.963250, 4.046206,964,67258
557.4893972640025,0.5642605235465612,0.017140, 2.962065, 4.043325,988,68246
534.6543403102885,0.5569316044898839,0.016755, 2.934760, 4.020455,960,69206
562.2071163541766,0.6025799746561379,0.016224, 2.929407, 4.005711,933,70139
517.6643076901325,0.5192219736109654,0.016023, 2.931098, 4.001162,997,71136
609.171477953637,0.6153247252056939,0.014315, 2.894910, 3.951219,990,72126
608.7994074582148,0.6394951759014861,0.014998, 2.885283, 3.937578,952,73078
594.3500950940241,0.6383996724962665,0.015756, 2.894757, 3.953523,931,74009
605.9031820454934,0.6501107103492418,0.016281, 2.894582, 3.955854,932,74941
588.3366777315484,0.612850705970363,0.015481, 2.887877, 3.952908,960,75901
612.4352269509666,0.6613771349362491,0.014827, 2.883896, 3.955616,926,76827
585.3880388015027,0.6066197293279821,0.015344, 2.884877, 3.962976,965,77792
623.6312507484553,0.6482653334183527,0.015958, 2.895689, 3.969256,962,78754
579.7003181105487,0.6213293870423887,0.016637, 2.908545, 3.980181,933,79687
490.61365021254545,0.4930790454397442,0.019276, 2.902845, 3.968813,995,80682
