total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
429.0179425932767,0.45017622517657574,65.411182, 26.383975, 42.740283,953,953
397.7071352543288,0.4190802268222643,0.498128, 20.472740, 27.544611,949,1902
463.10147668176967,0.49057359817984075,0.260002, 13.276781, 17.909452,944,2846
562.9611807564244,0.5721150210939272,0.122007, 8.123623, 11.048731,984,3830
523.3297484463162,0.5731979720112993,0.100468, 5.799393, 7.910864,913,4743
386.65061442155906,0.42535821168488347,0.126791, 5.074574, 6.885354,909,5652
459.69278589917315,0.49165003839483756,0.098508, 4.246739, 5.816313,935,6587
440.005405179207,0.4476148577611465,0.071263, 3.694715, 5.075148,983,7570
487.96338705403855,0.5338767910875696,0.065638, 3.436626, 4.721500,914,8484
494.9195566517277,0.5270708803532776,0.054447, 3.228267, 4.442000,939,9423
496.7835098934491,0.5191050260119635,0.049955, 3.079194, 4.230824,957,10380
449.5647140710646,0.48184856813618926,0.037202, 2.763458, 3.826357,933,11313
459.123258698584,0.4990470203245478,0.034367, 2.661726, 3.711356,920,12233
456.2349793219614,0.4905752465827542,0.033610, 2.673721, 3.736130,930,13163
494.7744553535618,0.5497493948372909,0.035961, 2.697872, 3.775653,900,14063
452.4639106683659,0.47230053305674935,0.036066, 2.687381, 3.748853,958,15021
538.5318555919097,0.5704786605846501,0.034521, 2.678153, 3.691253,944,15965
470.5694018334258,0.5171092327839844,0.036753, 2.696250, 3.683046,910,16875
421.08059613633105,0.44046087461959316,0.040234, 2.654709, 3.629235,956,17831
506.1206027057451,0.5327585291639422,0.041588, 2.605532, 3.561292,950,18781
537.88846948679,0.5789972760891173,0.044465, 2.580180, 3.527759,929,19710
463.48682177038387,0.47150236192307615,0.046387, 2.518037, 3.468292,983,20693
475.1245756359506,0.47799253082087584,0.045354, 2.492383, 3.419774,994,21687
486.08505998828423,0.537110563522966,0.046190, 2.481766, 3.395244,905,22592
511.2481390292966,0.5467894535072692,0.047251, 2.464452, 3.363633,935,23527
491.0817753243218,0.5153009184935171,0.048285, 2.431799, 3.337107,953,24480
572.9617688098037,0.6289371776177868,0.045981, 2.412205, 3.333287,911,25391
565.3797445956532,0.6014678133996311,0.045421, 2.395594, 3.318388,940,26331
466.59667858693916,0.4770927183915533,0.044674, 2.408577, 3.342778,978,27309
495.86088467003293,0.5286363376013145,0.043958, 2.414513, 3.349144,938,28247
575.2970793271357,0.5924789694409225,0.044881, 2.406420, 3.334082,971,29218
519.0227797833002,0.5598951238223303,0.043109, 2.387868, 3.297729,927,30145
556.6943748607575,0.5566943748607576,0.043528, 2.381411, 3.283870,1000,31145
615.2471610793007,0.6408824594576049,0.047067, 2.338665, 3.213178,960,32105
521.791358362118,0.5373752403317384,0.048014, 2.308447, 3.166258,971,33076
507.372759857791,0.5532963575330327,0.049206, 2.274367, 3.107136,917,33993
568.5308161557462,0.5760190639875847,0.050279, 2.249446, 3.076772,987,34980
531.2500369515094,0.5627648696520227,0.048376, 2.241040, 3.066333,944,35924
663.7507956141422,0.6731752491015641,0.045779, 2.231190, 3.056735,986,36910
568.7109836904704,0.6222220828123308,0.046474, 2.276313, 3.111881,914,37824
382.0723003437383,0.41484506009092104,0.047527, 2.321877, 3.189302,921,38745
226.6537147336499,0.2284815672718245,0.052185, 2.337614, 3.242970,992,39737
445.5714053186754,0.46510585106333546,0.051143, 2.370982, 3.341855,958,40695
579.2088181450397,0.6393033312859158,0.046776, 2.555990, 3.585521,906,41601
575.830683882489,0.5954815758867518,0.044406, 2.604256, 3.641970,967,42568
581.0866983173479,0.6065623155713443,0.041583, 2.686635, 3.750800,958,43526
507.6076711921484,0.516386237224973,0.039733, 2.732684, 3.805897,983,44509
422.1926624989991,0.451060536857905,0.041262, 2.681668, 3.737976,936,45445
526.3544544833379,0.5552262178094282,0.041135, 2.664352, 3.696155,948,46393
528.1811998883254,0.5308353767721864,0.043646, 2.637303, 3.664764,995,47388
508.8818410357138,0.5419401927962874,0.042431, 2.601211, 3.618184,939,48327
501.64186428295193,0.5280440676662652,0.039874, 2.495644, 3.443118,950,49277
444.1442442970665,0.4907671207702392,0.041471, 2.502545, 3.438591,905,50182
422.7807920429572,0.42705130509389616,0.040658, 2.440395, 3.352408,990,51172
532.4842651915174,0.5762816722851919,0.040415, 2.345068, 3.210606,924,52096
593.6006322425166,0.6551883358085172,0.045015, 2.286911, 3.114303,906,53002
482.74092616550263,0.5201949635404123,0.047871, 2.189861, 2.988070,928,53930
692.7859363251299,0.7346616503978047,0.047376, 2.190409, 2.999958,943,54873
618.6765408366161,0.6666773069360088,0.047857, 2.240169, 3.076024,928,55801
461.38698990322894,0.469844185237504,0.044687, 2.286846, 3.148864,982,56783
516.5198035153513,0.5233230025484816,0.047636, 2.319499, 3.209903,987,57770
