total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
299.9951458017278,0.26041245295288873,0.930034, 1.626600, 3.260268,1152,1152
161.12183059059748,0.14121106975512487,0.735241, 2.680328, 5.434345,1141,2293
482.0382968596664,0.4030420542304903,0.057083, 3.001724, 5.150944,1196,3489
591.1095150271208,0.49300209760393726,0.014875, 2.288118, 4.148188,1199,4688
690.8869679553834,0.6141217492936741,0.014654, 2.138494, 3.719575,1125,5813
630.9449466811542,0.5378899801203361,0.014489, 2.188054, 3.623331,1173,6986
676.2622224211141,0.5809812907397888,0.013871, 2.300543, 3.689149,1164,8150
619.466644106576,0.5377314618980695,0.012880, 2.391900, 3.738147,1152,9302
632.1535073698898,0.5492211184794872,0.012706, 2.460155, 3.763555,1151,10453
647.3328431917278,0.5628981245145459,0.012587, 2.476447, 3.621117,1150,11603
616.3203937838073,0.5313106842963856,0.014682, 2.542740, 3.568422,1160,12763
593.1882621441148,0.503128296983982,0.016062, 2.575520, 3.561496,1179,13942
632.8532433264426,0.5650475386843237,0.017478, 2.595180, 3.572870,1120,15062
576.4722613251465,0.5165522054884826,0.018948, 2.563427, 3.517775,1116,16178
594.5890204804041,0.5395544650457388,0.020674, 2.543022, 3.485052,1102,17280
528.7850041690431,0.47424664051035254,0.021394, 2.512438, 3.442945,1115,18395
569.758895937252,0.4795950302502121,0.022242, 2.486780, 3.407412,1188,19583
600.6815811654099,0.5147228630380547,0.021884, 2.448028, 3.369581,1167,20750
572.3926712310498,0.516599883782536,0.021544, 2.426876, 3.342838,1108,21858
643.8179831953848,0.5743246950895494,0.022271, 2.400659, 3.311965,1121,22979
604.8219693534162,0.5074009810011881,0.022495, 2.396493, 3.305160,1192,24171
590.4668198798491,0.5202350835945807,0.021446, 2.387735, 3.289408,1135,25306
641.834313699444,0.5720448428693797,0.021016, 2.396824, 3.298601,1122,26428
609.9109980272618,0.527604669573756,0.021287, 2.391131, 3.287364,1156,27584
614.9841027500813,0.5486031246655498,0.020076, 2.399562, 3.300161,1121,28705
516.8764905027485,0.4358149161068706,0.020911, 2.396385, 3.294007,1186,29891
576.5500786378373,0.5075264776741525,0.020016, 2.377210, 3.265399,1136,31027
536.0967189153582,0.47653041681365177,0.022026, 2.366974, 3.252485,1125,32152
638.6742536931229,0.568721508186218,0.020937, 2.356390, 3.243690,1123,33275
612.5002216645543,0.5230574053497474,0.021452, 2.350934, 3.235297,1171,34446
572.1421299666313,0.5058727939581178,0.020087, 2.333818, 3.223890,1131,35577
585.0374549481264,0.5284891191943328,0.020525, 2.315640, 3.199512,1107,36684
639.1130858561888,0.5552676679897384,0.019068, 2.312538, 3.192775,1151,37835
575.1323890478013,0.5121392600603751,0.019979, 2.310685, 3.188993,1123,38958
546.0334661194189,0.46629672597730054,0.020555, 2.318186, 3.197594,1171,40129
502.3945520915852,0.45589342295062174,0.022056, 2.361308, 3.250700,1102,41231
444.3337562171646,0.40030068127672486,0.024455, 2.476254, 3.394036,1110,42341
479.1705190030374,0.4013153425486075,0.025202, 2.487710, 3.415477,1194,43535
438.60171900338185,0.3726437714557195,0.025963, 2.505811, 3.441768,1177,44712
580.3214398522666,0.5167599642495696,0.028621, 2.522943, 3.475315,1123,45835
446.8200309149448,0.3892160548039589,0.030160, 2.530639, 3.490744,1148,46983
311.50504618267945,0.26176894637199954,0.046712, 2.532992, 3.501590,1190,48173
365.0486926075657,0.328872696042852,0.063817, 2.667930, 3.700861,1110,49283
368.45748060838207,0.31492092359690776,0.050839, 2.610735, 3.635363,1170,50453
476.22128858241103,0.43096949192978373,0.040917, 2.365772, 3.295314,1105,51558
515.3230581593391,0.46300364614495876,0.044384, 2.245445, 3.134995,1113,52671
397.6556837081332,0.33614174447010414,0.040585, 2.150916, 3.007775,1183,53854
476.3733724972248,0.42571346961324824,0.034784, 2.038876, 2.849315,1119,54973
468.71866076696756,0.397556116002517,0.034477, 1.973844, 2.762741,1179,56152
465.19560667452686,0.4113135337528973,0.033233, 1.912818, 2.676537,1131,57283
464.1844891021838,0.4015436756939306,0.029704, 1.889679, 2.630705,1156,58439
490.9116692440853,0.43100234349788,0.027343, 1.808516, 2.506445,1139,59578
511.66668256552464,0.4532034389420059,0.024830, 1.797658, 2.482418,1129,60707
407.79292854599544,0.3611983423790925,0.025332, 1.733378, 2.390870,1129,61836
509.21780401384973,0.4571075439980698,0.022628, 1.689137, 2.334693,1114,62950
461.70609483265156,0.38604188531158157,0.023623, 1.701183, 2.349185,1196,64146
451.22344253303334,0.4000207823874409,0.024904, 1.698121, 2.345854,1128,65274
388.0527193813812,0.329137166566057,0.023665, 1.673305, 2.308334,1179,66453
513.6682892705319,0.4367927629851462,0.024384, 1.634676, 2.254517,1176,67629
491.7499798329958,0.42101881835016763,0.026237, 1.638756, 2.261155,1168,68797
434.82164962822145,0.38823361573948345,0.027048, 1.637313, 2.259784,1120,69917
315.18601905328813,0.2829317944823053,0.031112, 1.558616, 2.169595,1114,71031
420.3432094412562,0.35057815633132294,0.032291, 1.568524, 2.199046,1199,72230
473.97499559459123,0.41944689875627544,0.032376, 1.592312, 2.230526,1130,73360
470.1570772313954,0.41460059720581605,0.033729, 1.583632, 2.221704,1134,74494
494.6117051047785,0.41564008832334326,0.031583, 1.603117, 2.259768,1190,75684
460.5209001724681,0.41191493754245806,0.031587, 1.653787, 2.336713,1118,76802
489.0068318353942,0.42338253838562273,0.032295, 1.675676, 2.367316,1155,77957
519.3650866963089,0.4524086121047987,0.029967, 1.694825, 2.390564,1148,79105
542.5151282043298,0.47052482931858614,0.031378, 1.760431, 2.467279,1153,80258
564.6282933911793,0.5045829252825552,0.029482, 1.925326, 2.670703,1119,81377
430.4788154853627,0.36543193165141147,0.038140, 2.060965, 2.858414,1178,82555
442.55573215267964,0.3958459142689442,0.034872, 1.999113, 2.781173,1118,83673
501.07462014970685,0.45223341168746106,0.033001, 1.960678, 2.738116,1108,84781
481.67531815405357,0.4092398624928238,0.031244, 1.916142, 2.675640,1177,85958
485.9761395048225,0.4308299109085306,0.029687, 1.909601, 2.664607,1128,87086
511.64673792651286,0.4547971003791225,0.030997, 1.901260, 2.657400,1125,88211
474.6415200364378,0.410589550204531,0.028027, 1.888077, 2.646514,1156,89367
478.4339619546,0.40856871217301455,0.029462, 1.820285, 2.552818,1171,90538
534.5042531146189,0.47385128822217987,0.028361, 1.697941, 2.370411,1128,91666
487.7407429438186,0.44340067540347144,0.025697, 1.659195, 2.306399,1100,92766
563.5638769078184,0.47719210576445253,0.026338, 1.676971, 2.322499,1181,93947
434.4702625596578,0.3761647294888812,0.022544, 1.654467, 2.300802,1155,95102
595.8746374425452,0.5417042158568594,0.025376, 1.672165, 2.321513,1100,96202
479.9798263009676,0.42363621032742066,0.027165, 1.697705, 2.352429,1133,97335
397.33756083978517,0.34976897961248693,0.028379, 1.657716, 2.299502,1136,98471
472.87927767326664,0.40871156237966,0.027586, 1.646244, 2.283216,1157,99628
381.6363693820686,0.33713460192762246,0.028165, 1.618952, 2.241982,1132,100760
423.5288141284178,0.37184268141213156,0.027145, 1.605334, 2.231922,1139,101899
450.9445842256637,0.3811873070377546,0.026608, 1.568085, 2.189007,1183,103082
468.11866794815626,0.4077688745192999,0.025986, 1.545125, 2.164344,1148,104230
465.34256186919316,0.4035928550470019,0.027808, 1.539414, 2.149256,1153,105383
475.15899455965996,0.4168061355786491,0.025698, 1.522714, 2.124743,1140,106523
500.25287293469324,0.4486572851432226,0.025558, 1.485413, 2.069446,1115,107638
433.5096796867464,0.37663742805103945,0.024876, 1.530685, 2.125967,1151,108789
484.6885532694396,0.4093653321532429,0.022826, 1.551214, 2.147012,1184,109973
494.23234856445544,0.4354470031404894,0.023211, 1.580986, 2.187114,1135,111108
584.0251965087896,0.5047754507422555,0.024750, 1.620550, 2.234581,1157,112265
468.8164935735361,0.39429478012913044,0.023399, 1.690016, 2.332592,1189,113454
436.14882361214813,0.3918677660486506,0.024633, 1.706470, 2.351533,1113,114567
614.3899479368241,0.5470970150817668,0.027141, 1.731757, 2.393880,1123,115690
605.55436220526,0.5465292077664801,0.028131, 1.787072, 2.469946,1108,116798
590.8411403811474,0.5233313909487577,0.029880, 1.858054, 2.574478,1129,117927
452.1986876793676,0.38815337998228977,0.033613, 1.898331, 2.627457,1165,119092
674.5399817839445,0.5790042762093944,0.035842, 1.932939, 2.670531,1165,120257
577.2074671768738,0.4834233393441154,0.037277, 1.977252, 2.731914,1194,121451
586.6466840245708,0.5168693251317805,0.036096, 1.966891, 2.724963,1135,122586
588.4277932360515,0.5315517554074539,0.038123, 1.974636, 2.736612,1107,123693
636.5443068412033,0.5417398356095346,0.038323, 2.022979, 2.799843,1175,124868
565.3124783066731,0.4770569437187115,0.039131, 2.001948, 2.761646,1185,126053
523.8131896342898,0.44166373493616334,0.039711, 1.989723, 2.740480,1186,127239
578.1611836688301,0.4928910346707844,0.039315, 1.958196, 2.696831,1173,128412
580.7206322431128,0.5185005645027794,0.039738, 1.975138, 2.725705,1120,129532
525.2814714378578,0.43919855471392794,0.037618, 1.955614, 2.699289,1196,130728
595.6644257201635,0.5193238236444321,0.036125, 1.939791, 2.684963,1147,131875
464.68591953835073,0.4123211353490246,0.037713, 1.904200, 2.641996,1127,133002
480.98463266131074,0.40900053797730507,0.034839, 1.877577, 2.601540,1176,134178
617.1579901843163,0.5239032174739527,0.036147, 1.853082, 2.566900,1178,135356
601.361105540017,0.5131067453413114,0.032886, 1.863010, 2.590957,1172,136528
607.3221002756653,0.5077943982238005,0.034508, 1.868053, 2.583390,1196,137724
573.1260109028626,0.5071911600910288,0.034437, 1.908822, 2.637866,1130,138854
590.5950600869745,0.5344751674995244,0.032333, 1.896448, 2.627144,1105,139959
519.4977319815862,0.43876497633579914,0.034192, 1.913050, 2.649857,1184,141143
505.8158055227452,0.4312155204797487,0.037677, 1.931580, 2.678846,1173,142316
553.9340935709492,0.48126333064374394,0.038714, 1.943134, 2.698002,1151,143467
486.48747211483123,0.41651324667365686,0.040330, 1.953764, 2.720004,1168,144635
627.838351532193,0.5681795036490435,0.040773, 1.901453, 2.654179,1105,145740
586.5928944090689,0.4929352053857722,0.038530, 1.910349, 2.670797,1190,146930
664.2750918402819,0.603886447127529,0.037229, 1.887992, 2.649369,1100,148030
545.3204639034242,0.4886384085156131,0.039775, 1.902635, 2.669497,1116,149146
