total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
452.1688702519881,0.39250769987151746,23.429823, 8.951992, 13.019522,1152,1152
466.7695170703338,0.40908809559187886,0.533344, 4.177969, 7.076157,1141,2293
429.66391450250705,0.35925076463420325,0.104426, 3.841465, 5.656152,1196,3489
549.8077037523875,0.4585552158068286,0.072235, 3.259536, 4.774040,1199,4688
667.3456187975282,0.5931961055978029,0.045799, 2.877519, 4.177141,1125,5813
576.1298291686333,0.4911592746535663,0.039910, 2.692990, 3.876439,1173,6986
650.2159314874687,0.5586047521370006,0.032865, 2.613798, 3.736500,1164,8150
597.6958121466864,0.5188331702662209,0.046976, 2.586035, 3.678788,1152,9302
590.924258137521,0.5134007455582285,0.035479, 2.555673, 3.612147,1151,10453
617.9047350622392,0.5373084652715123,0.025344, 2.442780, 3.426240,1150,11603
576.2862904029971,0.4967985262094803,0.025238, 2.362369, 3.287792,1160,12763
560.0522153930062,0.47502308345462785,0.028622, 2.331893, 3.225422,1179,13942
603.2628249015007,0.5386275222334828,0.029960, 2.325166, 3.199172,1120,15062
551.5994151501607,0.49426470891591456,0.030585, 2.304570, 3.164850,1116,16178
537.8347943497822,0.4880533524045211,0.031636, 2.288400, 3.149110,1102,17280
506.3387632225033,0.4541154827107653,0.032157, 2.246285, 3.097035,1115,18395
530.6436122843309,0.4466697073100428,0.032766, 2.221722, 3.070749,1188,19583
574.6744379321206,0.4924373932580296,0.034194, 2.188345, 3.024771,1167,20750
572.5550142787184,0.5167464027786267,0.035052, 2.156322, 2.979652,1108,21858
640.0899764398528,0.5709990869222594,0.034595, 2.146255, 2.968493,1121,22979
572.3263050807078,0.48013951768515756,0.035529, 2.145974, 2.955401,1192,24171
561.3401009791521,0.49457277619308554,0.034070, 2.111116, 2.908024,1135,25306
639.8297529625295,0.5702582468471742,0.035452, 2.103061, 2.891018,1122,26428
591.1480731946032,0.5113737657392761,0.035892, 2.099896, 2.884655,1156,27584
601.9122038612043,0.5369421979136523,0.033502, 2.107185, 2.888273,1121,28705
527.1744416162043,0.44449784284671523,0.033895, 2.096199, 2.869506,1186,29891
552.3547503958542,0.4862277732357872,0.032306, 2.104703, 2.877698,1136,31027
516.1022469188316,0.4587575528167392,0.032656, 2.060043, 2.824543,1125,32152
633.035094202122,0.5636999948371523,0.031578, 2.068234, 2.837559,1123,33275
616.8134155366195,0.5267407476828518,0.030231, 2.070730, 2.845934,1171,34446
569.2292118925388,0.5032972695778416,0.028989, 2.073204, 2.856612,1131,35577
558.5481727645688,0.5045602283329438,0.029045, 2.053606, 2.834930,1107,36684
631.8597882703614,0.5489659324677336,0.027853, 2.042948, 2.824373,1151,37835
555.3249460092915,0.49450128763071366,0.029049, 2.036384, 2.817145,1123,38958
585.6072981750339,0.500091629526075,0.027001, 2.060349, 2.850785,1171,40129
601.9423686677235,0.5462271947982972,0.026604, 2.068697, 2.866652,1102,41231
558.8472023105917,0.5034659480275601,0.026488, 2.116214, 2.925689,1110,42341
575.7520676737283,0.48220441178704215,0.026395, 2.078244, 2.870603,1194,43535
578.4089409980618,0.49142645794227846,0.025784, 2.070210, 2.867613,1177,44712
605.8101397358207,0.5394569365412473,0.025522, 2.064907, 2.862649,1123,45835
586.3431363676623,0.510751860947441,0.025999, 2.073169, 2.880221,1148,46983
572.5122630283131,0.4811027420405992,0.025541, 2.063475, 2.864219,1190,48173
560.2090458927988,0.5046928341376566,0.027623, 2.051108, 2.834487,1110,49283
623.4159715338228,0.5328341637041221,0.028434, 2.050694, 2.827532,1170,50453
567.6352735666305,0.5136970801507968,0.027809, 2.057728, 2.842401,1105,51558
565.1793407361878,0.5077981498078956,0.027381, 2.051784, 2.833632,1113,52671
530.6052626437133,0.4485251586168329,0.026841, 2.044264, 2.825853,1183,53854
585.4326858080902,0.5231748756104471,0.027399, 2.042064, 2.822092,1119,54973
589.3872294530116,0.4999043506810955,0.028135, 2.045416, 2.826653,1179,56152
551.928389008326,0.4880003439507745,0.027123, 2.028214, 2.799662,1131,57283
625.8008535204466,0.5413502193083448,0.027263, 2.030848, 2.811923,1156,58439
611.9599853530186,0.5372783014512894,0.027620, 2.059878, 2.845795,1139,59578
619.7269592938958,0.5489167044232912,0.025680, 2.049908, 2.834365,1129,60707
552.9051458729793,0.48972997862974255,0.025719, 2.060665, 2.847918,1129,61836
577.0440702274516,0.5179928817122545,0.025830, 2.075912, 2.865006,1114,62950
604.9927143342231,0.5058467511155712,0.026744, 2.094150, 2.895195,1196,64146
597.3606898031962,0.5295750796127626,0.029068, 2.100962, 2.896158,1128,65274
515.4528360191449,0.4371949414920652,0.029339, 2.095298, 2.892443,1179,66453
593.2326615439354,0.5044495421291968,0.030641, 2.079706, 2.864979,1176,67629
615.1218702012181,0.5266454368161114,0.030057, 2.084718, 2.869586,1168,68797
539.1889283038329,0.4814186859855651,0.029503, 2.049453, 2.821304,1120,69917
633.6191294206864,0.5687783926577077,0.030526, 2.053541, 2.831148,1114,71031
563.1824644495277,0.469710145495853,0.030967, 2.058329, 2.835875,1199,72230
552.2254333181847,0.4886950737329068,0.030652, 2.049964, 2.824943,1130,73360
585.1252009797877,0.5159834223807651,0.031120, 2.028103, 2.797187,1134,74494
578.3987572503322,0.4860493758406153,0.029867, 2.025801, 2.792953,1190,75684
553.4979177379987,0.49507863840608113,0.030214, 2.025031, 2.792239,1118,76802
579.6738553556121,0.5018821258490148,0.030357, 2.041535, 2.814902,1155,77957
577.8801629864254,0.5033799329150047,0.029815, 2.037563, 2.808580,1148,79105
573.5257402116089,0.4974204164888195,0.028819, 2.041641, 2.814061,1153,80258
596.5767674611184,0.533133840447827,0.026998, 2.020649, 2.785392,1119,81377
542.7319177940497,0.46072318997797085,0.027339, 2.021068, 2.787687,1178,82555
533.8755037147585,0.4775272841813582,0.027005, 2.001849, 2.769835,1118,83673
609.147785152386,0.5497723692711064,0.027852, 2.013925, 2.794684,1108,84781
510.0371135560157,0.43333654507732855,0.029342, 2.016556, 2.798648,1177,85958
551.6625052517329,0.4890625046557916,0.026171, 2.003753, 2.797172,1128,87086
615.2580984649713,0.546896087524419,0.027149, 2.006420, 2.798081,1125,88211
573.2232091168358,0.49586782795574036,0.026463, 2.014036, 2.817380,1156,89367
604.5865170609422,0.5162993313927773,0.025878, 2.007267, 2.812330,1171,90538
610.7129156546863,0.541412159268339,0.026318, 2.004317, 2.810173,1128,91666
574.5257304417698,0.5222961185834272,0.025497, 2.027446, 2.839345,1100,92766
626.7796596331361,0.5307194408409281,0.026077, 2.039196, 2.842226,1181,93947
570.540641337232,0.4939745812443567,0.025003, 2.038427, 2.838503,1155,95102
