total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
410.6915975397436,0.5468596505189662,6.570679, 29.014623, 62.292132,751,751
387.3336968361269,0.5525445033325633,1.152301, 40.727165, 88.774513,701,1452
589.9118668621862,0.7721359513902961,1.111327, 27.847198, 43.243164,764,2216
569.6317046216784,0.7138241912552361,0.737849, 18.587820, 25.930105,798,3014
661.7376225295122,0.8764736722245196,0.419988, 13.264756, 18.060228,755,3769
666.1057975811939,0.9162390613221374,0.294753, 10.076301, 13.713801,727,4496
588.2058469944263,0.7426841502454878,0.175364, 7.873600, 10.754886,792,5288
707.9668344600173,0.9135055928516351,0.063652, 6.539988, 8.944558,775,6063
647.9697700914855,0.8415191819369943,0.081599, 5.614304, 7.711490,770,6833
656.8823824685903,0.927799975238122,0.111875, 4.987330, 6.901407,708,7541
556.8692165812747,0.7139348930529164,0.045846, 4.586810, 6.326261,780,8321
683.0759424303242,0.891744050170136,0.026901, 4.236335, 5.840156,766,9087
705.148744633206,0.9821013156451337,0.039714, 4.024907, 5.551806,718,9805
587.7440731674477,0.8129240292772444,0.038424, 3.645416, 5.034278,723,10528
537.0192468715525,0.7094045533309808,0.025675, 3.162659, 4.358179,757,11285
633.6412532287437,0.827207902387394,0.022015, 3.106517, 4.261721,766,12051
720.493828328959,0.9710159411441496,0.022758, 3.138788, 4.293664,742,12793
596.4011847603455,0.8447608849296678,0.030970, 3.185378, 4.347856,706,13499
652.9254622403182,0.9196133270990398,0.028802, 3.204683, 4.357256,710,14209
621.659666739588,0.821214883407646,0.034160, 3.223807, 4.378875,757,14966
744.2002775294307,0.9384618884355999,0.031838, 3.244432, 4.403207,793,15759
720.3780739044951,0.9295200953606388,0.033000, 3.264955, 4.425085,775,16534
701.073230186909,0.9273455425752765,0.034009, 3.292539, 4.461147,756,17290
712.4032384497915,0.9486061763645692,0.030147, 3.298880, 4.460322,751,18041
698.6548432258322,0.8957113374690157,0.033111, 3.346746, 4.524990,780,18821
662.9697538822406,0.8910883788739794,0.033718, 3.349968, 4.530532,744,19565
592.8990259548051,0.7640451365396973,0.032574, 3.335877, 4.510736,776,20341
562.6006986650491,0.7664859654837181,0.035649, 3.336654, 4.508185,734,21075
689.9814596420454,0.8646384206040669,0.034508, 3.354958, 4.533166,798,21873
560.5877667979682,0.7224069159767632,0.040241, 3.353975, 4.534403,776,22649
741.8154579599947,0.9571812360774125,0.036313, 3.316014, 4.496245,775,23424
651.4207737208568,0.8287796103318789,0.032623, 3.322530, 4.522983,786,24210
606.6018081282758,0.8483941372423438,0.030183, 3.321896, 4.519719,715,24925
661.9511423270087,0.8541305062283984,0.030278, 3.317803, 4.518371,775,25700
669.0969537416327,0.9531295637345195,0.029155, 3.309766, 4.514405,702,26402
734.0066426754554,0.9773723604200472,0.026668, 3.300003, 4.495228,751,27153
727.2110614988144,0.9124354598479478,0.032812, 3.306279, 4.503732,797,27950
742.0088315331806,0.9906659967065161,0.027440, 3.308219, 4.510571,749,28699
751.6023717157123,0.9876509483780713,0.028499, 3.328026, 4.532856,761,29460
694.6016991520648,0.9489094250711269,0.025863, 3.343598, 4.553617,732,30192
565.2159391575299,0.7721529223463522,0.023817, 3.384409, 4.598354,732,30924
661.6998952390834,0.9203058348248726,0.021193, 3.387297, 4.597039,719,31643
708.2300773161269,0.9056650605065562,0.024129, 3.399894, 4.613147,782,32425
702.0028675057891,0.9642896531672928,0.026542, 3.439300, 4.656869,728,33153
695.2107051014308,0.9356806259776996,0.024629, 3.435865, 4.642739,743,33896
651.6298818054202,0.8375705421663499,0.026200, 3.461715, 4.668308,778,34674
664.725432599528,0.8711997806022647,0.023893, 3.463562, 4.670363,763,35437
695.4687188175042,0.924825423959447,0.026469, 3.474630, 4.682059,752,36189
638.7220200121615,0.8920698603521808,0.030109, 3.460027, 4.664388,716,36905
596.4921033406747,0.7550532953679426,0.028634, 3.437584, 4.635521,790,37695
694.0279104096442,0.9468320742287096,0.031000, 3.423865, 4.614690,733,38428
685.1885678154499,0.9197161984099999,0.030417, 3.406329, 4.594193,745,39173
695.9807412293974,0.990015279131433,0.028338, 3.402036, 4.588739,703,39876
716.1833303203291,0.9933194595288892,0.031982, 3.406363, 4.597304,721,40597
655.4812621595195,0.8658933449927602,0.032277, 3.443506, 4.639754,757,41354
694.4286520488464,0.9113236903528168,0.030856, 3.441864, 4.637612,762,42116
650.7633560979408,0.8619382199972726,0.029890, 3.431304, 4.626708,755,42871
671.9000889614654,0.9129077295672083,0.032217, 3.425496, 4.615896,736,43607
579.8938325438535,0.7640234947876857,0.033423, 3.408621, 4.601218,759,44366
642.2923291963959,0.8541121398888244,0.029959, 3.396237, 4.580796,752,45118
640.1745272133912,0.9067627864212341,0.028077, 3.385461, 4.565620,706,45824
715.6263487250477,0.9953078563630705,0.030230, 3.398625, 4.583880,719,46543
715.245566948236,0.9205219651843449,0.028893, 3.413264, 4.604894,777,47320
655.0234130016245,0.8208313446135646,0.022644, 3.432458, 4.626780,798,48118
666.2905253905813,0.9331800075498337,0.028717, 3.414769, 4.610266,714,48832
666.6123344461062,0.8888164459281416,0.024141, 3.409679, 4.606076,750,49582
681.597899771813,0.8794811609958877,0.025587, 3.390056, 4.582771,775,50357
643.1000570849478,0.9070522666924511,0.026740, 3.372815, 4.559608,709,51066
666.7721629654557,0.9364777569739546,0.025392, 3.373031, 4.563189,712,51778
611.8304919382896,0.7744689771370754,0.024955, 3.373045, 4.565938,790,52568
741.0255474007777,0.9686608462755264,0.023825, 3.369226, 4.561598,765,53333
690.3942646823314,0.8717099301544587,0.023297, 3.366980, 4.558337,792,54125
643.8794386543949,0.9081515354786952,0.023285, 3.389450, 4.585211,709,54834
640.4615499570308,0.9071693342167575,0.026245, 3.401162, 4.607616,706,55540
617.2889576945674,0.8755871740348474,0.028263, 3.416149, 4.621031,705,56245
677.9590862916682,0.961644094030735,0.026281, 3.393788, 4.591369,705,56950
689.3669423719953,0.9228473124123096,0.026063, 3.400575, 4.600440,747,57697
682.3705102816277,0.8670527449575955,0.029518, 3.411685, 4.615350,787,58484
656.803558699395,0.8923961395372215,0.028058, 3.413051, 4.614651,736,59220
686.891373468006,0.9688171699125614,0.027235, 3.410086, 4.616148,709,59929
698.6256316834574,0.8911041220452263,0.028535, 3.417626, 4.628397,784,60713
654.5971669707158,0.8579255137230875,0.028816, 3.405758, 4.613416,763,61476
722.9733264814776,0.9389263980278929,0.029156, 3.393018, 4.597618,770,62246
687.9856639593447,0.9489457433921996,0.030757, 3.405581, 4.624690,725,62971
582.3933711086131,0.7289028424388149,0.032143, 3.398689, 4.612024,799,63770
636.3787248726017,0.8705591311526698,0.027929, 3.376494, 4.580881,731,64501
627.4368418866443,0.8606815389391554,0.025799, 3.383250, 4.577548,729,65230
634.7113580998731,0.8623795626356971,0.031685, 3.369151, 4.567198,736,65966
666.3393040106396,0.9178227327970242,0.030723, 3.364999, 4.568158,726,66692
618.6935934059045,0.8383382024470251,0.030844, 3.358802, 4.552894,738,67430
701.2206495822747,0.9592621745311556,0.031710, 3.340313, 4.529572,731,68161
