kq,sl,mean_reward
539.0330426,953,0.565617044
479.6512613,949,0.505428094
459.8595087,944,0.48713931
526.407153,984,0.534966619
565.286285,913,0.619152558
585.7970392,909,0.644441187
497.3710944,935,0.531947695
469.1913619,983,0.477305556
468.8689823,914,0.512985757
507.2736273,939,0.540227505
558.064589,957,0.583139591
467.1012489,933,0.500644425
503.5989644,920,0.547390179
552.2115295,930,0.593775838
543.0015694,900,0.603335077
419.506523,958,0.437898249
506.6888535,944,0.536746667
549.3790441,910,0.603713235
478.7686714,956,0.50080405
529.1491179,950,0.556999071
533.8004383,929,0.574596812
442.5871973,983,0.450241299
485.7836685,994,0.488715964
494.8356477,905,0.546779721
477.3805339,935,0.510567416
455.4123182,953,0.477872317
440.8250927,911,0.48389143
473.3078919,940,0.503519034
455.0880788,978,0.465325234
531.4766055,938,0.566606189
584.7042838,971,0.602167131
477.297657,927,0.514884204
487.8478688,1000,0.487847869
480.8290227,960,0.500863565
448.2405042,971,0.461627708
469.7026976,917,0.512216682
434.9596687,987,0.440688621
445.7415263,944,0.47218382
604.619917,986,0.613204784
499.1033926,914,0.546064981
485.1538798,921,0.526768599
456.1147842,992,0.459793129
527.5764554,958,0.550706112
541.6904029,906,0.597892277
464.6388961,967,0.480495239
495.215622,958,0.516926537
456.3968262,983,0.464289752
511.6481751,936,0.546632666
435.5140169,948,0.459402971
473.5998169,995,0.475979715
502.8207028,939,0.535485307
462.7325602,950,0.487086905
465.2151898,905,0.514049934
491.6191796,990,0.49658503
551.7274428,924,0.597107622
491.3336169,906,0.542310835
391.4865085,928,0.421860462
646.0123335,943,0.685060799
496.688627,928,0.535224814
468.4962542,982,0.477083762
484.7041282,987,0.491088276
544.2700179,929,0.585866542
482.0986929,964,0.500102379
410.6135556,913,0.449741025
541.6296614,946,0.572547211
473.9953363,986,0.480725493
494.1689576,964,0.5126234
472.0603455,976,0.483668387
515.1730104,941,0.547473975
540.9019644,905,0.597681729
517.5129387,964,0.536839148
440.540105,988,0.445890795
484.1748344,960,0.504348786
430.7552773,933,0.4616884
432.3840824,997,0.433685138
457.5360693,990,0.462157646
482.2992609,952,0.506616871
489.2729815,931,0.525534889
504.8902975,932,0.541727787
536.3098254,960,0.558656068
493.4618107,926,0.532896124
559.9452685,965,0.580254164
498.720224,962,0.518420191
447.7898403,933,0.479946238
468.8581856,995,0.471214257
419.928352,935,0.449121232
464.050504,925,0.501676221
439.0706476,995,0.441277033
499.545645,982,0.508702286
429.3981138,904,0.474997914
526.9233665,970,0.543219965
506.8781892,931,0.544444886
535.4336878,902,0.593607193
577.4247669,952,0.606538621
485.9578992,984,0.493859654
481.4173097,972,0.495285298
512.3246101,982,0.521715489
556.0698775,988,0.562823763
505.1676586,977,0.51706004
457.9097843,905,0.505977662
457.9097843,905,0.505977662
