total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
143.58892684487583,0.1506704374028078,2.549970, 1.279734, 1.410967,953,953
227.87495778378977,0.24012113570473106,0.270098, 0.333079, 0.748360,949,1902
218.37360279495343,0.23132796906245068,0.128651, 0.190436, 0.516711,944,2846
253.6568397485593,0.2577813412078855,0.116336, 0.167108, 0.439817,984,3830
283.72174679870454,0.31075766352541573,0.229715, 0.287604, 0.929584,913,4743
393.90065198568044,0.4333340505893074,0.234971, 0.387394, 1.294711,909,5652
392.16730874502264,0.41943027673264455,0.236887, 0.600754, 1.769880,935,6587
397.8228204428725,0.404702767490206,0.185929, 0.822826, 1.826571,983,7570
471.80542148739784,0.5161984917805228,0.096168, 1.533934, 2.486621,914,8484
527.2868392806224,0.5615408299048162,0.074615, 1.843604, 2.754737,939,9423
582.0412017384087,0.6081935232376267,0.066002, 2.073181, 3.049692,957,10380
559.0362515562301,0.5991814057408683,0.064870, 2.108828, 2.966713,933,11313
598.6052947713093,0.6506579290992492,0.063801, 2.266863, 3.212084,920,12233
529.6081855405062,0.5694711672478561,0.064619, 1.915840, 2.810635,930,13163
569.6911097537924,0.6329901219486582,0.072078, 2.110707, 3.144949,900,14063
494.56532392992546,0.5162477285281059,0.053930, 1.800902, 2.578479,958,15021
548.9847807375592,0.5815516745101262,0.059309, 1.967717, 2.803307,944,15965
550.3680268432604,0.6048000294980883,0.062984, 2.074019, 2.972040,910,16875
597.5482157769964,0.6250504349131761,0.055321, 2.216720, 3.126861,956,17831
642.2520715422525,0.6760548121497394,0.057961, 2.394991, 3.358062,950,18781
659.7483909476101,0.7101704961761143,0.062587, 2.481138, 3.505038,929,19710
587.4658000040187,0.5976254323540373,0.060630, 2.100646, 2.955669,983,20693
587.9741003382957,0.5915232397769574,0.048687, 2.121089, 2.953685,994,21687
569.2935403532324,0.6290536357494281,0.045066, 2.207934, 3.081111,905,22592
524.1594780438286,0.5605983722393889,0.042605, 1.986033, 2.817915,935,23527
