total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
115.98480277493583,0.12170493470612365,1.630933, 5.849613, 8.289823,953,953
246.67779660262528,0.2599344537435461,0.069804, 4.278338, 6.102676,949,1902
230.29626571428793,0.24395790859564398,0.051498, 2.904920, 4.125965,944,2846
297.32350613244654,0.3021580346874457,0.051893, 2.028528, 2.903799,984,3830
217.7040135135067,0.23844908380449803,0.052174, 1.709142, 2.482508,913,4743
142.89021557043162,0.1571949566231371,0.045251, 1.603099, 2.314196,909,5652
286.7924087442883,0.30672984892437255,0.040528, 1.522706, 2.226045,935,6587
379.08799914498434,0.3856439462309098,0.038218, 1.449094, 2.116643,983,7570
454.19319013637926,0.49692909205293134,0.039508, 1.396026, 2.047292,914,8484
379.68171681004947,0.4043468762620335,0.038729, 1.406220, 2.091820,939,9423
387.21340232496453,0.40461170566871946,0.037207, 1.453922, 2.152015,957,10380
499.41962719790627,0.5352836304371986,0.040761, 1.523550, 2.230858,933,11313
377.9013993645242,0.41076239061361325,0.042007, 1.573500, 2.309024,920,12233
402.9015608972082,0.4332274848357077,0.037452, 1.646837, 2.413220,930,13163
450.9663377962531,0.5010737086625034,0.039810, 1.726532, 2.511558,900,14063
375.7791376521137,0.3922537971316427,0.039454, 1.793258, 2.592836,958,15021
596.6158575723525,0.632008323699526,0.036941, 1.853468, 2.668970,944,15965
596.1493129672176,0.6551091351288105,0.036294, 1.905850, 2.736586,910,16875
536.4304010871333,0.5611196664091352,0.042650, 1.957065, 2.796488,956,17831
555.3378181757902,0.5845661243955687,0.038954, 2.007799, 2.854768,950,18781
625.5923589673969,0.6734040462512345,0.039221, 2.035374, 2.889599,929,19710
566.65106995731,0.5764507324082503,0.041947, 2.086430, 2.947415,983,20693
566.1491315685754,0.5695665307530939,0.043415, 2.118177, 2.997179,994,21687
547.2742123833899,0.6047228866114805,0.040557, 2.140975, 3.016208,905,22592
574.1972427897363,0.614114698170841,0.039253, 2.208407, 3.158250,935,23527
601.9349221338744,0.6316211145161326,0.036117, 2.248294, 3.224764,953,24480
619.7994928883627,0.6803507056952389,0.036870, 2.305708, 3.306571,911,25391
594.293832345642,0.6322274812187682,0.034844, 2.307958, 3.295806,940,26331
602.4382127865315,0.6159899926242653,0.036293, 2.379738, 3.379604,978,27309
642.5886178509929,0.6850624923784573,0.035310, 2.407488, 3.409614,938,28247
711.6448041005663,0.7328988713703051,0.036670, 2.447145, 3.449713,971,29218
620.361836259259,0.6692144943465578,0.034140, 2.464878, 3.461906,927,30145
629.9577281291378,0.6299577281291378,0.035469, 2.458004, 3.433761,1000,31145
667.7773620283288,0.6956014187795091,0.036730, 2.463216, 3.429670,960,32105
540.9157029451401,0.5570707548353657,0.038394, 2.470425, 3.431085,971,33076
631.641135859837,0.6888125799998223,0.035988, 2.480991, 3.436763,917,33993
594.0106431572312,0.6018344915473468,0.036168, 2.477126, 3.425497,987,34980
565.1196610415639,0.5986437087304702,0.037067, 2.476073, 3.421514,944,35924
725.4189851738204,0.7357190519004263,0.039018, 2.480429, 3.420734,986,36910
624.5370320832999,0.6833009103756016,0.037337, 2.488168, 3.427539,914,37824
623.4778367717188,0.6769574774937229,0.039787, 2.514642, 3.458283,921,38745
585.9288096087914,0.5906540419443462,0.038888, 2.514023, 3.456466,992,39737
648.5540160682328,0.6769874906766522,0.040099, 2.530215, 3.470701,958,40695
655.8042761484758,0.7238457794133286,0.037562, 2.530395, 3.469661,906,41601
614.3029068823331,0.6352667082547395,0.039365, 2.507914, 3.438601,967,42568
632.1187351104486,0.6598316650422219,0.040573, 2.532443, 3.472654,958,43526
583.6103858365213,0.5937033426617715,0.041675, 2.522382, 3.457403,983,44509
627.538836227978,0.6704474746025406,0.040870, 2.486243, 3.409108,936,45445
610.961843366456,0.6444745183190465,0.039626, 2.485705, 3.401961,948,46393
618.5714926340171,0.6216798920944895,0.040765, 2.471489, 3.379426,995,47388
665.7802861560732,0.7090311886646147,0.041570, 2.486867, 3.404109,939,48327
607.3163069412072,0.6392803230960076,0.041357, 2.480077, 3.389295,950,49277
614.1341407855145,0.6786012605364802,0.038207, 2.489313, 3.398352,905,50182
618.2721007731066,0.6245172735081884,0.039159, 2.482975, 3.380370,990,51172
661.3972791944273,0.7157979212060901,0.039512, 2.482099, 3.386078,924,52096
611.2664610725352,0.6746870431264186,0.039137, 2.498614, 3.402060,906,53002
565.9419973038027,0.6098512901980633,0.039112, 2.480934, 3.380711,928,53930
732.2478249690125,0.7765088281749868,0.040876, 2.483543, 3.375527,943,54873
620.5421063745518,0.6686876146277498,0.039639, 2.487884, 3.377962,928,55801
625.1556330226094,0.636614697579032,0.039515, 2.489764, 3.379219,982,56783
661.7464467129205,0.6704624586757046,0.040021, 2.491762, 3.380982,987,57770
662.2721072503707,0.7128870906893119,0.037837, 2.496206, 3.385313,929,58699
657.7096640961706,0.6822714357844094,0.038502, 2.486115, 3.374387,964,59663
515.070301872615,0.564151480692897,0.035930, 2.494699, 3.385430,913,60576
661.4336505144279,0.6991899054063719,0.039314, 2.505644, 3.401510,946,61522
662.6128158396057,0.6720211113991944,0.038971, 2.525061, 3.429516,986,62508
635.784609545995,0.6595276032634803,0.036469, 2.559305, 3.481846,964,63472
599.4287568932614,0.614168808292276,0.039674, 2.603933, 3.542430,976,64448
656.0727236110775,0.6972079953358954,0.038735, 2.604838, 3.547631,941,65389
619.4438385177748,0.6844683298538948,0.041732, 2.599815, 3.538107,905,66294
576.217109340891,0.5977355906025841,0.040584, 2.584562, 3.518640,964,67258
563.9663027038032,0.5708160958540518,0.041378, 2.594371, 3.531784,988,68246
607.3271406390783,0.6326324381657066,0.038652, 2.562503, 3.493570,960,69206
590.4086464150743,0.6328066949786434,0.040068, 2.553111, 3.482884,933,70139
595.1429416243989,0.5969337428529577,0.042719, 2.550208, 3.478765,997,71136
616.5422752327958,0.622769974982622,0.043289, 2.544669, 3.472688,990,72126
617.3514359649665,0.648478399122864,0.042094, 2.543720, 3.470046,952,73078
609.1811828707728,0.6543299493778441,0.041667, 2.540315, 3.459834,931,74009
653.5681532818071,0.7012533833495784,0.041153, 2.532103, 3.454267,932,74941
648.4829007843305,0.6755030216503443,0.043578, 2.531964, 3.456862,960,75901
651.0005803948347,0.7030243848756315,0.042983, 2.546039, 3.467974,926,76827
651.1933706953708,0.6748117831040112,0.040717, 2.524586, 3.440722,965,77792
640.9070635431817,0.6662235587766961,0.041886, 2.529021, 3.442084,962,78754
608.64854304311,0.6523564234116934,0.041796, 2.521800, 3.435788,933,79687
537.8670178181285,0.540569867153898,0.041392, 2.505620, 3.414436,995,80682
574.4682389776438,0.6144045336659292,0.043383, 2.481230, 3.381290,935,81617
557.4960616544579,0.6026984450318463,0.042229, 2.476465, 3.380984,925,82542
579.1841651811244,0.5820946383729894,0.041743, 2.460150, 3.355059,995,83537
643.7743089750411,0.6555746527240744,0.043231, 2.464898, 3.365276,982,84519
596.0936718464122,0.6593956546973586,0.041945, 2.466390, 3.366856,904,85423
677.3302943222088,0.6982786539404214,0.042577, 2.452083, 3.347615,970,86393
666.2544618155662,0.7156331491037231,0.041516, 2.439451, 3.325282,931,87324
662.3812034507717,0.734347232207064,0.042231, 2.445793, 3.340471,902,88226
685.9768994934611,0.7205639700561567,0.040588, 2.432142, 3.324265,952,89178
644.3356689951771,0.6548126717430661,0.040122, 2.462136, 3.367401,984,90162
651.8871699442002,0.6706658126997944,0.042800, 2.449710, 3.352711,972,91134
657.2746308630445,0.669322434687418,0.040274, 2.462167, 3.373478,982,92116
707.5913645521887,0.7161855916520128,0.040081, 2.464529, 3.376311,988,93104
638.9139871911555,0.6539549510656658,0.040626, 2.477158, 3.394438,977,94081
619.7523354724318,0.6848092104667755,0.039903, 2.473544, 3.387513,905,94986
637.9143862068427,0.6443579658654977,0.038975, 2.504024, 3.428765,990,95976
546.4303011441241,0.5662490167296622,0.039968, 2.482505, 3.397358,965,96941
575.6979588538964,0.5762742330869833,0.038230, 2.483077, 3.399166,999,97940
527.6486616636355,0.5667547386290392,0.037283, 2.465215, 3.383970,931,98871
621.86715094644,0.6909635010516,0.037946, 2.474626, 3.393938,900,99771
621.4863844159805,0.6590523694761193,0.040192, 2.461055, 3.372718,943,100714
627.0359266087329,0.6444356902453575,0.041240, 2.468022, 3.383167,973,101687
602.5890570194565,0.6263919511636762,0.038862, 2.458249, 3.363984,962,102649
626.2511388015444,0.6585185476356933,0.039987, 2.452530, 3.358830,951,103600
623.9556656760062,0.6864198742310299,0.038215, 2.443670, 3.346612,909,104509
628.5013122851212,0.6679078770298844,0.038704, 2.437403, 3.342803,941,105450
600.9288084306016,0.6233701332267652,0.037318, 2.463060, 3.373682,964,106414
595.646212446911,0.6574461506036545,0.037998, 2.464809, 3.371369,906,107320
633.5846722772001,0.6683382618957807,0.038487, 2.467909, 3.370179,948,108268
629.7736675561956,0.6912993057696988,0.038960, 2.494008, 3.402331,911,109179
652.8380557958865,0.6587669584216816,0.038021, 2.501050, 3.411585,991,110170
631.3277920071204,0.7014753244523559,0.034650, 2.493494, 3.396858,900,111070
651.3174275808313,0.6899549020983383,0.037153, 2.490590, 3.392348,944,112014
469.5011276244786,0.48703436475568324,0.037572, 2.500687, 3.406339,964,112978
643.9779653815015,0.6687206286412268,0.038551, 2.524058, 3.428600,963,113941
621.0843870065399,0.6389757067968518,0.035783, 2.511859, 3.409392,972,114913
666.5603382142397,0.7389804193062524,0.038484, 2.480979, 3.365093,902,115815
596.3602693033963,0.6454115468651476,0.036045, 2.487766, 3.382826,924,116739
556.8347465761744,0.605913761236316,0.037519, 2.490494, 3.386276,919,117658
543.8307819160316,0.5803957117567039,0.035984, 2.467253, 3.359660,937,118595
605.1787847088734,0.6290839757888497,0.037919, 2.474582, 3.369033,962,119557
627.4735316291712,0.6409331273025243,0.038637, 2.456953, 3.348523,979,120536
594.8689219025438,0.6057728328946475,0.036065, 2.459282, 3.355301,982,121518
624.0957418688381,0.6590240146450244,0.038650, 2.438966, 3.327514,947,122465
584.099917138423,0.6280644270305624,0.037334, 2.465158, 3.359183,930,123395
585.289467548105,0.587050619406324,0.037487, 2.464567, 3.358410,997,124392
572.896804176228,0.572896804176228,0.038500, 2.454545, 3.343071,1000,125392
656.9450009497842,0.7026149742778441,0.035918, 2.441023, 3.325744,935,126327
664.4668017041538,0.7222465235914716,0.035152, 2.461788, 3.362002,920,127247
616.8598497113693,0.6823670903886828,0.036296, 2.462838, 3.357857,904,128151
615.1495275021189,0.6226209792531567,0.036532, 2.465538, 3.367634,988,129139
604.7913534909648,0.6215738473699535,0.035849, 2.459903, 3.356098,973,130112
556.3996673175218,0.5654468163795953,0.036317, 2.439366, 3.329064,984,131096
617.5526181228934,0.664035073250423,0.035748, 2.445937, 3.342175,930,132026
592.2558486755033,0.6501161895450092,0.036355, 2.446731, 3.343018,911,132937
573.6247297834748,0.6057283313447464,0.037484, 2.435619, 3.328280,947,133884
631.6856125461098,0.6866147962457716,0.037199, 2.439133, 3.333690,920,134804
645.4581475060274,0.6526371562244969,0.036057, 2.428138, 3.319619,989,135793
659.1736309803384,0.6692118081018664,0.036149, 2.429014, 3.319483,985,136778
671.9351614044804,0.6856481238821228,0.035975, 2.421937, 3.307109,980,137758
589.9463158576149,0.620343129187818,0.035804, 2.423725, 3.309641,951,138709
620.8524289171364,0.6845120495227524,0.035387, 2.425581, 3.314512,907,139616
649.3829295756673,0.6736337443730989,0.036038, 2.408309, 3.301664,964,140580
669.1886606171123,0.7073875905043471,0.036502, 2.399630, 3.285431,946,141526
618.8108177029819,0.6392673736601053,0.036064, 2.414568, 3.304846,968,142494
682.7473946371208,0.7413109605180465,0.036411, 2.408852, 3.301546,921,143415
680.8180482504689,0.7151450086664589,0.035072, 2.422258, 3.323501,952,144367
656.5032416911884,0.690329381378747,0.037373, 2.443144, 3.347999,951,145318
664.1147257067054,0.7050050166737849,0.036271, 2.432994, 3.335424,942,146260
725.8044281340674,0.7346198665324569,0.036092, 2.462310, 3.376326,988,147248
680.3448005706647,0.7307677771972768,0.036391, 2.463889, 3.378633,931,148179
633.7726649142506,0.6706589046711647,0.036126, 2.476024, 3.397070,945,149124
570.0320797186511,0.6250351751300999,0.036758, 2.484013, 3.408243,912,150036
631.9030052304059,0.645457615148525,0.038665, 2.487277, 3.413140,979,151015
580.8583724775309,0.582606191050683,0.036749, 2.486536, 3.412885,997,152012
667.7490480949366,0.6765441216767342,0.036920, 2.477778, 3.400722,987,152999
714.8870637089653,0.7662240768584837,0.037616, 2.481053, 3.400689,933,153932
633.9823845270831,0.6982184851619858,0.036250, 2.492429, 3.421043,908,154840
516.5569627017388,0.5186314886563643,0.037748, 2.519779, 3.448583,996,155836
610.4152133632157,0.6700496304755387,0.038008, 2.504897, 3.424555,911,156747
546.9537127735458,0.5691505856124306,0.037288, 2.496494, 3.413685,961,157708
577.3008408663455,0.6350944343964198,0.037986, 2.501243, 3.415438,909,158617
627.0976950808524,0.6786771591784118,0.035501, 2.509577, 3.430938,924,159541
593.5549009742949,0.6182863551815572,0.037104, 2.509793, 3.428959,960,160501
551.3168969848257,0.6005630686109212,0.037526, 2.506823, 3.421682,918,161419
543.9445113032355,0.5713702849823902,0.038223, 2.497720, 3.411371,952,162371
569.1406550619306,0.6022652434517785,0.037865, 2.482879, 3.388818,945,163316
518.2353138408853,0.5472389797686222,0.038161, 2.475861, 3.381848,947,164263
571.0923817535777,0.6207525888625844,0.038890, 2.448930, 3.345001,920,165183
501.7818540515907,0.5436423120818967,0.037641, 2.454335, 3.355160,923,166106
564.1076349811258,0.583358464303129,0.039155, 2.418516, 3.307313,967,167073
562.383283598535,0.5995557394440671,0.037355, 2.416909, 3.307727,938,168011
636.8799334757354,0.7029579839688028,0.037337, 2.397364, 3.283591,906,168917
656.2094724632118,0.6871303376578134,0.038025, 2.406688, 3.295214,955,169872
676.6880292399135,0.7419824882016595,0.038344, 2.396903, 3.281996,912,170784
664.9522531179306,0.7173163464055347,0.036454, 2.402409, 3.296801,927,171711
606.7778520778627,0.6274848522004784,0.036349, 2.400146, 3.291240,967,172678
586.3708645765009,0.598948789148622,0.037226, 2.387198, 3.276271,979,173657
620.0091316942693,0.6288125067893198,0.041429, 2.390987, 3.277371,986,174643
653.2612070885065,0.6585294426295428,0.039818, 2.399510, 3.290919,992,175635
656.8367012985696,0.682073417755524,0.039095, 2.388648, 3.273874,963,176598
663.7669573863005,0.6677735989801816,0.039556, 2.396719, 3.290425,994,177592
654.0776181018175,0.6820413118892779,0.039724, 2.388686, 3.278456,959,178551
595.7242293473385,0.6173308076138222,0.041547, 2.378340, 3.260767,965,179516
660.5833779282729,0.6990300295537278,0.040893, 2.381793, 3.268559,945,180461
627.3034270948955,0.6349224970596108,0.041400, 2.396723, 3.290966,988,181449
633.0266929901386,0.6792131899035821,0.040310, 2.394818, 3.289622,932,182381
574.6861999518441,0.6146376470073198,0.039903, 2.398809, 3.293859,935,183316
658.2478974424205,0.7025057603440987,0.040603, 2.409554, 3.308984,937,184253
598.8520453095375,0.6357240396067277,0.038760, 2.416767, 3.320365,942,185195
649.0583351638192,0.6934383922690376,0.040481, 2.417809, 3.318152,936,186131
750.2083893353565,0.8307955585109152,0.038436, 2.427745, 3.339600,903,187034
625.1840630368378,0.6340609158588618,0.039280, 2.446424, 3.366380,986,188020
573.0276014654908,0.5823451234405393,0.039071, 2.450541, 3.368941,984,189004
696.3015657908514,0.7163596355872958,0.036950, 2.462309, 3.382742,972,189976
