total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
75.78604675672605,0.0795236587163967,12.467232, 17.640626, 35.609184,953,953
145.9150953388794,0.1537566863423387,0.427583, 24.793449, 33.309189,949,1902
195.75503949828789,0.20736762658716937,0.423308, 19.794893, 26.449245,944,2846
203.54164127419776,0.20685126145751806,0.259042, 14.158535, 18.944023,984,3830
307.01451588221255,0.3362700064427301,0.167301, 10.294485, 13.744417,913,4743
176.21131573074723,0.19385183248707066,0.176990, 8.610662, 11.516497,909,5652
236.05879787269066,0.25246930253763705,0.105151, 7.199244, 9.618379,935,6587
359.13289913217403,0.3653437427590784,0.099396, 6.182372, 8.271953,983,7570
449.3930220943383,0.4916772670616393,0.066408, 5.499986, 7.409002,914,8484
387.76716867496634,0.41295758112349984,0.087861, 4.997216, 6.748671,939,9423
374.98673810232424,0.3918356719982489,0.056061, 4.579576, 6.198158,957,10380
388.2080261355192,0.4160857729212425,0.080611, 4.334610, 5.874476,933,11313
339.86057810541166,0.3694136718537083,0.057907, 4.149330, 5.616309,920,12233
550.698216678499,0.5921486200844075,0.066853, 3.976895, 5.415882,930,13163
467.9515400097749,0.5199461555664165,0.059775, 3.911826, 5.375339,900,14063
410.6745297422564,0.4286790498353407,0.062056, 3.836995, 5.316327,958,15021
517.7682671179308,0.5484833338113674,0.058667, 3.833793, 5.306372,944,15965
551.8775860304952,0.6064588857477969,0.069588, 3.848893, 5.302318,910,16875
624.3076815181573,0.6530415078641812,0.066789, 3.875427, 5.322152,956,17831
550.2283439818568,0.5791877305072177,0.073790, 3.902687, 5.350903,950,18781
572.1148248606556,0.6158394239619543,0.074866, 3.938894, 5.390297,929,19710
538.4286362053181,0.5477402199443724,0.080711, 3.957479, 5.409747,983,20693
512.1383293441743,0.5152297075897125,0.078467, 3.990680, 5.448366,994,21687
571.8695771980042,0.6319000853016621,0.074218, 4.047797, 5.520669,905,22592
592.8413768087344,0.6340549484585394,0.079687, 4.102499, 5.586947,935,23527
594.3519030691785,0.623664116546882,0.080748, 4.165983, 5.677058,953,24480
597.7687595276587,0.6561676833453993,0.080703, 4.237970, 5.771157,911,25391
608.1059160761814,0.6469211873150866,0.086180, 4.193640, 5.693343,940,26331
598.5386234388726,0.612002682452835,0.094123, 4.191268, 5.698764,978,27309
609.6611051134523,0.6499585342360898,0.088726, 4.277707, 5.823750,938,28247
664.8629765093398,0.6847198522238309,0.086194, 4.384835, 5.970511,971,29218
599.9195621533936,0.64716241871995,0.090031, 4.438349, 6.032988,927,30145
645.7585215491333,0.6457585215491333,0.097720, 4.496813, 6.109417,1000,31145
662.915035240047,0.6905364950417157,0.099478, 4.527068, 6.143996,960,32105
616.9996196967709,0.6354270027773129,0.095335, 4.592111, 6.234661,971,33076
608.3786364312697,0.6634445326404249,0.105623, 4.636139, 6.292769,917,33993
606.6018489971974,0.6145915390042527,0.104942, 4.654650, 6.313256,987,34980
554.4914126565924,0.5873849710345258,0.102577, 4.704885, 6.387480,944,35924
695.9356808648666,0.705817120552603,0.108064, 4.767075, 6.490329,986,36910
594.3127233949273,0.6502327389441217,0.102371, 4.788525, 6.524169,914,37824
563.4660223697356,0.6117980698911353,0.106504, 4.775328, 6.520201,921,38745
577.3512151754222,0.5820072733623208,0.103109, 4.849991, 6.613985,992,39737
644.2819041130001,0.6725280836252611,0.096653, 4.907828, 6.686315,958,40695
648.9518508109318,0.716282396038556,0.094806, 4.933106, 6.719834,906,41601
600.01088088102,0.6204869502389038,0.095151, 4.963427, 6.754224,967,42568
618.6777800285199,0.6458014405308141,0.096794, 4.977733, 6.756649,958,43526
540.0069370549829,0.5493458159257202,0.096315, 5.005758, 6.795069,983,44509
657.6382190795388,0.7026049349140372,0.102415, 5.015965, 6.797514,936,45445
615.6343287587587,0.6494033003784374,0.104596, 5.039465, 6.824135,948,46393
640.5956584620462,0.6438147321226595,0.095606, 5.051381, 6.840039,995,47388
628.4653992029289,0.6692922249232469,0.106886, 5.046153, 6.833336,939,48327
615.5739254975477,0.6479725531553134,0.097346, 5.047531, 6.822342,950,49277
579.4604225330778,0.6402877597050584,0.110904, 5.054853, 6.824609,905,50182
648.2472407764537,0.6547951927034886,0.102732, 5.057568, 6.832792,990,51172
700.3103626668944,0.7579116479078944,0.102560, 5.061608, 6.827259,924,52096
656.4833404994306,0.7245952985644929,0.105954, 5.074218, 6.833160,906,53002
463.7932718755343,0.49977723262449814,0.109078, 5.047224, 6.789259,928,53930
737.7755972629527,0.7823707288048279,0.112075, 5.035543, 6.771013,943,54873
637.0138235903881,0.6864373099034355,0.106732, 5.091564, 6.845477,928,55801
550.6571665255115,0.5607506787428833,0.101146, 5.048242, 6.789459,982,56783
666.7274024813478,0.675509019737941,0.101749, 5.007287, 6.738375,987,57770
