total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
393.8638595248857,0.4132884150313596,0.133529, 2.483581, 3.684398,953,953
369.13430399004335,0.3889718693256516,0.025520, 1.974156, 2.841740,949,1902
440.9477341752918,0.46710565060941933,0.022567, 1.832387, 2.645330,944,2846
521.3251815838158,0.5298020138046909,0.024756, 1.895730, 2.700470,984,3830
575.161482512905,0.6299687650743756,0.028443, 2.054625, 2.895164,913,4743
601.73808048368,0.6619780863406821,0.033746, 2.229327, 3.110788,909,5652
494.62763676420525,0.5290135152558345,0.038681, 2.437353, 3.371015,935,6587
532.3763609990874,0.5415832767030391,0.046258, 2.654207, 3.643303,983,7570
483.37341486593783,0.5288549396782689,0.054075, 2.913455, 3.989036,914,8484
639.861150843396,0.6814282756585687,0.060504, 3.086687, 4.217563,939,9423
546.2308190294657,0.5707741055689297,0.070460, 3.274809, 4.454248,957,10380
557.2561997595715,0.5972735260016844,0.073120, 3.419430, 4.648189,933,11313
632.5415623872398,0.6875451765078693,0.085435, 3.595841, 4.874430,920,12233
606.7842158660482,0.6524561460925249,0.093855, 3.827491, 5.175998,930,13163
602.2239923703019,0.6691377693003354,0.105988, 4.012606, 5.422732,900,14063
542.2809146795455,0.566055234529797,0.106814, 4.152643, 5.607780,958,15021
673.6382912133902,0.7135998847599472,0.109588, 4.293837, 5.803182,944,15965
668.6935936408039,0.7348281248800043,0.121350, 4.424387, 5.985774,910,16875
605.3609428011184,0.6332227435158142,0.125840, 4.551976, 6.152750,956,17831
617.5296775202631,0.6500312394950138,0.127958, 4.679649, 6.322971,950,18781
651.9285133379566,0.701752974529555,0.123275, 4.769927, 6.456324,929,19710
599.3741722953239,0.6097397480115198,0.123533, 4.849061, 6.561734,983,20693
570.9640433869073,0.5744105064254601,0.120136, 4.935711, 6.681797,994,21687
624.8346213185337,0.6904249959320814,0.114644, 4.965336, 6.733254,905,22592
418.0392477692532,0.447100799753212,0.129443, 5.211737, 7.072358,935,23527
272.3897830901324,0.2858234869781033,0.305934, 6.211633, 8.424047,953,24480
517.2620155909051,0.5677958458736609,0.392459, 6.193191, 8.387210,911,25391
502.63185321171727,0.5347147374592737,0.311528, 6.070047, 8.205835,940,26331
628.6313802249338,0.6427723724181327,0.162657, 5.990152, 8.088257,978,27309
494.6305586421356,0.5273246893839398,0.272019, 5.887266, 7.971960,938,28247
565.5310428418231,0.5824212593633606,0.204218, 5.751633, 7.786671,971,29218
490.2320186900182,0.5288371291154458,0.190159, 5.617077, 7.610017,927,30145
522.3066499253897,0.5223066499253897,0.185532, 5.499920, 7.460002,1000,31145
541.6799178410891,0.5642499144178011,0.237093, 5.401903, 7.347642,960,32105
495.01383503760593,0.5097979763518083,0.197456, 5.278373, 7.187461,971,33076
543.771425220317,0.5929895585826794,0.131680, 4.949806, 6.753953,917,33993
502.5527745368312,0.5091720106756141,0.104404, 4.854407, 6.611585,987,34980
532.8728004822592,0.5644838988159525,0.105332, 4.836399, 6.578896,944,35924
639.8938368302212,0.6489795505377497,0.099746, 4.800982, 6.521117,986,36910
572.3606049571949,0.6262151038918982,0.108482, 4.686801, 6.347966,914,37824
530.9445664470642,0.5764870428306885,0.098702, 4.683414, 6.324784,921,38745
541.606376075257,0.5459741694307026,0.099895, 4.653329, 6.277066,992,39737
543.2004767371882,0.5670151114166891,0.109187, 4.634812, 6.252944,958,40695
539.4178874666922,0.5953839817513158,0.098893, 4.655324, 6.283231,906,41601
536.3354430334433,0.5546385139952879,0.104380, 4.635376, 6.271352,967,42568
594.5725714522058,0.6206394274031376,0.120241, 4.786128, 6.471389,958,43526
560.5899870076805,0.5702848291024217,0.110695, 4.868464, 6.575413,983,44509
531.3586109832593,0.5676908237000633,0.118375, 4.999310, 6.755044,936,45445
659.0749523791835,0.6952267430160164,0.118660, 5.016057, 6.778842,948,46393
657.3765517012397,0.6606799514585323,0.109994, 5.074144, 6.858210,995,47388
563.0703604373556,0.5996489461526684,0.114660, 5.169673, 6.986795,939,48327
507.47898367923847,0.5341884038728826,0.115916, 5.120183, 6.931798,950,49277
540.5073542131661,0.597245695263167,0.107859, 5.093795, 6.902817,905,50182
556.6292470489387,0.5622517646958977,0.112654, 5.086104, 6.906198,990,51172
572.70329844356,0.6198087645493073,0.102725, 5.043547, 6.845944,924,52096
527.6102617832348,0.5823512823214513,0.102942, 5.009275, 6.786539,906,53002
430.2061875240957,0.4635842537975169,0.110224, 4.918385, 6.675637,928,53930
669.7697969698139,0.7102542915904707,0.106158, 4.797197, 6.522533,943,54873
555.7717848251104,0.5988920095098172,0.098582, 4.817993, 6.543355,928,55801
432.9662361539153,0.4409024808084677,0.109720, 4.763228, 6.465982,982,56783
505.2093352163259,0.5118635615160343,0.116986, 4.703228, 6.378901,987,57770
602.6954371376711,0.6487571982106255,0.113577, 4.699227, 6.361393,929,58699
433.80565793274144,0.45000586922483554,0.119493, 4.747532, 6.431463,964,59663
440.93904694470064,0.4829562398079963,0.123012, 4.865305, 6.596287,913,60576
644.2019445610132,0.6809745714175616,0.104526, 4.922956, 6.661278,946,61522
523.9991173935775,0.5314392671334458,0.108030, 4.982551, 6.756820,986,62508
558.4747401720472,0.5793306433319991,0.117011, 5.110196, 6.937830,964,63472
620.0806747272542,0.635328560171367,0.113593, 5.279152, 7.175720,976,64448
708.7231385773532,0.7531595521544667,0.096997, 5.282177, 7.192882,941,65389
736.4221546530198,0.8137261377381434,0.095525, 5.331279, 7.277832,905,66294
634.4153269226673,0.6581071856044267,0.090098, 5.448691, 7.442585,964,67258
694.4730361298931,0.7029079313055598,0.084638, 5.531210, 7.570116,988,68246
674.9851971307278,0.7031095803445081,0.082532, 5.585836, 7.632544,960,69206
702.7680535091883,0.7532347840398589,0.076008, 5.621027, 7.722022,933,70139
682.7090457649614,0.6847633357722782,0.081478, 5.667130, 7.767217,997,71136
713.9879407349002,0.7211999401362629,0.077591, 5.700241, 7.795753,990,72126
679.0236482644254,0.7132601347315394,0.078025, 5.744672, 7.872415,952,73078
692.9306425379855,0.7442864044446675,0.076765, 5.751659, 7.890240,931,74009
715.0614436083063,0.7672333085926033,0.078504, 5.795484, 7.941890,932,74941
750.7763340494097,0.7820586813014684,0.081564, 5.816517, 7.975883,960,75901
531.226970646879,0.5736792339599125,0.097899, 5.806399, 7.942623,926,76827
573.6579345367488,0.5944641808670972,0.096584, 5.785251, 7.917105,965,77792
621.4411659684254,0.6459887380129162,0.099144, 5.716807, 7.824582,962,78754
620.9481527300829,0.6655392848125219,0.093239, 5.675791, 7.759298,933,79687
593.678409495893,0.5966617180863246,0.093701, 5.623081, 7.675536,995,80682
619.2602607126797,0.6623104392648981,0.092961, 5.544114, 7.574251,935,81617
621.9188771754726,0.6723447320815921,0.103827, 5.482450, 7.497388,925,82542
656.6960762033326,0.6599960564857614,0.097996, 5.453962, 7.465879,995,83537
680.0046751028193,0.6924691192493069,0.111252, 5.399277, 7.399735,982,84519
637.7735352745045,0.705501698312505,0.099820, 5.332642, 7.326181,904,85423
738.957882975255,0.7618122504899536,0.085758, 5.273258, 7.250303,970,86393
693.9730762644123,0.745406096954256,0.101237, 5.274148, 7.251585,931,87324
710.7311620913288,0.7879502905668834,0.097869, 5.318087, 7.328783,902,88226
743.822232996463,0.7813258749962846,0.084867, 5.370543, 7.410491,952,89178
708.6024564641477,0.7201244476261665,0.083725, 5.381362, 7.452533,984,90162
721.2798162513354,0.7420574241268884,0.082489, 5.454205, 7.536071,972,91134
727.4649225630192,0.7407993101456407,0.080387, 5.541956, 7.635582,982,92116
718.6474173533486,0.7273759284952921,0.071266, 5.582294, 7.675186,988,93104
706.8399457958412,0.7234799854614546,0.068578, 5.611539, 7.712726,977,94081
625.9523019336405,0.6916600021366193,0.070094, 5.622844, 7.720184,905,94986
683.6317268162011,0.6905370977941425,0.062475, 5.637024, 7.727889,990,95976
495.81100528240773,0.5137937878574174,0.061882, 5.602285, 7.673931,965,96941
633.4770144830975,0.6341111256087062,0.065778, 5.494243, 7.528854,999,97940
588.3692579267366,0.631975572423992,0.068940, 5.437276, 7.450996,931,98871
667.2178668003486,0.7413531853337206,0.076508, 5.366571, 7.345946,900,99771
671.5881035877562,0.712182506455733,0.090843, 5.347320, 7.319470,943,100714
687.2810767859903,0.7063525969023539,0.087464, 5.303549, 7.257131,973,101687
652.7448352568256,0.6785289347784049,0.090251, 5.278352, 7.223562,962,102649
680.7327722223915,0.7158073314641341,0.096459, 5.260301, 7.197272,951,103600
647.2981722962329,0.7120991994458008,0.092041, 5.225675, 7.147830,909,104509
656.928581424854,0.6981175147979319,0.095802, 5.215412, 7.129657,941,105450
659.3338124070578,0.683956236936782,0.091661, 5.241387, 7.153359,964,106414
662.7034372972729,0.7314607475687339,0.096115, 5.292111, 7.218462,906,107320
702.6310805360097,0.7411720258818667,0.092886, 5.371072, 7.335115,948,108268
670.557915900542,0.7360679647645905,0.089441, 5.395045, 7.365164,911,109179
690.8175064947187,0.6970913284507757,0.090643, 5.393045, 7.362616,991,110170
614.1250275896286,0.6823611417662541,0.083385, 5.388843, 7.366795,900,111070
660.0563873340548,0.6992122747182784,0.083414, 5.352017, 7.321612,944,112014
616.5057886260431,0.6395288263755634,0.077333, 5.363628, 7.338275,964,112978
669.913421179637,0.6956525661263104,0.067698, 5.363595, 7.354786,963,113941
670.4180024453527,0.6897304551906921,0.072440, 5.317589, 7.295031,972,114913
688.4079969004744,0.763201770399639,0.069411, 5.351452, 7.341981,902,115815
643.635848339147,0.6965755934406352,0.078216, 5.359864, 7.351523,924,116739
614.3436156945509,0.6684914207775309,0.078553, 5.344277, 7.331947,919,117658
610.6889975909171,0.651749197002046,0.086643, 5.321017, 7.302497,937,118595
658.6097606069651,0.684625530776471,0.079382, 5.291108, 7.259773,962,119557
625.8931736963732,0.6393188699656519,0.082284, 5.282373, 7.240210,979,120536
620.0571141874652,0.6314227232051581,0.088343, 5.287121, 7.230062,982,121518
663.5462939972267,0.7006824646222035,0.085097, 5.301930, 7.245255,947,122465
602.2221346585799,0.6475506824285805,0.089732, 5.290308, 7.227484,930,123395
621.9278328840736,0.623799230575801,0.089382, 5.248365, 7.159921,997,124392
703.7722869061605,0.7037722869061604,0.083883, 5.231262, 7.140305,1000,125392
643.4037419430408,0.6881323443241079,0.082029, 5.198055, 7.092748,935,126327
635.0247405762213,0.6902442832350232,0.079264, 5.193689, 7.083208,920,127247
641.3315075213465,0.7094375083200735,0.084367, 5.168949, 7.048929,904,128151
734.3155509235442,0.7432343632829395,0.082374, 5.155900, 7.037968,988,129139
703.2148887428515,0.7227285598590457,0.087617, 5.203583, 7.102233,973,130112
641.7021136487083,0.6521362943584433,0.086182, 5.216448, 7.127129,984,131096
682.6335598882483,0.7340145805249982,0.084573, 5.232080, 7.154974,930,132026
663.0138872821262,0.7277869234710497,0.081523, 5.250427, 7.179368,911,132937
694.9200504508968,0.7338120912892258,0.088584, 5.260615, 7.189204,947,133884
686.4837146826235,0.746177950741982,0.082972, 5.258317, 7.180301,920,134804
705.5944325220008,0.7134422977977763,0.088650, 5.296329, 7.212699,989,135793
730.9657293413622,0.7420971871485911,0.089215, 5.311368, 7.241902,985,136778
640.2928566711139,0.6533600578276673,0.087308, 5.324704, 7.278488,980,137758
