total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
421.297789817089,0.44207533034322033,0.491207, 2.775950, 4.007769,953,953
477.7928574417472,0.5034698181683321,0.023120, 1.859016, 2.783370,949,1902
535.2804167970507,0.5670343398273843,0.017039, 1.908743, 2.813060,944,2846
647.9088220055753,0.6584439248024139,0.016366, 2.228847, 3.178088,984,3830
665.5355909212814,0.7289546450397386,0.018650, 2.549514, 3.580842,913,4743
686.2665829526109,0.7549687381216841,0.024238, 2.755010, 3.832839,909,5652
582.0795141014094,0.6225449348678175,0.025634, 2.948089, 4.071128,935,6587
559.2482551489409,0.5689198933356469,0.035994, 3.143550, 4.318080,983,7570
572.780203939443,0.6266741837411849,0.040877, 3.376676, 4.626692,914,8484
663.5773943716517,0.7066851910241233,0.050086, 3.539510, 4.837845,939,9423
671.0427060444166,0.7011940502031522,0.054320, 3.662590, 4.989488,957,10380
651.7933822193636,0.6985995522179674,0.066445, 3.798332, 5.168357,933,11313
694.2929600245851,0.7546662608962882,0.076334, 3.932823, 5.331673,920,12233
666.2171917437315,0.7163625717674532,0.085293, 4.101041, 5.563016,930,13163
672.4310472067348,0.7471456080074831,0.099759, 4.258613, 5.764456,900,14063
594.5223416119115,0.6205869954195319,0.115427, 4.367747, 5.911529,958,15021
724.602422731587,0.7675873122156642,0.112410, 4.490683, 6.085682,944,15965
728.3367744373813,0.8003700817993201,0.128221, 4.624718, 6.268879,910,16875
736.9266253916628,0.7708437504096891,0.124758, 4.758065, 6.444722,956,17831
699.8362811117286,0.7366697695912933,0.126464, 4.867358, 6.588786,950,18781
715.5849264120843,0.770274409485559,0.139009, 5.005498, 6.772730,929,19710
710.7067033051676,0.7229976635861318,0.118672, 5.108182, 6.923509,983,20693
718.11147285459,0.7224461497531087,0.125110, 5.199188, 7.036389,994,21687
647.4280383422405,0.7153900976157354,0.123365, 5.310021, 7.193539,905,22592
656.1381087133927,0.7017519879287623,0.117260, 5.341191, 7.235857,935,23527
662.4156932913654,0.6950846729185366,0.119026, 5.353566, 7.242193,953,24480
656.044678993826,0.7201368594882832,0.109731, 5.396559, 7.289279,911,25391
626.9481537515205,0.6669661210122558,0.113581, 5.384197, 7.274320,940,26331
682.1443899444126,0.6974891512724055,0.113050, 5.398783, 7.301435,978,27309
692.3354842155421,0.7380975311466333,0.109646, 5.396225, 7.287981,938,28247
736.5812220541942,0.7585800433101897,0.111544, 5.402748, 7.296856,971,29218
657.4978842585696,0.7092749560502368,0.101490, 5.405148, 7.303636,927,30145
634.5860841235622,0.6345860841235622,0.103339, 5.393928, 7.286576,1000,31145
703.783092429606,0.7331073879475062,0.106919, 5.311152, 7.185427,960,32105
706.6539310534883,0.727758940322851,0.106594, 5.307696, 7.196774,971,33076
724.998368731935,0.7906198132300273,0.104453, 5.335154, 7.241242,917,33993
704.0228395281479,0.7132956834125105,0.114076, 5.364171, 7.272555,987,34980
708.7564116184537,0.7508012834941247,0.104018, 5.437333, 7.376226,944,35924
751.6586879475246,0.7623313265187877,0.107159, 5.494576, 7.440437,986,36910
735.0269227910875,0.80418700524189,0.107883, 5.497862, 7.454878,914,37824
686.284437543969,0.7451513979847655,0.114823, 5.547123, 7.523182,921,38745
772.8577967435399,0.7790905209108265,0.111673, 5.526525, 7.494722,992,39737
744.7839494711565,0.7774362729344013,0.113732, 5.576436, 7.554960,958,40695
680.7610930660624,0.7513919349515037,0.114006, 5.635616, 7.641662,906,41601
721.8975018823025,0.7465330939837669,0.108180, 5.651727, 7.660038,967,42568
703.9082724511269,0.7347685516191304,0.111130, 5.663276, 7.684572,958,43526
652.8077237163952,0.6640973791621518,0.108558, 5.671882, 7.700483,983,44509
678.9256408181999,0.7253479068570512,0.108417, 5.697915, 7.723918,936,45445
617.1842950504199,0.6510382859181645,0.106733, 5.649197, 7.660731,948,46393
691.1015221058133,0.6945743940761943,0.099311, 5.624452, 7.621940,995,47388
637.7389395027625,0.6791681996834531,0.100898, 5.607517, 7.591714,939,48327
657.5947252042835,0.6922049738992457,0.100537, 5.599056, 7.580066,950,49277
629.9876362303185,0.6961189350611253,0.102799, 5.585305, 7.552672,905,50182
718.1172537640148,0.7253709633979947,0.096705, 5.546650, 7.492667,990,51172
681.7928820350746,0.737871084453544,0.098473, 5.529673, 7.477240,924,52096
653.0150860877599,0.720767203187373,0.099345, 5.506561, 7.449496,906,53002
611.3564867839082,0.6587893176550734,0.100392, 5.467442, 7.414250,928,53930
766.9980909775857,0.8133595874629752,0.095521, 5.466596, 7.413395,943,54873
690.2001614487497,0.7437501739749458,0.100434, 5.491312, 7.450611,928,55801
670.6947382792843,0.6829885318526316,0.104508, 5.502502, 7.465672,982,56783
693.8558051055785,0.7029947366824504,0.102150, 5.491695, 7.448883,987,57770
693.8672867584855,0.7468969717529446,0.108636, 5.497692, 7.475664,929,58699
690.5839348213036,0.7163733763706469,0.106690, 5.492986, 7.465092,964,59663
591.1661511451885,0.6474985226124736,0.112099, 5.500792, 7.456571,913,60576
732.7693721420686,0.7745976449704742,0.113330, 5.499551, 7.437923,946,61522
704.0661772356902,0.714063060076765,0.111944, 5.496046, 7.431584,986,62508
703.2266542117195,0.7294882305100825,0.106022, 5.520005, 7.459472,964,63472
695.9240979338642,0.7130369855879757,0.110633, 5.544126, 7.489568,976,64448
690.4889820944638,0.7337821276242974,0.104422, 5.524898, 7.459919,941,65389
