total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
250.19190643947408,0.2625308567045898,14.529793, 9.268998, 16.006275,953,953
453.34964202503386,0.4777130052950831,0.058442, 3.046980, 5.344213,949,1902
541.013258259799,0.5731072651057193,0.032224, 2.282744, 3.626950,944,2846
582.3382128459441,0.5918071268759595,0.016194, 1.899889, 2.822965,984,3830
602.0361397738901,0.6594043151959366,0.009599, 1.683833, 2.522038,913,4743
664.5568375269559,0.7310856298426357,0.007373, 1.581042, 2.389525,909,5652
653.7852954288167,0.6992356100842959,0.007186, 1.559031, 2.351403,935,6587
602.6313677015796,0.6130532733485042,0.007732, 1.564622, 2.341315,983,7570
598.8990057809032,0.6552505533707912,0.006745, 1.573358, 2.332561,914,8484
647.377742196307,0.6894331652782822,0.006941, 1.582309, 2.323460,939,9423
622.7222625651385,0.650702468720103,0.006578, 1.577595, 2.314425,957,10380
599.8815166174145,0.6429598248846886,0.005867, 1.499596, 2.212687,933,11313
657.6438000120419,0.7148302174043933,0.005773, 1.492545, 2.201023,920,12233
607.2851906060885,0.6529948286086973,0.005354, 1.492646, 2.203758,930,13163
625.9620363244927,0.6955133736938808,0.005534, 1.473741, 2.185588,900,14063
532.0761873647496,0.5554031183348116,0.005998, 1.451945, 2.140013,958,15021
636.9109429377706,0.6746937954849265,0.006785, 1.436073, 2.095212,944,15965
665.68050620701,0.731517039787923,0.006889, 1.427072, 2.065342,910,16875
617.9235185590384,0.6463635131370694,0.007595, 1.417553, 2.035362,956,17831
635.3469716630282,0.6687862859610822,0.008162, 1.403784, 2.003839,950,18781
663.9088575906849,0.7146489317445478,0.008677, 1.392329, 1.987143,929,19710
602.2801741117039,0.6126960062173997,0.007955, 1.377960, 1.959355,983,20693
611.711812568866,0.6154042379968471,0.008123, 1.367816, 1.936544,994,21687
607.2128882233421,0.6709534676501018,0.007996, 1.354335, 1.913466,905,22592
602.4993918785133,0.6443843763406559,0.007078, 1.350686, 1.901709,935,23527
603.7034634430879,0.6334768766454227,0.007855, 1.338175, 1.887844,953,24480
566.094041700843,0.6213985090020231,0.007743, 1.331191, 1.889086,911,25391
589.721082224268,0.6273628534300724,0.008021, 1.316207, 1.865608,940,26331
608.4501189809744,0.6221371359723664,0.007994, 1.295681, 1.846851,978,27309
631.2599527034738,0.6729850242041299,0.008002, 1.293229, 1.847410,938,28247
706.1003662753245,0.7271888427140314,0.007973, 1.289847, 1.840163,971,29218
617.4492099808704,0.6660725026762355,0.007890, 1.293107, 1.847986,927,30145
630.4880987042202,0.6304880987042202,0.007924, 1.292130, 1.843985,1000,31145
633.8637451834298,0.6602747345660728,0.008025, 1.287927, 1.840761,960,32105
572.3000428105545,0.5893924230798707,0.007912, 1.281154, 1.831171,971,33076
588.0356927608968,0.6412602974491787,0.007978, 1.282025, 1.830200,917,33993
561.2124271605178,0.568604282837404,0.007860, 1.287976, 1.824635,987,34980
581.9077655842195,0.6164277177798936,0.007669, 1.291430, 1.826379,944,35924
683.6325116773061,0.6933392613360102,0.007693, 1.294973, 1.826541,986,36910
615.6546377590214,0.6735827546597608,0.007228, 1.300662, 1.832147,914,37824
608.9136281851772,0.6611440045441663,0.007184, 1.304270, 1.837776,921,38745
600.9184855822668,0.6057646024014787,0.007338, 1.291041, 1.822483,992,39737
634.84309587707,0.6626754654249165,0.007919, 1.284112, 1.814940,958,40695
645.8032838050918,0.7128071565177614,0.007705, 1.290665, 1.826350,906,41601
601.6733239265814,0.6222061260874678,0.007490, 1.287259, 1.827584,967,42568
629.9617617371516,0.657580127074271,0.007944, 1.293586, 1.835698,958,43526
575.2298154801905,0.5851778387387492,0.007256, 1.292071, 1.832172,983,44509
605.7852936398581,0.6472065102989937,0.008457, 1.283151, 1.817658,936,45445
577.7595945157562,0.6094510490672534,0.008440, 1.297305, 1.828448,948,46393
617.5685414297784,0.6206719009344507,0.008531, 1.279347, 1.802106,995,47388
613.9178170963748,0.6537995922219114,0.008373, 1.275803, 1.796951,939,48327
594.4467492888716,0.6257334203040754,0.008813, 1.270965, 1.789660,950,49277
596.1664370999075,0.6587474443092901,0.008534, 1.273054, 1.791290,905,50182
640.7162155408776,0.6471880965059369,0.008386, 1.267958, 1.784429,990,51172
643.0546728413882,0.695946615629208,0.008728, 1.265023, 1.779316,924,52096
590.821902417002,0.6521213050960287,0.007913, 1.275290, 1.788148,906,53002
529.0216177378112,0.5700663984243655,0.008224, 1.268018, 1.780022,928,53930
741.1428411841207,0.7859415070881449,0.007880, 1.285700, 1.804737,943,54873
637.37947028971,0.6868313257432219,0.007797, 1.302550, 1.827324,928,55801
571.9986526267578,0.5824833529804051,0.007437, 1.316537, 1.844803,982,56783
628.6551772287527,0.6369353366046127,0.007109, 1.311383, 1.840448,987,57770
659.5815584148871,0.709990913256068,0.007145, 1.317571, 1.848340,929,58699
