total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
371.86087273395594,0.3902002861846337,0.095595, 4.282338, 3.671785,953,953
484.0159711290047,0.5100273668377289,0.066295, 3.052775, 3.044177,949,1902
533.4042771913137,0.5650469038043577,0.029087, 2.058732, 2.387719,944,2846
583.6761736623899,0.5931668431528353,0.024204, 1.818037, 2.287784,984,3830
600.2912093901314,0.6574931099563323,0.026809, 1.604927, 2.323570,913,4743
629.1868837231218,0.6921747895743914,0.017465, 1.629156, 2.400089,909,5652
616.6200271947124,0.6594866601012966,0.014565, 1.713594, 2.543599,935,6587
581.9890364413161,0.5920539536534243,0.012834, 1.771655, 2.632886,983,7570
585.5970588680764,0.6406970009497553,0.013953, 1.814556, 2.695677,914,8484
624.1944735811867,0.6647438483292722,0.012423, 1.840663, 2.743836,939,9423
615.4654647282051,0.643119607866463,0.013947, 1.853637, 2.775057,957,10380
592.5418849978166,0.6350931243277778,0.010907, 1.837819, 2.747871,933,11313
652.5253708548798,0.7092667074509563,0.010116, 1.873955, 2.752056,920,12233
636.8688932696818,0.6848052615803031,0.010516, 1.910960, 2.767614,930,13163
609.860203343782,0.6776224481597578,0.011664, 1.929582, 2.771914,900,14063
512.7921562315894,0.5352736495110536,0.011211, 1.941641, 2.765814,958,15021
631.3313217878714,0.6687831798600332,0.011692, 1.931490, 2.747708,944,15965
661.4510884477321,0.7268693279645407,0.011014, 1.930008, 2.730724,910,16875
637.9675270679902,0.6673300492342994,0.011436, 1.937127, 2.727066,956,17831
646.4100081037216,0.6804315874776017,0.011890, 1.933084, 2.715782,950,18781
682.6988826597378,0.734875008245143,0.011175, 1.930453, 2.712385,929,19710
617.8392103807887,0.6285241204280658,0.012364, 1.936111, 2.712379,983,20693
635.4290224532162,0.6392646101138997,0.012628, 1.935604, 2.700204,994,21687
632.8914489992623,0.699327567954986,0.013798, 1.916597, 2.679232,905,22592
621.7490676792331,0.6649722648975755,0.013531, 1.905193, 2.656798,935,23527
606.9593612387268,0.6368933486240576,0.015720, 1.885505, 2.626899,953,24480
543.7598194379418,0.596882348449991,0.016057, 1.879061, 2.617630,911,25391
584.5752714706821,0.6218885866709384,0.015800, 1.862006, 2.590021,940,26331
615.7038112623269,0.6295539992457331,0.016083, 1.841620, 2.562004,978,27309
621.2177475968883,0.6622790486107551,0.015629, 1.831704, 2.552192,938,28247
707.2980232610471,0.7284222690639002,0.015320, 1.820017, 2.538959,971,29218
613.6450675566857,0.6619687891657883,0.014668, 1.802432, 2.515610,927,30145
628.6945298320466,0.6286945298320465,0.016188, 1.786009, 2.495237,1000,31145
646.2315225738753,0.6731578360144534,0.016379, 1.768135, 2.472909,960,32105
581.3591725555914,0.5987221138574577,0.016468, 1.754226, 2.447878,971,33076
588.7274103969507,0.6420146242060532,0.016489, 1.735629, 2.422858,917,33993
567.7679739727793,0.5752461742378716,0.017589, 1.723523, 2.400186,987,34980
582.1860495717733,0.6167225101395903,0.015671, 1.722532, 2.402636,944,35924
684.2746743495117,0.6939905419366243,0.015028, 1.719724, 2.392544,986,36910
616.5597612672935,0.6745730429620279,0.015380, 1.745061, 2.420004,914,37824
607.30022328838,0.6593922076963953,0.014857, 1.740476, 2.411093,921,38745
610.5478882034955,0.6154716614954592,0.015014, 1.727561, 2.392107,992,39737
649.2848940067422,0.6777504112805243,0.015468, 1.716349, 2.378464,958,40695
640.1124755438669,0.7065259111963211,0.015547, 1.726997, 2.387919,906,41601
590.8116332295651,0.6109737675590126,0.014920, 1.725872, 2.385049,967,42568
631.3476903974704,0.6590268166988209,0.014497, 1.726618, 2.391297,958,43526
572.6028873387655,0.5825054805073911,0.014466, 1.723752, 2.387374,983,44509
606.5612143277172,0.6480354853928602,0.014074, 1.720566, 2.384676,936,45445
582.530715498215,0.6144838771078218,0.014613, 1.723225, 2.389259,948,46393
629.4826650685238,0.63264589454123,0.014820, 1.706692, 2.370659,995,47388
624.2948360141883,0.6648507305795402,0.015247, 1.691874, 2.352629,939,48327
603.6804747363557,0.635453131301427,0.015374, 1.699887, 2.361755,950,49277
593.3399784304503,0.6556242855585086,0.016265, 1.697096, 2.357998,905,50182
645.3457797510741,0.651864423990984,0.014901, 1.702705, 2.359132,990,51172
652.6580141286001,0.7063398421305196,0.015126, 1.702964, 2.357857,924,52096
600.6647993599755,0.6629854297571474,0.013890, 1.720464, 2.379391,906,53002
533.3959359206517,0.5747801033627712,0.013293, 1.715667, 2.371240,928,53930
748.2134208968639,0.7934394707283816,0.012986, 1.739682, 2.403651,943,54873
637.608749870838,0.6870783942573685,0.013270, 1.764883, 2.438738,928,55801
578.0190036058318,0.5886140566250833,0.013028, 1.763655, 2.436964,982,56783
635.3217749190537,0.6436897415593249,0.013344, 1.764530, 2.441331,987,57770
665.0790616816704,0.715908570163262,0.012575, 1.778588, 2.456140,929,58699
613.6218900689958,0.6365372303620288,0.013010, 1.780524, 2.462429,964,59663
532.4175430504083,0.583151744852583,0.012705, 1.785118, 2.469207,913,60576
652.1175889941617,0.6893420602475282,0.012703, 1.781399, 2.465629,946,61522
611.3079522641069,0.6199877812009198,0.012699, 1.782003, 2.468047,986,62508
605.6934580894956,0.6283127158604727,0.012668, 1.777122, 2.462682,964,63472
617.7623387196309,0.6329532159012611,0.012202, 1.787569, 2.481757,976,64448
647.515917899093,0.6881146842710871,0.011588, 1.770101, 2.457565,941,65389
654.1945135722344,0.7228668658256734,0.012018, 1.777207, 2.470556,905,66294
620.6243830444946,0.6438012272245794,0.011043, 1.799540, 2.499479,964,67258
590.3907076123887,0.5975614449518104,0.010583, 1.799570, 2.504924,988,68246
569.5402927285473,0.5932711382589034,0.010913, 1.784677, 2.484585,960,69206
596.1467498159309,0.6389568593954243,0.010386, 1.770676, 2.470909,933,70139
572.1845463030763,0.5739062650983714,0.011170, 1.775386, 2.477157,997,71136
628.2265018721197,0.6345722241132522,0.010726, 1.761078, 2.459103,990,72126
598.9147326264545,0.6291121141034185,0.010767, 1.751003, 2.451831,952,73078
621.73178085929,0.6678107205792588,0.010899, 1.742859, 2.445040,931,74009
615.7746588716211,0.6607024236819969,0.010696, 1.752227, 2.458141,932,74941
652.2315027675579,0.6794078153828729,0.010896, 1.748258, 2.455230,960,75901
627.7686169062279,0.677935871389015,0.011148, 1.740864, 2.449431,926,76827
662.9672168274212,0.6870126599247889,0.011089, 1.749306, 2.458274,965,77792
633.0079177339971,0.6580123884968785,0.011929, 1.756182, 2.464081,962,78754
575.0710588162937,0.6163676943368636,0.010626, 1.764988, 2.470099,933,79687
539.1241515145248,0.5418333181050501,0.011654, 1.759579, 2.456151,995,80682
529.9393640340934,0.5667800684856614,0.012065, 1.766469, 2.458063,935,81617
560.4373733898083,0.6058782415024955,0.013421, 1.753843, 2.445211,925,82542
565.2759102791447,0.568116492742859,0.012849, 1.734644, 2.431176,995,83537
594.4514461056064,0.6053477047918598,0.012110, 1.719909, 2.412727,982,84519
543.007315385772,0.6006718090550576,0.012224, 1.703514, 2.396452,904,85423
639.2975713350748,0.6590696611701803,0.012655, 1.686966, 2.377652,970,86393
612.9566966741716,0.6583852810678534,0.011739, 1.673545, 2.369734,931,87324
609.4290450502903,0.6756419568185036,0.011081, 1.663741, 2.356805,902,88226
683.5020802965873,0.7179643700594405,0.011856, 1.669838, 2.369831,952,89178
602.818882996175,0.6126208160530234,0.011060, 1.681091, 2.391236,984,90162
613.4850198574293,0.6311574278368614,0.010031, 1.699942, 2.411368,972,91134
645.9665693904305,0.6578070971389313,0.009967, 1.722005, 2.437533,982,92116
645.5996264690959,0.653440917478842,0.010069, 1.734062, 2.448319,988,93104
647.79488908908,0.6630449223020266,0.009555, 1.750393, 2.463740,977,94081
589.1734261282427,0.6510203603626991,0.009715, 1.764736, 2.480233,905,94986
603.5700696580926,0.6096667370283764,0.009264, 1.768613, 2.485738,990,95976
576.1016834534028,0.596996563164148,0.009122, 1.756575, 2.464713,965,96941
546.8674690254902,0.5474148839093996,0.009833, 1.749916, 2.453471,999,97940
517.9688843725177,0.55635755571699,0.009648, 1.723711, 2.422229,931,98871
579.6512276132066,0.6440569195702296,0.009372, 1.707544, 2.404978,900,99771
592.6899171282053,0.6285152885770999,0.011262, 1.709820, 2.399857,943,100714
635.3862486101716,0.6530177272458084,0.011312, 1.711638, 2.396185,973,101687
607.791439980155,0.6317998336592048,0.010887, 1.708075, 2.392220,962,102649
609.4015030997609,0.6408007393267728,0.011429, 1.705540, 2.385521,951,103600
608.304977281799,0.6692023952495039,0.012683, 1.713135, 2.384588,909,104509
596.082792375532,0.6334567400377599,0.012423, 1.708714, 2.375623,941,105450
628.5140435933582,0.6519855223997492,0.012373, 1.707322, 2.372204,964,106414
608.2003250167787,0.671302786994237,0.011913, 1.716358, 2.384419,906,107320
638.1693476822763,0.6731744173863674,0.012030, 1.727528, 2.405729,948,108268
618.8145026626567,0.6792694870062093,0.011143, 1.744434, 2.426203,911,109179
632.4871127287759,0.6382311934700059,0.012272, 1.743054, 2.419475,991,110170
579.4450208378545,0.6438278009309494,0.011673, 1.741061, 2.416236,900,111070
601.572225702563,0.6372587136679693,0.011669, 1.742903, 2.413957,944,112014
586.7160464860581,0.6086266042386494,0.011079, 1.739723, 2.405019,964,112978
599.9129465686369,0.6229625613381484,0.011728, 1.732700, 2.397224,963,113941
603.2596888472849,0.6206375399663425,0.011914, 1.721749, 2.378801,972,114913
649.2059505114637,0.7197405216313345,0.012083, 1.732447, 2.394484,902,115815
619.8821354658407,0.6708681119760181,0.012135, 1.739280, 2.411197,924,116739
552.5043807150885,0.6012017200381812,0.012224, 1.730815, 2.401486,919,117658
544.3611423079587,0.5809617313852281,0.012976, 1.717450, 2.382791,937,118595
596.4982901929607,0.6200605927161753,0.012466, 1.703461, 2.363051,962,119557
602.2198836751659,0.6151377769919978,0.012828, 1.697560, 2.356821,979,120536
572.0608184299056,0.5825466582789263,0.013056, 1.687852, 2.345911,982,121518
608.1717309228651,0.642208797173036,0.012286, 1.681902, 2.339181,947,122465
557.9215321592217,0.5999156259776577,0.012617, 1.672319, 2.333991,930,123395
597.6201566217353,0.5994184118573073,0.013113, 1.668281, 2.330627,997,124392
627.2715339698508,0.6272715339698508,0.013150, 1.667272, 2.329682,1000,125392
641.6196541679744,0.6862242290566571,0.011460, 1.657650, 2.318471,935,126327
648.3218884190928,0.7046977048033618,0.012130, 1.667075, 2.335294,920,127247
615.5002281970803,0.6808630842888057,0.012661, 1.676572, 2.347805,904,128151
623.3708825191507,0.6309421887845654,0.012675, 1.691195, 2.359214,988,129139
624.667523038419,0.642001565301561,0.012634, 1.709387, 2.382531,973,130112
516.5965169989224,0.5249964603647586,0.013042, 1.705959, 2.377657,984,131096
598.805648971414,0.6438770419047463,0.011725, 1.713822, 2.386896,930,132026
580.726635998187,0.6374606322702382,0.011891, 1.726703, 2.399494,911,132937
599.0822439117743,0.6326106060314407,0.012785, 1.723659, 2.397777,947,133884
595.1076670664395,0.6468561598548256,0.011018, 1.734580, 2.409111,920,134804
630.880554412249,0.6378974260993417,0.011102, 1.736893, 2.408956,989,135793
643.4110497568136,0.653209187570369,0.011858, 1.733363, 2.403539,985,136778
669.1084165846643,0.6827636903925146,0.012076, 1.724962, 2.386127,980,137758
587.796143317529,0.618082169629368,0.010911, 1.722806, 2.386395,951,138709
610.0092224024779,0.6725570258020704,0.011359, 1.721849, 2.389011,907,139616
606.8783946029304,0.629541903115073,0.011245, 1.723680, 2.387806,964,140580
647.3546046864412,0.6843071931146313,0.011769, 1.757679, 2.422816,946,141526
572.8497291880674,0.5917869103182515,0.011474, 1.761011, 2.428514,968,142494
647.6329226961891,0.7031844980414648,0.011037, 1.756993, 2.425234,921,143415
653.2101994201091,0.6861451674580978,0.010731, 1.770425, 2.445112,952,144367
618.6457463844552,0.6505212895735596,0.011862, 1.769105, 2.447113,951,145318
647.0524703481994,0.6868922190532902,0.011384, 1.770232, 2.451982,942,146260
673.6079163316692,0.6817893889996652,0.011237, 1.782604, 2.465689,988,147248
628.466218311436,0.6750442731594372,0.011973, 1.774534, 2.455511,931,148179
599.4201486938529,0.6343070356548708,0.012280, 1.773206, 2.456138,945,149124
538.8483931858116,0.5908425363879513,0.011471, 1.765688, 2.447211,912,150036
585.5106784403387,0.5980701516244522,0.011405, 1.759123, 2.439247,979,151015
551.608130724559,0.5532679345281435,0.011963, 1.745238, 2.420139,997,152012
591.3757972253762,0.5991649414644136,0.011877, 1.740982, 2.417359,987,152999
679.7926843822053,0.7286095223817849,0.011691, 1.744695, 2.418138,933,153932
601.792133410689,0.6627666667518601,0.011828, 1.739637, 2.415983,908,154840
602.5938328667809,0.6050138884204628,0.010829, 1.735648, 2.411794,996,155836
613.8430928824463,0.6738123961387994,0.011123, 1.716347, 2.385180,911,156747
612.1861007799664,0.6370302817689557,0.011425, 1.728668, 2.398227,961,157708
563.5598627164502,0.6199778467727725,0.010955, 1.726892, 2.389152,909,158617
636.0184240569927,0.688331627767308,0.011048, 1.722247, 2.387529,924,159541
583.2390500596975,0.6075406771455183,0.010573, 1.730278, 2.406071,960,160501
629.2153869358292,0.6854198114769381,0.011964, 1.749416, 2.431890,918,161419
579.4979495763575,0.6087163335886109,0.010897, 1.757032, 2.445598,952,162371
