total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
263.87772131871327,0.2768916278265617,6.936297, 16.116816, 20.677338,953,953
428.001546078611,0.4510026829068609,1.015374, 8.396940, 12.673122,949,1902
535.7542047274267,0.5675362338214266,0.382422, 4.730193, 7.852638,944,2846
517.6593799734595,0.5260766056640849,0.243790, 3.403061, 5.907862,984,3830
580.8933665470357,0.6362468417820764,0.068523, 3.646044, 5.860808,913,4743
715.076236908008,0.786662526851494,0.043557, 3.785671, 5.951704,909,5652
642.4438997717655,0.6871057751569685,0.038889, 4.077781, 6.311731,935,6587
439.67770464274,0.4472814899722686,0.041009, 4.441917, 6.740310,983,7570
589.6255463896824,0.6451045365313812,0.063001, 4.792162, 7.216762,914,8484
639.7887654664049,0.6813511879301437,0.071102, 5.004175, 7.322606,939,9423
662.0153027052963,0.6917610268602887,0.086658, 5.255834, 7.676357,957,10380
597.5449746303639,0.6404554926370459,0.074373, 4.466083, 6.312312,933,11313
644.4861571861896,0.7005284317241192,0.065135, 3.835352, 5.251342,920,12233
675.6341689884296,0.7264883537509995,0.076173, 3.758781, 5.090478,930,13163
667.8917231750632,0.7421019146389591,0.088768, 3.935802, 5.318780,900,14063
592.2281653893485,0.618192239446084,0.093968, 4.122640, 5.576100,958,15021
693.3468492156937,0.7344775945081502,0.107196, 4.241692, 5.735464,944,15965
692.8664228297955,0.7613916734393358,0.111271, 4.310980, 5.837584,910,16875
557.1178004216916,0.5827592054620205,0.116399, 4.457308, 6.040283,956,17831
547.7634127385642,0.5765930660405939,0.116739, 4.567428, 6.192764,950,18781
623.9287255935744,0.6716132675926527,0.120644, 4.603817, 6.248124,929,19710
621.958895700496,0.6327150515773102,0.110275, 4.702034, 6.378212,983,20693
612.5504440674672,0.6162479316574117,0.107364, 4.800574, 6.510619,994,21687
653.7731791956264,0.7224013029785927,0.118015, 4.895104, 6.622572,905,22592
660.3590050415016,0.7062663155524082,0.115693, 4.960021, 6.715434,935,23527
643.6818489842187,0.675426913939369,0.125123, 5.014304, 6.770830,953,24480
536.0258099162223,0.5883927660990366,0.126345, 5.044502, 6.818920,911,25391
567.9458146697183,0.6041976751805513,0.121765, 5.014417, 6.779871,940,26331
611.6588468397191,0.6254180438033937,0.123944, 4.955182, 6.710529,978,27309
711.2195607935635,0.7582298089483619,0.114640, 5.047208, 6.824659,938,28247
677.8878792691767,0.6981337582586783,0.114691, 5.146225, 6.952297,971,29218
689.7499139298058,0.744066789568291,0.108599, 5.139768, 6.960929,927,30145
747.7804737609493,0.7477804737609494,0.113422, 5.212772, 7.057937,1000,31145
750.967388993552,0.7822576968682834,0.106521, 5.258509, 7.127136,960,32105
700.2017651189185,0.7211140732429645,0.106694, 5.269543, 7.144469,971,33076
693.450141891109,0.7562160762171308,0.100272, 5.328772, 7.224304,917,33993
711.8520057849458,0.7212279693869765,0.104733, 5.362922, 7.265279,987,34980
681.960415426158,0.7224156943073707,0.095891, 5.458964, 7.399732,944,35924
771.7995891314813,0.7827582039873036,0.088600, 5.555229, 7.531841,986,36910
695.6096396717576,0.7610608749143956,0.087963, 5.640416, 7.647225,914,37824
677.9735500518832,0.736127633063934,0.088675, 5.661270, 7.680151,921,38745
705.3301034557371,0.711018249451348,0.091238, 5.661026, 7.661798,992,39737
674.4155503804559,0.7039828292071565,0.090272, 5.663210, 7.661570,958,40695
622.2524773562052,0.6868128889141337,0.098658, 5.630123, 7.617200,906,41601
695.7111266880916,0.7194530782710358,0.095309, 5.633656, 7.626449,967,42568
704.1101645793867,0.7349792949680446,0.097467, 5.603024, 7.576417,958,43526
633.0198355221131,0.643967279269698,0.090690, 5.591893, 7.564185,983,44509
667.4810277560643,0.7131207561496414,0.097416, 5.597277, 7.566282,936,45445
674.6441377763576,0.7116499343632464,0.092402, 5.538128, 7.486393,948,46393
684.9799064476263,0.6884220165302777,0.096279, 5.520631, 7.469204,995,47388
667.0914059758807,0.7104274824024288,0.101218, 5.510650, 7.455417,939,48327
633.6112730573094,0.6669592347971678,0.097127, 5.501505, 7.449036,950,49277
634.9589193068573,0.701612065532439,0.097680, 5.485101, 7.418664,905,50182
565.0868431467612,0.5707947910573345,0.100079, 5.472733, 7.403668,990,51172
702.4516765396654,0.7602290871641401,0.109568, 5.464522, 7.396989,924,52096
624.7842238915384,0.6896073111385634,0.097292, 5.440736, 7.358054,906,53002
652.5243672916135,0.7031512578573422,0.094353, 5.386453, 7.290445,928,53930
814.0710275904498,0.8632778659495757,0.095951, 5.431676, 7.349803,943,54873
727.1308983817764,0.7835462267045005,0.095060, 5.452845, 7.385676,928,55801
715.5343577251256,0.7286500587832236,0.101818, 5.458361, 7.395355,982,56783
704.2870325759795,0.7135633562066662,0.109372, 5.515126, 7.476858,987,57770
660.4208622627417,0.710894361962047,0.106686, 5.514490, 7.472026,929,58699
607.4573656208981,0.6301424954573632,0.110442, 5.523394, 7.466156,964,59663
596.4839391238471,0.6533230439472586,0.117380, 5.474636, 7.398762,913,60576
675.699820426076,0.7142704232833784,0.123401, 5.487124, 7.405546,946,61522
486.2218074357901,0.4931255653506999,0.125377, 5.448776, 7.367865,986,62508
609.5690354807195,0.6323330243575929,0.116043, 5.433515, 7.370138,964,63472
700.9097103137852,0.7181451949936324,0.117814, 5.446659, 7.396398,976,64448
692.6202226717894,0.7360469954004139,0.120949, 5.386235, 7.322555,941,65389
700.6133777362804,0.774158428437879,0.111863, 5.350090, 7.274699,905,66294
691.5548630735316,0.7173805633542859,0.106895, 5.357674, 7.287956,964,67258
737.2139251819931,0.7461679404676044,0.101100, 5.372458, 7.304707,988,68246
720.6860731245439,0.7507146595047333,0.106018, 5.406714, 7.341408,960,69206
690.3799203728607,0.7399570422002795,0.102311, 5.474909, 7.447005,933,70139
718.6421268367219,0.7208045404580962,0.109690, 5.506584, 7.485038,997,71136
720.3563613950394,0.7276326882778176,0.107334, 5.520190, 7.504020,990,72126
693.9585941019216,0.728948103048237,0.106267, 5.586580, 7.579885,952,73078
684.9682946770381,0.7357339362803846,0.102260, 5.614892, 7.616709,931,74009
712.6695065006006,0.7646668524684556,0.101594, 5.633449, 7.648843,932,74941
667.6701757370242,0.6954897663927336,0.105764, 5.647558, 7.679466,960,75901
698.2062247354045,0.7540024025220351,0.102388, 5.653868, 7.678557,926,76827
693.7023040351423,0.7188624912281267,0.103521, 5.650984, 7.674613,965,77792
673.8903726422523,0.7005097428713641,0.107745, 5.626778, 7.646799,962,78754
661.1379669892768,0.7086151843400609,0.099018, 5.600471, 7.607354,933,79687
454.935238812404,0.4572213455401045,0.097734, 5.571228, 7.556732,995,80682
435.8570699203335,0.46615729403244227,0.091718, 5.584427, 7.593401,935,81617
616.4844989623539,0.6664697286079502,0.089712, 5.549053, 7.551588,925,82542
587.9647385677097,0.5909193352439294,0.086922, 5.473413, 7.449990,995,83537
678.0240862306774,0.6904522263041522,0.097228, 5.424644, 7.377766,982,84519
623.0989641145874,0.6892687656134816,0.089381, 5.372392, 7.307936,904,85423
740.4345635241799,0.7633346015713195,0.092356, 5.299355, 7.212021,970,86393
663.9607516332703,0.7131694432151131,0.088412, 5.251655, 7.159070,931,87324
683.4447080585069,0.7576992328808281,0.085682, 5.237778, 7.161376,902,88226
690.2563352661238,0.7250591756997098,0.076993, 5.230165, 7.150505,952,89178
621.2281485544952,0.6313294192626984,0.083544, 5.224096, 7.144557,984,90162
633.2440750351635,0.6514856739044892,0.084125, 5.265268, 7.186071,972,91134
651.6212313767667,0.6635654087339783,0.086226, 5.329752, 7.265325,982,92116
696.3368377858426,0.7047943702285856,0.079469, 5.352826, 7.287384,988,93104
677.6220761169398,0.6935742846642168,0.077305, 5.364659, 7.301798,977,94081
631.5364619383575,0.697830344683268,0.070236, 5.346416, 7.270671,905,94986
664.8150024591204,0.671530305514263,0.077084, 5.367949, 7.295106,990,95976
431.70842695994673,0.44736624555434895,0.078090, 5.363520, 7.284809,965,96941
656.9901124825058,0.6576477602427485,0.074609, 5.290882, 7.184373,999,97940
401.45317853600994,0.4312064216283673,0.077125, 5.225889, 7.093098,931,98871
628.0293831911512,0.6978104257679457,0.077383, 5.149727, 7.001491,900,99771
460.8458423985319,0.48870184771848557,0.093945, 5.123543, 6.951811,943,100714
629.6115559486717,0.6470827913141539,0.087266, 5.136327, 6.962295,973,101687
621.136028294703,0.6456715470838909,0.082898, 5.080017, 6.879148,962,102649
634.8495289231997,0.6675599673219765,0.090799, 5.034280, 6.822708,951,103600
665.7336002504237,0.7323801982952957,0.087736, 4.977002, 6.759273,909,104509
608.8603124318622,0.6470354010965592,0.084335, 4.948492, 6.725044,941,105450
597.8520158914332,0.6201784397214037,0.076024, 4.955538, 6.737906,964,106414
638.5249715020344,0.7047736992296185,0.081556, 4.960748, 6.741086,906,107320
697.9923072720316,0.7362788051392738,0.087339, 4.995721, 6.790328,948,108268
652.8300944397508,0.7166082266078494,0.090093, 5.079576, 6.899236,911,109179
683.3495373301057,0.689555537164587,0.093869, 5.125977, 6.968152,991,110170
605.4391445527035,0.672710160614115,0.082468, 5.158993, 7.011724,900,111070
625.962506437572,0.6630958754635297,0.079761, 5.205680, 7.074573,944,112014
607.8715473857986,0.6305721445910775,0.074191, 5.212751, 7.078041,964,112978
631.686639067594,0.6559570499144278,0.072624, 5.196616, 7.052141,963,113941
641.1734947407908,0.6596435131078094,0.069303, 5.196390, 7.047977,972,114913
668.9418265615018,0.7416206502899133,0.076458, 5.207626, 7.063160,902,115815
610.7498433419299,0.6609846789414826,0.082973, 5.227038, 7.094955,924,116739
570.1960596935528,0.6204527308961402,0.085753, 5.231943, 7.097461,919,117658
