total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
212.98427720322286,0.1689010921516438,0.079877, 3.939651, 4.958697,1261,1261
370.29542061247025,0.26852459797858613,0.035800, 3.061439, 4.391373,1379,2640
360.759395212022,0.2800926981459798,0.036249, 2.686965, 3.849517,1288,3928
294.2604562098571,0.22141494071471568,0.034900, 2.332713, 3.362931,1329,5257
237.17487272454528,0.1864582332740136,0.033360, 2.093917, 3.041352,1272,6529
252.0078397507558,0.18764545029840343,0.034536, 1.863469, 2.696020,1343,7872
319.0440257099202,0.22952807605030232,0.033198, 1.658381, 2.380594,1390,9262
312.36151037299885,0.2263489205601441,0.030283, 1.503155, 2.155522,1380,10642
415.90921712527665,0.3332605906452537,0.027032, 1.409470, 2.024754,1248,11890
338.7673634565174,0.2654916641508757,0.028476, 1.373248, 1.978213,1276,13166
356.6175886668198,0.2653404677580505,0.027012, 1.317908, 1.907225,1344,14510
417.5270833192593,0.3129888180804043,0.033914, 1.300745, 1.888122,1334,15844
420.72439660778,0.3488593670047927,0.035281, 1.277829, 1.868571,1206,17050
450.3345555741612,0.3482865859042237,0.040845, 1.272340, 1.877739,1293,18343
357.89200044544214,0.2815830058579403,0.042522, 1.311324, 1.899725,1271,19614
361.54822070276424,0.2678134968168624,0.044857, 1.200877, 1.745934,1350,20964
524.8405797501571,0.4168709926530239,0.042232, 1.115517, 1.668426,1259,22223
500.99435462981387,0.39079122826038526,0.043663, 1.087087, 1.633534,1282,23505
510.1838750106525,0.4185265586633737,0.044023, 1.093625, 1.659717,1219,24724
412.19160742826193,0.32303417510051874,0.049726, 1.173841, 1.760051,1276,26000
323.6223465678246,0.2542202251121953,0.048422, 1.151538, 1.775219,1273,27273
212.38211624809566,0.1641283742257308,0.036378, 0.995909, 1.551871,1294,28567
247.07322416922287,0.1780066456550597,0.023621, 0.815819, 1.271180,1388,29955
295.0723192399114,0.23289054399361594,0.016930, 0.651387, 1.006811,1267,31222
334.436723184562,0.2564698797427623,0.013385, 0.691677, 1.059367,1304,32526
