total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
123.01954967456058,0.09755713693462377,1.591560, 11.785123, 14.074962,1261,1261
156.52171128855514,0.11350377903448523,0.029820, 1.419556, 2.016054,1379,2640
296.44616830921245,0.23016006856305316,0.029621, 1.199048, 1.766124,1288,3928
400.7229089936409,0.3015221286633867,0.041326, 1.149511, 1.699336,1329,5257
304.9134923420821,0.2397118650488067,0.036649, 1.158464, 1.766890,1272,6529
239.47226322416995,0.1783114394818838,0.037850, 1.048130, 1.573688,1343,7872
270.75782690963376,0.19478980353211062,0.039661, 0.932707, 1.403023,1390,9262
378.0931074748193,0.27398051266291257,0.035652, 0.966484, 1.443557,1380,10642
310.39763278997594,0.24871605191504484,0.035626, 0.927708, 1.352425,1248,11890
445.95482625136395,0.3494943779399404,0.040842, 1.036875, 1.494386,1276,13166
449.2563890568398,0.33426814661967247,0.045185, 1.209938, 1.720055,1344,14510
331.14861385996045,0.24823734172410827,0.050933, 1.267097, 1.794064,1334,15844
557.0320101043505,0.4618839221429109,0.055925, 1.270751, 1.803536,1206,17050
487.0343410845146,0.37667002404061456,0.058410, 1.399904, 1.955606,1293,18343
432.081200480293,0.3399537375926774,0.060370, 1.398572, 1.946758,1271,19614
447.3441227970648,0.3313660168867147,0.056615, 1.462884, 2.032273,1350,20964
444.3623251938028,0.35294863001890614,0.058965, 1.415313, 1.957578,1259,22223
421.62303523024775,0.32887912264449903,0.050857, 1.340855, 1.882604,1282,23505
399.515147498012,0.32774007177851683,0.058155, 1.341838, 1.899454,1219,24724
432.3182164482492,0.3388073796616373,0.057253, 1.316606, 1.864844,1276,26000
348.99883797074943,0.27415462527160206,0.056739, 1.307631, 1.840762,1273,27273
274.3378152553738,0.21200758520508023,0.056431, 1.354085, 1.924208,1294,28567
508.66733044554667,0.3664750219348319,0.060955, 1.253294, 1.767496,1388,29955
499.1008817471121,0.3939233478667025,0.060149, 1.224907, 1.740918,1267,31222
486.3424335838639,0.3729619889446809,0.060748, 1.298206, 1.844085,1304,32526
396.4106594222995,0.3168750275158269,0.064082, 1.441013, 2.048506,1251,33777
295.9225870146829,0.2459871878758794,0.058047, 1.405028, 1.961537,1203,34980
507.6537030602418,0.364955933184933,0.059465, 1.318889, 1.855927,1391,36371
581.0345270891015,0.4790062053496303,0.058437, 1.352737, 1.894956,1213,37584
460.49667077375545,0.32916130863027554,0.060960, 1.382990, 1.920197,1399,38983
282.483454847242,0.22120865688899138,0.061931, 1.427830, 1.968029,1277,40260
451.8369325784766,0.33494212941325174,0.057529, 1.363270, 1.862537,1349,41609
509.38404367647746,0.3750987066837095,0.057629, 1.248901, 1.742706,1358,42967
523.0372415713293,0.4280173826279291,0.064266, 1.336673, 1.887194,1222,44189
470.2754274407422,0.33979438398897555,0.060762, 1.462236, 2.056467,1384,45573
503.2019813051518,0.3681067895429055,0.066909, 1.505970, 2.104880,1367,46940
413.1837546971073,0.3171018838811261,0.066433, 1.460236, 2.033650,1303,48243
455.7352039801727,0.3705164260001404,0.063492, 1.374359, 1.896440,1230,49473
429.3631977060545,0.3351781402857568,0.068507, 1.377201, 1.897038,1281,50754
500.65590890885983,0.35761136350632844,0.063286, 1.345321, 1.876458,1400,52154
476.3297932269305,0.3474323801801098,0.066317, 1.359606, 1.874890,1371,53525
470.41603263240984,0.37814793619968634,0.066416, 1.375239, 1.920236,1244,54769
520.5166270228951,0.43232277991934814,0.068437, 1.414175, 1.994800,1204,55973
397.51478328179985,0.30298382872088403,0.069839, 1.466051, 2.043069,1312,57285
531.0375186102078,0.43706791655161137,0.070325, 1.464076, 2.018322,1215,58500
507.35609201903833,0.4052364952228741,0.070742, 1.521240, 2.068366,1252,59752
551.1491150864555,0.4159615962916645,0.080057, 1.537151, 2.096642,1325,61077
543.3949969837724,0.42254665395316676,0.081968, 1.540819, 2.163883,1286,62363
384.53649524346133,0.3001846176763945,0.082677, 1.607829, 2.253435,1281,63644
510.101853562463,0.4067797875298748,0.071591, 1.594150, 2.254334,1254,64898
493.2485123820742,0.37170196863758415,0.063960, 1.566518, 2.194594,1327,66225
447.6061967143469,0.33883890742948286,0.062961, 1.487511, 2.091970,1321,67546
414.376930068922,0.30070894780037877,0.070474, 1.411454, 1.936531,1378,68924
429.6736647293643,0.3199357146160568,0.074024, 1.366464, 1.884796,1343,70267
505.1959497321075,0.3886122690246981,0.070487, 1.310572, 1.840595,1300,71567
543.0583941255755,0.406785313951742,0.073088, 1.309712, 1.861705,1335,72902
498.96364369188996,0.3757256353101581,0.077664, 1.399829, 1.990183,1328,74230
563.198819072543,0.4273132162917625,0.080520, 1.492107, 2.114625,1318,75548
426.20919651868206,0.319257825107627,0.075628, 1.559718, 2.168769,1335,76883
541.6273841009877,0.4054097186384638,0.078660, 1.538688, 2.134930,1336,78219
506.55287773581733,0.41829304519885824,0.077475, 1.536466, 2.165160,1211,79430
489.0190349795222,0.398873601125222,0.071237, 1.540562, 2.186002,1226,80656
479.89087045819116,0.3766804320707937,0.069393, 1.550232, 2.188850,1274,81930
520.0997575971112,0.4117971160705552,0.073432, 1.545411, 2.188978,1263,83193
539.2599851089906,0.44640727244121736,0.067911, 1.556471, 2.182755,1208,84401
367.8213249769777,0.2631053826730885,0.068353, 1.525115, 2.125114,1398,85799
545.0002334714809,0.4128789647511219,0.074350, 1.489984, 2.084880,1320,87119
499.851191027078,0.3905087429899047,0.073029, 1.492345, 2.100314,1280,88399
506.4121165267278,0.3691050412002389,0.078061, 1.442969, 2.003510,1372,89771
233.84502572948446,0.1809946019578053,0.082797, 1.409925, 1.971072,1292,91063
559.7873689233384,0.42699265364099037,0.075692, 1.313099, 1.836852,1311,92374
574.2159088390379,0.41370022250651145,0.075182, 1.362301, 1.933138,1388,93762
494.0769416976235,0.3684391809825679,0.072737, 1.435053, 2.042424,1341,95103
474.3938142558616,0.34301794233974087,0.073879, 1.464926, 2.071784,1383,96486
450.04105041931564,0.3451235049227881,0.079301, 1.471732, 2.071621,1304,97790
475.8026229784704,0.36998648754157887,0.076079, 1.395935, 1.954703,1286,99076
