total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
397.67554099016854,0.315365218866113,0.840450, 38.927485, 56.485942,1261,1261
505.1210063977258,0.3662951460462116,0.577847, 24.677450, 33.737511,1379,2640
415.0505090456893,0.32224418404168426,0.207726, 13.512431, 18.532619,1288,3928
520.5249512608125,0.3916666299930869,0.097352, 8.350606, 11.499653,1329,5257
605.1152776959318,0.4757195579370533,0.081450, 5.918492, 8.222919,1272,6529
584.98059771443,0.4355775113286895,0.062699, 4.491195, 6.304250,1343,7872
584.1191936665357,0.42022963573132066,0.044907, 3.621441, 5.104396,1390,9262
544.4045912770598,0.3944960806355506,0.042739, 3.036512, 4.302345,1380,10642
605.1570307576008,0.48490146695320574,0.030687, 2.362238, 3.344450,1248,11890
565.8050704018953,0.4434209015688834,0.035767, 2.109214, 2.960622,1276,13166
571.0432593073167,0.4248833774608011,0.040363, 2.031698, 2.837882,1344,14510
590.1765755204619,0.4424112260273328,0.041897, 1.997535, 2.787510,1334,15844
561.8698042900834,0.4658953601078635,0.042074, 1.967144, 2.736359,1206,17050
570.1353850487249,0.4409399729688514,0.040851, 1.953951, 2.709079,1293,18343
526.8990182532912,0.41455469571462716,0.043346, 1.936891, 2.679032,1271,19614
481.20541168428974,0.35644845309947387,0.045243, 1.892729, 2.625392,1350,20964
610.2706466680906,0.48472648663073126,0.043455, 1.863782, 2.588181,1259,22223
571.1694840650887,0.44553001877152004,0.042099, 1.855648, 2.581292,1282,23505
595.2893997784964,0.4883424116312522,0.041666, 1.841505, 2.557433,1219,24724
601.1326528040868,0.4711070946740492,0.043862, 1.837153, 2.549556,1276,26000
544.0250091584592,0.42735664505770554,0.042585, 1.814831, 2.511047,1273,27273
575.5619659182693,0.4447928639244739,0.041972, 1.806237, 2.505478,1294,28567
584.105658375448,0.42082540228778675,0.040980, 1.818562, 2.518855,1388,29955
610.7967000846979,0.4820810576832659,0.043806, 1.850185, 2.559552,1267,31222
600.6789129141114,0.46064333812431857,0.041150, 1.848697, 2.555714,1304,32526
532.2381939462675,0.4254501950010132,0.039845, 1.860337, 2.562175,1251,33777
547.3390308594331,0.45497841301698516,0.038572, 1.838964, 2.528251,1203,34980
531.8473260064411,0.3823489043899648,0.037073, 1.824333, 2.516358,1391,36371
563.1908281443885,0.46429581875052645,0.037901, 1.837957, 2.548510,1213,37584
600.8748393885442,0.42950310177880213,0.033516, 1.829413, 2.540049,1399,38983
571.8944057755933,0.4478421345149517,0.032777, 1.823440, 2.530966,1277,40260
586.0763289648519,0.4344524306633446,0.030893, 1.819570, 2.520674,1349,41609
570.9584453828026,0.4204406814306352,0.032142, 1.825771, 2.537629,1358,42967
645.4704943511554,0.5282082605164937,0.029893, 1.836395, 2.556179,1222,44189
616.1139238154832,0.4451690200978925,0.031083, 1.860904, 2.577699,1384,45573
563.7834826959224,0.41242390833644654,0.033299, 1.866797, 2.573811,1367,46940
585.822065482431,0.4495948315291105,0.032275, 1.880702, 2.594249,1303,48243
565.0843603492888,0.4594181791457632,0.032296, 1.881269, 2.587872,1230,49473
551.3717376390764,0.4304229021382329,0.029611, 1.857082, 2.553079,1281,50754
627.3482240623432,0.4481058743302451,0.031855, 1.848403, 2.546650,1400,52154
607.679876808571,0.44323842217984755,0.033581, 1.846351, 2.540726,1371,53525
610.9486876896303,0.49111630843217874,0.030900, 1.811857, 2.492130,1244,54769
534.5041024497943,0.4439402844267395,0.029997, 1.806295, 2.487807,1204,55973
549.442592015672,0.4187824634265792,0.030207, 1.789343, 2.471367,1312,57285
607.532987674881,0.5000271503496964,0.030521, 1.801527, 2.486372,1215,58500
618.1391684417897,0.4937213805445605,0.030411, 1.808978, 2.492132,1252,59752
567.8724724032191,0.4285829980401654,0.029869, 1.816434, 2.502296,1325,61077
602.5681351668358,0.4685599806896079,0.029099, 1.798247, 2.477203,1286,62363
563.4088465674356,0.43981955235553133,0.028965, 1.821340, 2.506368,1281,63644
623.8234775056329,0.4974668879630247,0.028728, 1.812541, 2.493982,1254,64898
582.4315637617075,0.4389084881399454,0.029363, 1.820330, 2.512605,1327,66225
615.9019131941839,0.4662391470054382,0.028873, 1.841931, 2.536140,1321,67546
612.1177592088111,0.44420737243019676,0.027851, 1.831098, 2.520221,1378,68924
631.45631430906,0.47018340603801934,0.027121, 1.837646, 2.535273,1343,70267
606.87294497905,0.4668253422915769,0.026649, 1.856696, 2.554460,1300,71567
554.3211924296882,0.4152218669885305,0.028752, 1.864934, 2.564389,1335,72902
585.2570486670436,0.4407056089360268,0.027493, 1.864086, 2.555599,1328,74230
584.498710855178,0.44347398395688775,0.027294, 1.839538, 2.516082,1318,75548
616.4942566945184,0.46179345070750444,0.024916, 1.858662, 2.544381,1335,76883
571.6566668610915,0.4278867266924337,0.023323, 1.845443, 2.525892,1336,78219
627.6824494179764,0.5183174644244231,0.024457, 1.842026, 2.522793,1211,79430
568.1300280944879,0.4634013279726655,0.025682, 1.853343, 2.535935,1226,80656
546.4983115897173,0.4289625679668111,0.025042, 1.839098, 2.520165,1274,81930
575.4649358521137,0.455633361719805,0.024676, 1.846424, 2.527681,1263,83193
566.685459005038,0.4691104793088062,0.024648, 1.839998, 2.521419,1208,84401
585.8246797527095,0.4190448353023673,0.025551, 1.834996, 2.516179,1398,85799
552.495708260436,0.4185573547427546,0.027301, 1.829427, 2.508485,1320,87119
546.7959208512113,0.4271843131650089,0.029728, 1.815869, 2.492623,1280,88399
592.3406142145127,0.43173514155576725,0.029590, 1.782987, 2.451174,1372,89771
538.5448405974831,0.4168303719794761,0.028749, 1.749076, 2.402426,1292,91063
607.0093369474246,0.4630124614396831,0.029717, 1.754987, 2.405455,1311,92374
600.0660390196193,0.43232423560491307,0.030371, 1.738936, 2.383924,1388,93762
499.62440057506075,0.3725759884974353,0.028014, 1.721843, 2.366832,1341,95103
529.2252316884907,0.38266466499529334,0.029280, 1.720662, 2.370331,1383,96486
598.2308529154025,0.4587659914995418,0.027363, 1.704457, 2.353398,1304,97790
619.3202483566671,0.4815865072757909,0.027076, 1.704346, 2.357598,1286,99076
