total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
26.946473220856205,0.07224255555189331,14.545236, 10.022401, 25.317719,373,373
63.247755074177185,0.08870652885578847,7.874923, 11.006437, 23.050846,713,1086
69.35827759548755,0.06746914162985171,0.524432, 13.041529, 18.425312,1028,2114
41.318233844609026,0.029158951195913215,0.110291, 8.181948, 11.276155,1417,3531
37.212497186983605,0.022163488497310067,0.061329, 4.549426, 6.356966,1679,5210
21.62485820311418,0.011855733663988037,0.015525, 2.501808, 3.549996,1824,7034
36.221262521190496,0.020156517819249025,0.006938, 1.627130, 2.336830,1797,8831
89.2437006124062,0.052682231766473554,0.007375, 1.205186, 1.752567,1694,10525
591.2865701282542,0.4019623182381062,0.007347, 0.811519, 1.238848,1471,11996
1029.5335181121445,0.8867644428183846,0.007926, 0.908105, 1.424321,1161,13157
417.19149412604986,0.983942203127476,0.007214, 1.053503, 1.603736,424,13581
692.2084840065475,0.9988578412792892,0.008337, 1.311945, 1.932309,693,14274
1044.3181630680892,0.988937654420539,0.007193, 1.708578, 2.426351,1056,15330
1163.3528159757577,0.8315602687460741,0.007768, 2.246770, 3.104694,1399,16729
999.6146292973883,0.5928912392036704,0.011104, 2.562900, 3.486998,1686,18415
869.0258289860517,0.467972982760394,0.021554, 2.764479, 3.801333,1857,20272
423.32296665919466,0.2291948926146154,0.041296, 3.079842, 4.257214,1847,22119
771.835549946258,0.45322110977466706,0.035219, 2.455701, 3.423404,1703,23822
1287.4400701381699,0.8860564832334273,0.031236, 2.215438, 3.066124,1453,25275
1142.2128018351839,0.9745843019071535,0.021303, 2.225231, 3.044281,1172,26447
378.47491755410124,0.9986145581902407,0.019380, 2.588315, 3.522909,379,26826
717.4531510236429,0.9909573909166339,0.018495, 2.910286, 3.948476,724,27550
1086.4552469369598,0.9949223873049082,0.015181, 3.198572, 4.328405,1092,28642
1263.7585645487547,0.8918550208530379,0.013241, 3.552674, 4.796350,1417,30059
1097.714312275597,0.6400666543881032,0.016098, 3.458520, 4.674734,1715,31774
682.5507542378341,0.37359099848814126,0.021541, 2.975074, 4.047839,1827,33601
179.81261842858817,0.09756517549028115,0.023949, 2.284845, 3.138015,1843,35444
556.8740701380655,0.32718805531026174,0.028108, 1.860430, 2.570683,1702,37146
1135.3615708601978,0.8069378613078876,0.029878, 1.830007, 2.548540,1407,38553
