total_reward,mean_reward,loss,mae,mean_q,episode_steps,step
752.8222158546348,0.6557684807096122,0.062193, 11.019813, 17.826619,1148,1148
774.8265345831045,0.6605511803777532,0.044587, 6.888461, 9.796725,1173,2321
1032.8878595724989,0.8543323900516947,0.043290, 5.575232, 9.582079,1209,3530
1130.6604693957172,0.9207332812668707,0.066031, 5.896703, 9.876245,1228,4758
1144.1496195650418,0.9167865541386553,0.111309, 6.498940, 10.667070,1248,6006
1171.5763305074627,0.9152940082089552,0.174446, 6.927147, 10.948274,1280,7286
1207.017540474084,0.9342241025341207,0.231620, 7.310914, 11.332248,1292,8578
1269.3768361293546,0.964572063928081,0.322572, 7.399430, 11.213677,1316,9894
1260.0216411533868,0.9347341551582988,0.242289, 5.636056, 8.191677,1348,11242
1271.732645523827,0.9228829067662024,0.031848, 3.306795, 4.574175,1378,12620
1159.6220048213481,0.825941598875604,0.012303, 3.197001, 4.387235,1404,14024
1175.3182737038799,0.8288563284230465,0.012054, 3.266694, 4.474825,1418,15442
1314.3056827640103,0.9026824744258313,0.013194, 3.293658, 4.496554,1456,16898
1163.891202100671,0.7917627225174633,0.014585, 3.327016, 4.528959,1470,18368
1104.9832751968167,0.7411021295753298,0.017190, 3.305675, 4.496914,1491,19859
1057.116429610136,0.6936459511877533,0.021910, 3.243333, 4.418780,1524,21383
1091.2488629765744,0.7031242673818134,0.028928, 3.169355, 4.320164,1552,22935
1106.5181685778355,0.7047886424062646,0.029090, 3.075518, 4.196419,1570,24505
1175.7497176803472,0.7394652312455013,0.030351, 2.992438, 4.085948,1590,26095
1124.7449421426697,0.6921507336262583,0.032536, 2.913285, 3.981877,1625,27720
1111.5110007323415,0.6773375994712624,0.031671, 2.831234, 3.879120,1641,29361
1209.5898084284,0.7407163554368646,0.031431, 2.777786, 3.811007,1633,30994
1165.0793781302305,0.7250027244120911,0.030181, 2.798667, 3.823551,1607,32601
1168.1557960243263,0.7407455903768715,0.029780, 2.767754, 3.778129,1577,34178
1244.9418706909178,0.8047458763354349,0.028681, 2.774760, 3.788496,1547,35725
924.5582149995689,0.6034975293730868,0.026467, 2.794914, 3.807937,1532,37257
1078.5394339795143,0.7185472578144666,0.027508, 2.763170, 3.766825,1501,38758
955.1673601841476,0.6506589647030978,0.030629, 2.778240, 3.793792,1468,40226
1246.995080849144,0.8611844481002375,0.031334, 2.714715, 3.719562,1448,41674
1311.4670593370406,0.9261773017916953,0.031797, 2.798870, 3.834202,1416,43090
1171.4186448873324,0.8361303675141559,0.030278, 2.870584, 3.948376,1401,44491
1302.8707146735362,0.9510005216595154,0.027837, 2.896422, 3.985046,1370,45861
1143.9211906184019,0.8429780328801783,0.026956, 3.006679, 4.132342,1357,47218
1155.9121573744656,0.8697608407633299,0.024185, 3.106306, 4.253801,1329,48547
1243.6694525324115,0.9566688096403165,0.020088, 3.188309, 4.348582,1300,49847
1232.6315484900301,0.9645004291784274,0.019085, 3.325361, 4.519165,1278,51125
1217.3947565830522,0.977827113721327,0.017021, 3.375355, 4.586905,1245,52370
1201.228787906622,0.9854214831063347,0.014212, 3.406449, 4.617321,1219,53589
1191.950488368474,0.9908150360502693,0.014554, 3.445083, 4.665780,1203,54792
1145.4611791942507,0.9690872920425133,0.011649, 3.517898, 4.756590,1182,55974
1110.7184718648991,0.9683683276938964,0.011262, 3.516554, 4.750818,1147,57121
1137.1491878921424,0.9735866334693001,0.011346, 3.602547, 4.859258,1168,58289
1178.6079375719498,0.9789102471527823,0.009959, 3.633038, 4.900230,1204,59493
1166.4002991433135,0.9513868671642035,0.011733, 3.641905, 4.913609,1226,60719
1167.4880049037142,0.9273137449592647,0.014255, 3.635602, 4.908898,1259,61978
1182.1059939386048,0.9315256059405869,0.013607, 3.620510, 4.888922,1269,63247
1162.538129361502,0.897712841205793,0.013092, 3.596503, 4.861940,1295,64542
1185.5572698583785,0.8988303789676865,0.014323, 3.562930, 4.819999,1319,65861
1202.0138857624206,0.8870951186438528,0.016549, 3.540702, 4.794303,1355,67216
1258.5621146136446,0.9166512123915838,0.016043, 3.497573, 4.733176,1373,68589
1196.6188034756674,0.8565632093598192,0.015456, 3.486872, 4.719732,1397,69986
1182.6573182110901,0.8293529580722933,0.016957, 3.430393, 4.650903,1426,71412
1199.3339790402879,0.8214616294796493,0.018304, 3.367271, 4.565426,1460,72872
1204.153897737839,0.8213873790844741,0.020024, 3.313693, 4.499784,1466,74338
1169.1120749146364,0.779408049943091,0.020371, 3.252126, 4.421890,1500,75838
