good,medium,bad
177,82,889
201,82,746
389,102,447
588,177,200
634,150,213
631,194,213
549,196,307
493,174,292
536,224,221
456,150,518
121,92,964
584,308,105
556,356,226
480,368,338
634,191,187
721,155,108
754,232,168
692,374,106
785,160,35
507,471,186
683,189,113
766,174,22
685,411,91
715,245,35
683,320,49
596,390,106
637,300,102
769,167,9
682,318,96
795,278,63
696,343,67
715,185,46
844,215,86
823,236,38
736,169,8
638,346,158
762,262,156
810,82,10
822,197,31
788,165,43
797,162,32
876,136,8
859,98,6
778,156,23
808,237,31
716,173,44
826,308,45
683,370,100
800,169,36
759,291,89
832,224,23
787,248,55
788,196,19
868,198,16
748,281,32
819,238,16
782,253,15
812,148,6
846,98,6
760,314,8
786,200,16
746,167,7
705,357,134
776,166,11
815,231,19
756,249,41
859,197,43
825,87,7
852,244,32
814,233,15
802,221,15
822,218,20
806,167,3
559,507,131
857,110,16
838,174,10
867,259,39
794,278,52
826,193,78
754,258,54
798,145,42
814,281,14
752,173,36
753,227,56
709,333,47
662,371,123
563,318,216
697,239,44
709,263,37
776,223,26
827,166,25
816,168,15
841,296,12
802,110,13
861,245,40
889,125,0
835,72,0
877,230,2
855,135,8
