good,medium,bad
388,193,540
528,163,312
578,155,442
437,191,428
488,53,421
483,102,612
523,189,238
432,269,468
530,173,304
546,255,186
540,170,247
591,168,254
631,284,207
561,238,229
429,281,454
498,225,254
425,249,285
544,227,148
574,224,257
651,176,108
519,260,317
507,251,328
577,179,176
421,312,303
542,254,192
574,210,315
665,178,94
668,207,167
588,265,130
626,303,86
756,135,54
614,337,156
679,220,104
673,225,86
724,236,47
690,221,77
722,303,85
747,276,79
787,241,45
646,262,211
642,197,105
777,153,22
778,174,33
669,298,168
722,175,41
676,339,74
716,314,83
887,105,19
686,363,112
741,190,64
670,321,83
746,187,51
815,87,9
812,145,26
750,290,66
743,246,148
652,344,81
767,239,56
699,267,58
720,257,62
714,312,67
697,229,41
732,165,54
731,148,26
747,254,77
697,117,93
777,101,35
724,283,80
783,143,39
735,225,40
743,288,55
737,169,68
629,368,185
548,352,175
573,433,143
601,372,195
658,354,110
712,153,80
824,212,46
812,157,16
747,202,39
687,308,89
703,320,69
742,158,39
681,286,30
696,258,43
626,287,60
518,515,136
650,285,100
552,388,120
672,247,46
702,306,156
722,236,91
726,278,127
661,349,132
791,184,26
667,229,19
759,148,10
761,238,59
682,189,44
769,209,34
598,459,143
652,332,47
684,296,69
669,349,174
768,157,28
778,240,78
674,358,139
837,145,17
700,376,115
767,178,47
757,141,43
826,243,67
796,284,106
823,144,41
858,149,28
674,346,172
718,270,131
617,321,80
616,291,112
631,354,149
789,119,75
741,256,198
657,273,167
621,309,81
596,319,187
641,309,133
631,290,125
762,134,47
690,165,51
636,241,183
555,228,140
439,390,209
563,241,104
443,400,275
457,351,171
471,342,170
514,252,138
567,249,150
454,294,263
470,316,176
561,261,185
376,496,311
375,490,313
474,321,146
423,421,292
532,342,231
434,450,251
558,251,156
458,414,250
490,317,155
527,286,141
506,292,147
451,398,253
518,241,149
450,374,199
441,444,256
495,338,241
401,432,222
394,483,275
479,341,161
436,371,156
443,401,195
502,288,165
514,293,186
427,427,228
385,445,257
296,533,273
495,347,200
472,292,171
438,439,306
449,348,216
391,432,217
297,549,303
478,349,162
459,376,210
579,225,156
496,384,293
426,381,166
461,407,258
471,302,153
543,226,140
469,373,266
336,560,263
496,319,190
357,515,315
440,452,264
466,353,203
473,341,212
548,310,208
552,230,128
505,314,202
448,422,281
564,198,147
377,479,306
506,300,166
398,432,221
399,433,297
537,248,186
477,346,213
420,467,266
529,298,216
482,312,204
440,421,281
502,254,160
534,251,180
567,233,166
587,278,190
503,341,213
399,458,233
416,433,235
411,434,238
496,393,287
392,470,233
509,316,182
372,506,270
355,506,302
497,312,168
426,427,219
519,315,191
524,291,187
357,519,292
434,404,265
413,461,326
364,469,283
491,355,200
518,340,235
439,352,175
468,327,168
571,223,123
504,323,204
588,183,138
504,307,167
419,450,309
494,271,152
489,359,238
535,309,176
398,467,309
485,299,170
511,261,136
522,306,181
402,472,285
516,253,172
410,447,291
515,338,244
404,479,305
461,377,233
472,353,213
503,259,166
540,313,201
427,433,250
524,222,156
505,315,174
505,359,242
476,397,219
353,494,260
558,253,193
472,352,337
431,444,304
585,219,142
505,321,237
492,288,145
500,375,275
491,326,190
518,347,262
521,241,150
516,305,200
526,310,232
500,346,223
410,468,282
565,242,145
443,384,166
436,403,197
431,424,233
362,538,293
444,399,231
386,495,296
556,245,189
509,314,172
583,206,149
402,467,256
445,437,296
343,511,339
442,438,311
417,428,277
437,431,273
463,342,155
460,358,192
474,277,169
486,370,255
551,226,152
415,436,215
543,282,214
409,410,267
445,339,191
527,274,158
456,315,171
485,314,158
475,414,247
575,214,141
420,436,312
475,352,228
553,296,179
399,393,329
434,234,252
520,339,217
386,511,260
502,280,166
415,401,200
548,239,141
511,316,169
464,336,194
502,274,195
552,229,120
480,345,152
505,302,187
366,474,195
414,457,239
399,436,251
449,391,203
514,335,273
373,499,270
496,372,208
544,254,168
380,481,317
487,389,250
448,411,214
528,320,215
487,372,187
507,348,277
451,435,308
442,406,269
554,253,213
433,453,307
525,272,225
532,238,154
419,475,299
542,231,166
471,315,154
439,452,264
339,501,325
427,415,251
386,495,286
518,273,163
405,423,256
403,472,309
516,283,165
425,430,335
447,306,218
471,297,157
616,185,111
550,282,215
557,259,129
564,205,153
543,218,153
560,275,187
524,356,276
528,274,141
569,265,187
579,200,144
484,299,152
556,257,177
449,399,303
484,315,220
535,309,195
380,489,255
504,306,169
448,363,221
456,411,249
563,213,129
532,305,184
401,457,315
291,602,288
442,370,247
489,297,159
447,384,240
366,517,310
420,454,294
395,491,294
498,262,156
437,421,254
438,359,211
536,272,197
502,302,174
556,201,143
487,314,133
359,458,238
515,337,237
458,388,255
488,394,313
558,311,295
493,372,225
506,310,200
510,305,158
465,347,210
564,216,152
383,502,304
498,366,258
473,289,164
477,369,184
525,268,150
522,281,185
507,249,154
574,232,159
386,499,261
523,270,144
452,371,214
453,410,276
432,436,308
502,281,144
497,345,194
310,567,308
386,500,314
500,319,195
454,430,258
542,281,190
481,361,217
392,473,323
414,465,300
487,403,308
418,460,305
486,308,152
463,330,165
418,450,233
513,302,164
486,374,265
483,320,185
481,384,292
501,299,160
582,233,157
452,400,295
473,336,224
520,293,157
482,346,191
443,411,278
441,309,428
375,246,330
508,319,190
576,217,167
403,428,263
478,394,273
442,365,195
429,445,311
367,517,314
636,185,168
555,280,209
429,446,285
475,376,337
567,215,124
423,434,257
407,426,229
498,362,224
581,193,147
425,455,290
351,515,276
470,419,290
526,319,233
478,364,182
568,228,170
445,442,309
471,319,157
417,473,295
442,431,292
361,519,287
457,319,166
433,428,295
439,421,228
441,445,291
358,529,275
398,496,287
506,338,199
466,385,228
522,321,194
434,436,283
375,522,300
494,286,165
