good,medium,bad
73,18,1030
165,59,779
403,113,659
125,15,916
353,131,478
372,161,664
116,19,815
388,147,634
547,152,308
562,82,343
534,195,228
582,150,281
527,106,489
617,148,263
495,321,348
393,102,482
454,252,253
526,86,307
555,367,133
652,217,66
760,229,107
643,328,115
598,276,58
482,428,126
521,422,45
597,341,161
654,230,53
615,225,202
518,84,381
358,118,539
643,84,218
418,101,588
568,311,124
581,214,189
716,139,152
446,31,511
407,309,394
414,134,554
405,395,273
483,90,546
338,46,560
526,336,90
503,321,161
463,282,390
531,219,188
395,56,638
354,113,646
381,43,587
367,122,672
370,135,490
580,162,332
241,18,725
241,19,651
605,86,292
215,81,810
399,141,597
453,175,449
374,51,637
469,299,256
511,121,407
94,43,956
454,195,318
454,163,334
590,228,87
222,42,814
536,244,127
455,41,417
345,51,691
425,80,460
452,54,494
160,21,905
531,250,193
390,229,563
447,163,465
340,151,658
541,125,502
355,66,701
386,64,495
368,261,453
489,59,437
535,105,348
412,54,618
166,41,885
447,138,354
406,269,322
433,235,329
547,100,326
352,118,699
137,65,833
377,193,490
497,135,333
349,214,601
626,141,282
385,187,559
139,37,966
393,88,520
482,164,269
540,290,87
328,71,659
256,15,644
390,65,557
342,248,610
475,108,448
524,185,340
401,99,692
451,181,321
418,149,529
391,119,661
658,97,244
675,115,401
590,125,277
712,122,107
691,251,194
631,307,248
804,193,11
817,118,100
687,208,297
680,181,258
598,95,325
540,217,262
401,60,673
653,232,98
710,212,273
688,210,199
756,215,40
610,178,314
716,230,137
718,209,119
852,74,17
806,79,21
577,96,387
501,150,272
464,236,338
437,157,314
305,154,659
360,177,442
456,339,188
444,324,136
483,327,156
420,410,181
480,325,157
504,347,156
329,536,318
327,562,289
417,378,146
382,449,305
409,470,226
405,469,261
465,181,319
409,475,238
493,309,160
524,291,139
553,266,126
443,425,234
494,270,144
400,441,182
354,534,253
481,314,279
363,494,198
391,479,282
492,339,150
423,384,156
449,391,199
490,301,164
461,371,161
432,404,246
325,479,283
285,523,294
461,392,189
441,319,175
392,388,403
452,352,209
358,475,207
303,570,276
498,320,171
438,409,198
551,249,160
349,547,277
423,386,164
366,489,271
462,316,148
461,308,140
408,453,247
277,559,323
491,350,164
358,521,308
406,472,278
434,403,185
389,427,210
451,420,195
432,293,185
396,438,187
358,532,261
541,239,129
343,535,284
483,345,144
387,469,195
353,510,266
491,324,156
448,382,206
330,568,255
368,472,203
443,372,183
349,526,267
431,344,141
437,377,151
548,257,161
354,520,181
425,449,183
387,477,226
353,462,269
389,468,226
457,461,258
266,580,249
463,369,175
369,469,310
294,573,296
416,411,150
424,422,226
471,371,183
517,306,179
336,517,315
416,449,238
365,518,317
369,478,269
511,336,199
503,366,224
403,344,219
458,357,148
507,295,115
410,427,194
532,263,114
430,393,155
393,489,296
476,307,134
411,444,231
540,315,165
358,524,292
475,325,154
476,289,143
454,387,168
344,536,279
469,317,155
368,463,317
441,418,238
353,541,294
401,455,215
397,435,206
471,302,155
520,344,190
370,485,255
424,326,152
460,365,169
429,438,239
394,497,201
316,550,241
493,330,181
363,506,292
343,550,286
512,223,211
407,440,216
432,359,134
464,423,263
437,394,176
463,425,239
440,342,130
387,359,275
420,429,219
430,421,218
297,593,270
485,327,140
405,443,145
371,484,181
400,438,250
398,500,295
405,448,221
375,499,303
472,344,174
445,361,189
522,279,137
314,577,234
390,494,294
329,540,324
397,484,310
409,461,252
369,497,275
