good,medium,bad
814,179,2
799,333,16
756,266,7
793,142,3
915,50,0
879,118,0
762,267,9
699,342,11
778,181,0
835,139,7
801,301,22
761,401,15
816,175,6
667,423,48
561,498,127
653,353,6
852,132,0
831,304,19
667,476,29
800,177,3
768,371,25
850,131,4
877,82,3
689,465,33
767,222,6
807,243,2
686,360,46
643,372,24
814,125,6
776,300,20
795,332,9
796,297,13
907,39,0
753,377,15
784,308,5
832,81,0
763,335,44
709,415,56
796,106,0
809,237,4
788,191,17
870,120,1
795,225,0
905,58,0
774,178,5
756,314,6
735,191,7
804,355,20
739,403,11
818,167,20
829,303,7
838,238,3
789,297,4
821,181,1
751,321,10
691,357,13
759,301,13
794,254,2
854,112,0
761,189,0
799,277,6
884,117,1
760,159,1
627,462,107
752,195,6
883,179,3
732,314,0
833,263,3
801,113,5
712,399,17
710,343,9
766,271,1
765,294,1
814,161,1
602,522,73
705,270,8
883,132,7
783,369,13
919,203,2
847,247,3
815,237,14
819,155,11
824,271,14
739,206,16
669,335,32
592,459,38
596,436,124
621,347,129
715,256,9
651,351,7
764,260,1
838,175,5
735,254,10
806,335,8
782,132,11
759,346,41
785,227,2
837,70,0
835,254,20
902,96,0
