good,medium,bad
662,305,28
652,421,75
692,319,18
642,285,11
778,185,2
691,298,8
668,336,34
702,315,35
663,279,17
690,265,26
568,485,71
605,491,81
694,269,34
590,459,89
472,539,175
498,440,74
638,318,28
607,468,79
519,542,111
689,246,45
632,487,45
715,240,30
676,267,19
596,494,97
662,300,33
647,367,38
644,391,57
512,468,59
702,220,23
683,335,78
653,368,115
631,403,72
697,232,17
702,381,62
624,421,52
619,271,23
634,426,82
598,471,111
632,256,14
720,317,13
638,322,36
724,253,14
672,330,18
703,248,12
643,294,20
615,430,31
635,276,22
626,477,76
585,488,80
668,306,31
634,433,72
693,359,27
607,399,84
659,300,44
599,437,46
573,433,55
606,403,64
545,438,67
681,274,11
673,266,11
623,438,21
650,329,23
680,225,15
594,479,123
663,266,24
632,385,48
644,365,37
642,388,69
524,339,56
580,501,47
631,398,33
615,384,39
635,398,27
642,317,17
518,523,156
638,314,31
714,290,18
660,432,73
685,350,89
695,366,36
672,356,38
663,298,24
654,414,41
638,304,19
632,352,52
551,460,78
546,442,168
571,401,125
604,315,61
578,380,51
651,346,28
627,351,40
585,359,55
689,404,56
662,247,16
614,466,66
621,359,34
613,279,15
583,455,71
683,294,21
