good,medium,bad
696,279,20
676,397,75
691,304,34
632,274,32
770,178,17
736,248,13
683,320,35
705,305,42
682,261,16
706,253,22
533,521,70
646,425,106
717,256,24
565,474,99
529,493,164
574,371,67
704,256,24
694,390,70
569,523,80
807,155,18
684,428,52
773,198,14
700,251,11
611,474,102
698,271,26
675,356,21
637,383,72
571,414,54
705,216,24
655,372,69
680,365,91
610,412,84
725,209,12
652,418,75
628,399,70
666,228,19
649,415,78
558,514,108
641,249,12
699,335,16
669,291,36
716,237,38
693,296,31
710,240,13
678,258,21
637,414,25
638,269,26
669,421,89
623,451,79
684,281,40
651,426,62
655,388,36
604,402,84
661,289,53
603,435,44
585,409,67
631,375,67
619,404,27
703,252,11
728,218,4
652,403,27
649,322,31
684,223,13
676,438,82
704,223,26
662,358,45
655,325,66
672,372,55
642,264,13
619,459,50
623,405,34
650,360,28
694,341,25
678,271,27
500,546,151
654,303,26
740,262,20
667,425,73
667,397,60
658,391,48
641,388,37
652,298,35
659,391,59
661,277,23
640,344,52
603,403,83
591,423,142
511,400,186
628,312,40
541,398,70
657,324,44
689,312,17
658,306,35
674,395,80
577,293,55
635,431,80
640,343,31
699,199,9
605,462,42
726,251,21
