server,bus1,bus2,bus3
537,198,241,200,
584,277,125,214,
791,72,266,69,
414,83,129,707,
812,91,339,94,
1031,132,116,101,
799,196,72,55,
411,56,67,599,
681,105,493,101,
991,137,100,89,
455,725,110,74,
971,43,86,57,
942,75,101,213,
408,81,51,603,
414,762,100,98,
952,51,51,51,
440,78,106,645,
1064,125,91,81,
953,58,79,58,
999,74,101,87,
1036,63,106,60,
460,65,55,529,
385,69,92,629,
401,76,123,730,
964,41,79,70,
1036,38,104,76,
421,36,576,67,
965,36,71,55,
1030,86,93,96,
920,46,68,67,
968,137,114,79,
417,76,682,87,
1043,77,105,81,
382,81,716,90,
451,89,96,728,
414,94,735,91,
441,80,706,65,
472,69,111,700,
385,620,73,64,
960,46,79,47,
389,80,106,686,
982,51,57,56,
1056,73,97,93,
411,116,771,97,
423,59,609,73,
417,671,68,91,
429,102,85,697,
407,72,690,96,
434,219,555,81,
393,62,605,40,
1009,82,77,76,
1008,80,119,95,
971,81,85,65,
1001,98,78,64,
407,69,608,70,
411,73,82,696,
440,88,767,93,
1088,91,108,106,
445,82,83,655,
1065,89,93,76,
988,43,89,61,
405,616,70,55,
890,68,102,141,
1022,54,96,57,
977,116,91,77,
1043,66,97,63,
369,598,90,72,
964,64,69,66,
1055,79,99,90,
429,73,736,88,
408,707,101,103,
920,35,81,88,
412,48,85,687,
1024,35,109,73,
993,53,102,76,
409,68,106,734,
1060,98,103,94,
382,668,84,69,
432,96,86,686,
947,40,83,79,
980,88,96,86,
1082,97,113,79,
1066,76,99,82,
1080,86,90,80,
1097,112,52,88,
971,68,42,85,
1106,113,42,93,
1001,89,32,95,
1035,97,49,119,
1074,78,41,70,
417,69,74,631,
380,754,111,78,
936,43,62,59,
1019,90,82,76,
945,51,72,64,
438,92,702,77,
423,666,64,67,
1080,92,90,96,
425,98,769,106,
