server,bus1,bus2,bus3
656,93,83,289,
451,182,134,236,
573,112,188,302,
380,178,162,336,
415,131,173,243,
593,95,196,313,
474,121,173,182,
533,183,169,284,
490,140,157,220,
522,161,146,158,
428,117,224,188,
559,85,182,187,
742,31,224,125,
661,51,172,144,
728,28,141,267,
703,84,85,105,
623,66,83,187,
649,97,67,106,
740,47,88,180,
668,42,158,67,
768,63,152,113,
738,53,119,176,
676,106,77,73,
779,74,40,143,
734,38,56,160,
774,63,75,187,
683,27,137,90,
800,37,94,111,
710,26,156,91,
785,51,81,98,
744,43,75,83,
771,105,121,110,
776,125,48,54,
717,107,89,71,
778,85,87,57,
756,82,81,69,
802,42,156,110,
826,36,136,104,
827,80,143,23,
804,151,127,37,
719,50,125,50,
729,56,112,55,
759,54,76,96,
814,95,108,118,
722,51,88,77,
823,75,103,88,
825,53,143,92,
801,74,88,48,
802,118,164,77,
737,56,117,85,
762,102,156,54,
734,74,126,50,
677,56,146,32,
719,55,149,60,
799,125,97,85,
807,72,95,163,
826,59,76,116,
778,57,131,96,
762,32,150,80,
770,60,154,55,
785,61,179,68,
728,52,143,44,
742,43,120,46,
706,57,86,56,
797,101,142,38,
612,77,160,58,
696,63,97,57,
777,106,140,64,
727,58,99,81,
754,54,106,86,
791,78,126,91,
712,54,143,65,
840,51,151,140,
735,30,127,183,
838,34,193,84,
860,88,159,61,
856,153,66,47,
742,83,63,57,
784,86,113,99,
735,61,134,55,
744,51,134,59,
795,133,102,54,
810,145,95,42,
676,88,95,80,
749,53,55,140,
794,70,49,84,
767,92,37,77,
839,138,30,162,
773,119,24,119,
812,75,31,142,
734,105,47,79,
833,98,160,73,
810,61,133,45,
766,143,188,34,
815,103,177,47,
775,77,122,27,
704,23,128,60,
723,43,93,58,
758,66,143,91,
679,71,69,96,
744,46,160,62,
821,115,148,116,
781,84,60,106,
780,114,47,108,
824,161,101,106,
737,109,47,60,
782,91,123,100,
819,104,185,63,
718,52,137,92,
847,78,184,82,
715,83,124,70,
646,79,135,81,
806,103,117,110,
793,72,176,145,
745,53,142,68,
754,39,157,85,
822,44,236,90,
815,123,66,115,
787,107,70,54,
779,117,88,35,
832,164,111,27,
772,26,158,27,
838,34,295,28,
825,70,175,27,
791,52,141,27,
779,91,209,23,
833,38,184,28,
798,55,171,22,
781,30,100,32,
695,64,128,19,
795,166,63,36,
784,87,29,23,
831,149,30,28,
807,65,16,20,
848,213,26,31,
808,115,28,28,
