server,bus1,bus2,bus3
502,132,199,162,
818,106,125,99,
779,77,109,64,
672,82,117,67,
702,63,122,78,
770,56,104,67,
759,77,108,94,
698,100,149,105,
736,81,76,66,
732,70,101,78,
767,117,128,112,
793,102,161,121,
755,91,81,70,
796,127,113,102,
855,113,102,116,
786,88,89,49,
775,70,72,67,
820,90,132,112,
846,99,128,99,
789,65,62,64,
800,123,123,118,
762,66,99,58,
764,50,90,58,
805,113,137,132,
804,50,88,53,
840,37,90,85,
831,50,121,90,
823,36,107,73,
768,71,47,59,
818,79,109,90,
839,94,122,81,
813,102,91,100,
759,73,58,56,
839,96,113,97,
806,81,97,113,
721,56,90,46,
813,104,122,103,
857,86,131,106,
763,35,68,36,
805,57,112,76,
768,62,88,78,
752,83,99,57,
781,72,90,77,
775,66,67,55,
782,54,58,63,
792,100,94,90,
730,80,71,52,
813,114,139,113,
877,90,83,103,
762,65,91,87,
860,104,90,85,
815,72,117,75,
775,100,130,85,
752,66,95,90,
800,69,93,120,
812,78,117,54,
830,81,74,88,
770,68,121,91,
758,61,98,49,
781,60,67,42,
804,94,105,79,
759,74,90,79,
718,73,79,50,
857,116,138,85,
767,55,44,87,
797,85,96,87,
769,82,103,92,
820,79,113,87,
736,59,77,47,
812,97,116,103,
811,81,92,78,
820,42,94,82,
798,36,130,96,
797,36,82,61,
841,72,154,130,
807,36,84,56,
778,74,107,63,
876,89,113,87,
831,81,126,86,
812,77,105,103,
795,74,93,104,
773,66,86,60,
833,71,120,85,
752,80,80,49,
838,80,45,73,
825,105,61,98,
860,132,59,105,
786,123,84,104,
768,84,48,80,
771,77,58,103,
776,66,96,87,
770,63,95,90,
802,70,83,44,
859,84,96,110,
604,104,126,91,
799,114,133,100,
796,63,62,93,
735,62,53,57,
811,94,124,80,
815,50,74,59,
